Top Core Depth [],Top Drilling depth below sea floor [m DSF],Top Mud depth below sea floor [m MSF],"Top Depth DSF, MSF, WSF and CSF-B [m, CMP]",Top Core depth (below sea floor) [m CSF-A],Top Core depth (below sea floor) [m CSF-B],"Top Depth DSF, MSF, WSF and CSF-A [m]",Bottom Core Depth [],Bottom Drilling depth below sea floor [m DSF],Bottom Mud depth below sea floor [m MSF],"Bottom Depth DSF, MSF, WSF and CSF-B [m, CMP]",Bottom Core depth (below sea floor) [m CSF-A],Bottom Core depth (below sea floor) [m CSF-B],"Bottom Depth DSF, MSF, WSF and CSF-A [m]",Sample source,J-CORES sample ID,Sample code,Sample request,Sample volume (cm3),Sample entered by,Sample comment,Sample repository,Sample time-stamp,moisture and density::comment on measurement::text,moisture and density::wet sample beaker ID::text,moisture and density::wet sample beaker type::text,moisture and density::wet sample beaker mass [g]::number,moisture and density::wet sample beaker volume [cm3]::number,moisture and density::wet sample beaker+sample mass [g]::number,moisture and density::wet sample beaker+sample volume: solids + pore water + beaker [cm3]::number,moisture and density::wet bulk mass [g]::number,moisture and density::dry sample beaker ID::text,moisture and density::dry sample beaker type::text,moisture and density::dry sample beaker mass [g]::number,moisture and density::dry sample beaker volume [cm3]::number,moisture and density::dry sample beaker+sample mass [g]::number,moisture and density::dry sample beaker+sample volume [cm3]::number,moisture and density::dry bulk mass [g]::number,moisture and density::pore water mass [g]::number,moisture and density::pore water volume [cm3]::number,moisture and density::solids volume: dry bulk - salt [cm3]::number,moisture and density::wet bulk volume: solids + pore water [cm3]::number,moisture and density::dry bulk volume [cm3]::number,moisture and density::salt mass [g]::number,moisture and density::salt volume [cm3]::number,moisture and density::solids mass [g]::number,moisture and density::water content wet::number,moisture and density::water content dry::number,moisture and density::bulk density [g/cm3]::number,moisture and density::dry density [g/cm3]::number,moisture and density::grain density [g/cm3]::number,moisture and density::porosity::number,moisture and density::void ratio::number,moisture and density::registerer,moisture and density::registration time-stamp
"C0011B-9R-1, 108.0 cm",NULL,NULL,413.58,413.58,413.58,413.58,"C0011B-9R-1, 110.0 cm",NULL,NULL,413.6,413.6,413.6,413.6,"C0011B-9R-1 W, 108.0--110.0 cm",CKY000000000000092210,PP,NULL,5,hiranos,NULL,CKY,2009-09-11T03:54:31Z,NULL,115,glass beaker,6.017,2.712,9.3751,4.5498,3.3581,115,glass beaker,6.017,2.712,8.4742,3.6528,2.4572,0.9336,0.9117,0.9261,1.8378,0.9408,0.0327,0.0147,2.4245,0.278,0.3851,1.8272,1.3192,2.618,0.4961,0.9845,yohei322,2009-09-12T03:39:54Z
"C0011B-9R-2, 0.0 cm",NULL,NULL,413.63,413.63,413.63,413.63,"C0011B-9R-2, 2.0 cm",NULL,NULL,413.65,413.65,413.65,413.65,"C0011B-9R-2 WR, 0.0--2.0 cm",CKY000000000000051510,PP,NULL,5,andre322,NULL,CKY,2009-09-10T16:00:33Z,NULL,444,glass beaker,6.198,2.783,9.2748,4.6897,3.0768,444,glass beaker,6.198,2.783,8.1458,3.5656,1.9478,1.1699,1.1425,0.7642,1.9067,0.7826,0.0409,0.0184,1.9069,0.3802,0.6135,1.6137,1.0001,2.4953,0.5992,1.495,fuway,2010-08-17T03:19:09Z
"C0011B-9R-3, 27.0 cm",NULL,NULL,414.31,414.31,414.31,414.31,"C0011B-9R-3, 29.0 cm",NULL,NULL,414.33,414.33,414.33,414.33,"C0011B-9R-3 W, 27.0--29.0 cm",CKY000000000000094910,PP,NULL,7,steffen322,NULL,CKY,2009-09-11T04:26:53Z,NULL,204,glass beaker,6.056,2.748,9.2362,4.4574,3.1802,204,glass beaker,6.056,2.748,8.3098,3.535,2.2538,0.96,0.9375,0.7719,1.7094,0.787,0.0336,0.0151,2.2202,0.3019,0.4324,1.8604,1.2988,2.8763,0.5484,1.2145,andre322,2009-09-12T05:25:27Z
"C0011B-9R-3, 105.0 cm",NULL,NULL,415.09,415.09,415.09,415.09,"C0011B-9R-3, 107.0 cm",NULL,NULL,415.11,415.11,415.11,415.11,"C0011B-9R-3 W, 105.0--107.0 cm",CKY000000000000095010,PP,NULL,5,steffen322,NULL,CKY,2009-09-11T04:27:25Z,NULL,197,glass beaker,6.03,2.721,8.6213,4.2113,2.5913,197,glass beaker,6.03,2.721,7.7914,3.3851,1.7614,0.86,0.8398,0.6505,1.4903,0.6641,0.0301,0.0136,1.7313,0.3319,0.4967,1.7388,1.1617,2.6615,0.5635,1.291,yohei322,2009-09-12T03:39:54Z
"C0011B-9R-4, 21.5 cm",NULL,NULL,415.665,415.665,415.665,415.665,"C0011B-9R-4, 23.0 cm",NULL,NULL,415.68,415.68,415.68,415.68,"C0011B-9R-4 W, 21.5--23.0 cm",CKY000000000000098710,PP,NULL,5,yohei322,NULL,CKY,2009-09-11T04:55:57Z,NULL,181,glass beaker,6.053,2.726,10.348,5.0653,4.295,181,glass beaker,6.053,2.726,9.1467,3.8692,3.0937,1.2449,1.2157,1.1236,2.3393,1.1432,0.0436,0.0196,3.0501,0.2898,0.4082,1.836,1.3039,2.7146,0.5197,1.082,fuway,2010-08-17T03:19:03Z
"C0011B-9R-4, 101.0 cm",NULL,NULL,416.46,416.46,416.46,416.46,"C0011B-9R-4, 102.5 cm",NULL,NULL,416.475,416.475,416.475,416.475,"C0011B-9R-4 W, 101.0--102.5 cm",CKY000000000000098810,PP,NULL,5,yohei322,NULL,CKY,2009-09-11T04:55:57Z,NULL,194,glass beaker,6.037,2.728,10.2853,5.0454,4.2483,194,glass beaker,6.037,2.728,9.0591,3.8245,3.0221,1.2707,1.2409,1.0765,2.3174,1.0965,0.0445,0.02,2.9776,0.2991,0.4268,1.8332,1.2849,2.766,0.5355,1.1527,yohei322,2009-09-12T03:39:54Z
"C0011B-9R-5, 32.0 cm",NULL,NULL,417.18,417.18,417.18,417.18,"C0011B-9R-5, 33.5 cm",NULL,NULL,417.195,417.195,417.195,417.195,"C0011B-9R-5 W, 32.0--33.5 cm",CKY000000000000098910,PP,NULL,5,yohei322,NULL,CKY,2009-09-11T05:06:16Z,NULL,123,glass beaker,6.057,2.719,10.1917,4.8597,4.1347,123,glass beaker,6.057,2.719,9.2099,3.8821,3.1529,1.0174,0.9936,1.1471,2.1407,1.1631,0.0356,0.016,3.1173,0.2461,0.3264,1.9315,1.4562,2.7175,0.4641,0.8662,fuway,2010-08-17T03:18:55Z
"C0011B-10R-1, 18.0 cm",NULL,NULL,422.18,422.18,422.18,422.18,"C0011B-10R-1, 19.0 cm",NULL,NULL,422.19,422.19,422.19,422.19,"C0011B-10R-1 W, 18.0--19.0 cm",CKY000000000000102710,PP,NULL,7,yohei322,NULL,CKY,2009-09-11T07:01:38Z,NULL,416,glass beaker,6.213,2.815,9.4299,4.5525,3.2169,416,glass beaker,6.213,2.815,8.5449,3.6714,2.3319,0.9171,0.8956,0.8419,1.7375,0.8564,0.0321,0.0145,2.2998,0.2851,0.3988,1.8515,1.3236,2.7317,0.5155,1.0638,andre322,2009-09-12T05:25:27Z
"C0011B-10R-1, 32.0 cm",NULL,NULL,422.32,422.32,422.32,422.32,"C0011B-10R-1, 34.0 cm",NULL,NULL,422.34,422.34,422.34,422.34,"C0011B-10R-1 WR, 32.0--34.0 cm",CKY000000000000075110,PP,NULL,7,matt322,NULL,CKY,2009-09-10T23:22:42Z,NULL,155,glass beaker,6.058,2.705,9.367,4.5547,3.309,155,glass beaker,6.058,2.705,8.4106,3.6024,2.3526,0.9911,0.9679,0.8818,1.8497,0.8974,0.0347,0.0156,2.3179,0.2995,0.4276,1.7889,1.2531,2.6286,0.5233,1.0976,yohei322,2009-09-12T01:58:11Z
"C0011B-10R-1, 99.0 cm",NULL,NULL,422.99,422.99,422.99,422.99,"C0011B-10R-1, 100.5 cm",NULL,NULL,423.005,423.005,423.005,423.005,"C0011B-10R-1 W, 99.0--100.5 cm",CKY000000000000102810,PP,NULL,5,yohei322,NULL,CKY,2009-09-11T07:20:38Z,NULL,174,glass beaker,6.018,2.69,9.5894,4.703,3.5714,174,glass beaker,6.018,2.69,8.524,3.6423,2.506,1.104,1.0781,0.9349,2.013,0.9523,0.0386,0.0174,2.4674,0.3091,0.4474,1.7742,1.2257,2.6392,0.5356,1.1532,fuway,2010-08-17T03:19:03Z
"C0011B-10R-2, 20.0 cm",NULL,NULL,423.605,423.605,423.605,423.605,"C0011B-10R-2, 22.0 cm",NULL,NULL,423.625,423.625,423.625,423.625,"C0011B-10R-2 W, 20.0--22.0 cm",CKY000000000000103010,PP,NULL,5,yohei322,NULL,CKY,2009-09-11T07:56:50Z,NULL,143,glass beaker,5.963,2.692,8.9951,4.3032,3.0321,143,glass beaker,5.963,2.692,8.1054,3.4173,2.1424,0.922,0.9004,0.7108,1.6112,0.7253,0.0323,0.0145,2.1101,0.3041,0.4369,1.8819,1.3096,2.9686,0.5588,1.2667,fuway,2010-08-17T03:18:59Z
"C0011B-10R-2, 100.0 cm",NULL,NULL,424.405,424.405,424.405,424.405,"C0011B-10R-2, 102.0 cm",NULL,NULL,424.425,424.425,424.425,424.425,"C0011B-10R-2 W, 100.0--102.0 cm",CKY000000000000103110,PP,NULL,5,yohei322,NULL,CKY,2009-09-11T07:56:51Z,NULL,195,glass beaker,6.065,2.719,10.0266,4.9085,3.9616,195,glass beaker,6.065,2.719,8.8939,3.7807,2.8289,1.1738,1.1463,1.0432,2.1895,1.0617,0.0411,0.0185,2.7878,0.2963,0.421,1.8094,1.2733,2.6724,0.5235,1.0988,fuway,2010-08-17T03:19:04Z
"C0011B-10R-3, 0.0 cm",NULL,NULL,424.745,424.745,424.745,424.745,"C0011B-10R-3, 2.0 cm",NULL,NULL,424.765,424.765,424.765,424.765,"C0011B-10R-3 WR, 0.0--2.0 cm",CKY000000000000059110,PP,NULL,5,matt322,NULL,CKY,2009-09-10T18:57:45Z,NULL,35,glass beaker,4.608,2.061,9.0274,4.4988,4.4194,35,glass beaker,4.608,2.061,7.7601,3.237,3.1521,1.3133,1.2825,1.1553,2.4378,1.176,0.046,0.0207,3.1061,0.2972,0.4228,1.8129,1.2741,2.6886,0.5261,1.1101,fuway,2010-08-17T03:18:53Z
"C0011B-11R-1, 25.0 cm",NULL,NULL,431.75,431.75,431.75,431.75,"C0011B-11R-1, 26.5 cm",NULL,NULL,431.765,431.765,431.765,431.765,"C0011B-11R-1 W, 25.0--26.5 cm",CKY000000000000105510,PP,NULL,5,yohei322,NULL,CKY,2009-09-11T08:47:14Z,NULL,196,glass beaker,6.099,2.757,10.0116,4.8534,3.9126,196,glass beaker,6.099,2.757,8.9747,3.821,2.8757,1.0745,1.0493,1.0471,2.0964,1.064,0.0376,0.0169,2.8381,0.2746,0.3786,1.8663,1.3538,2.7104,0.5005,1.0021,matt322,2009-09-12T14:52:24Z
"C0011B-11R-1, 93.0 cm",NULL,NULL,432.43,432.43,432.43,432.43,"C0011B-11R-1, 94.0 cm",NULL,NULL,432.44,432.44,432.44,432.44,"C0011B-11R-1 W, 93.0--94.0 cm",CKY000000000000105610,PP,NULL,5,yohei322,NULL,CKY,2009-09-11T08:47:14Z,NULL,126,glass beaker,6.045,2.685,9.7991,4.7403,3.7541,126,glass beaker,6.045,2.685,8.7624,3.7081,2.7174,1.0743,1.0491,1.0062,2.0553,1.0231,0.0376,0.0169,2.6798,0.2862,0.4009,1.8265,1.3038,2.6633,0.5104,1.0426,fuway,2010-08-17T03:18:57Z
"C0011B-11R-2, 18.5 cm",NULL,NULL,433.085,433.085,433.085,433.085,"C0011B-11R-2, 20.0 cm",NULL,NULL,433.1,433.1,433.1,433.1,"C0011B-11R-2 W, 18.5--20.0 cm",CKY000000000000106310,PP,NULL,5,huaichun322,NULL,CKY,2009-09-11T09:22:19Z,NULL,112,glass beaker,6.02,2.706,8.8896,4.3043,2.8696,112,glass beaker,6.02,2.706,8.0435,3.4618,2.0235,0.8768,0.8563,0.742,1.5983,0.7558,0.0307,0.0138,1.9928,0.3055,0.44,1.7954,1.2468,2.6857,0.5358,1.154,fuway,2010-08-17T03:18:54Z
"C0011B-11R-2, 85.0 cm",NULL,NULL,433.75,433.75,433.75,433.75,"C0011B-11R-2, 87.0 cm",NULL,NULL,433.77,433.77,433.77,433.77,"C0011B-11R-2 WR, 85.0--87.0 cm",CKY000000000000083810,PP,NULL,5,brandon322,NULL,CKY,2009-09-11T01:32:36Z,NULL,159,glass beaker,6.088,2.75,9.3523,4.5252,3.2643,159,glass beaker,6.088,2.75,8.466,3.6428,2.378,0.9184,0.8969,0.8783,1.7752,0.8928,0.0321,0.0145,2.3459,0.2813,0.3915,1.8388,1.3215,2.671,0.5052,1.0212,yohei322,2009-09-12T03:39:54Z
"C0011B-11R-3, 9.5 cm",NULL,NULL,434.4,434.4,434.4,434.4,"C0011B-11R-3, 11.0 cm",NULL,NULL,434.415,434.415,434.415,434.415,"C0011B-11R-3 W, 9.5--11.0 cm",CKY000000000000108610,PP,NULL,5,huaichun322,NULL,CKY,2009-09-11T10:06:15Z,NULL,424,glass beaker,6.2,2.809,9.2586,4.7205,3.0586,424,glass beaker,6.2,2.809,8.0369,3.5042,1.8369,1.266,1.2363,0.6752,1.9115,0.6952,0.0443,0.02,1.7926,0.4139,0.7062,1.6001,0.9378,2.6549,0.6468,1.831,andre322,2009-09-12T14:54:22Z
"C0011B-11R-4, 0.0 cm",NULL,NULL,434.64,434.64,434.64,434.64,"C0011B-11R-4, 2.0 cm",NULL,NULL,434.66,434.66,434.66,434.66,"C0011B-11R-4 WR, 0.0--2.0 cm",CKY000000000000065410,PP,NULL,5,matt322,NULL,CKY,2009-09-10T21:15:52Z,NULL,163,glass beaker,6.102,2.74,9.6703,5.0503,3.5683,163,glass beaker,6.102,2.74,8.2116,3.5979,2.1096,1.5116,1.4762,0.8341,2.3103,0.8579,0.0529,0.0238,2.0567,0.4236,0.735,1.5445,0.8902,2.4658,0.639,1.7698,fuway,2010-08-17T03:19:02Z
"C0011B-11R-5, 23.0 cm",NULL,NULL,435.51,435.51,435.51,435.51,"C0011B-11R-5, 25.0 cm",NULL,NULL,435.53,435.53,435.53,435.53,"C0011B-11R-5 W, 23.0--25.0 cm",CKY000000000000109710,PP,NULL,5,yohei322,NULL,CKY,2009-09-11T11:10:49Z,NULL,407,glass beaker,6.251,2.813,8.0306,3.9046,1.7796,407,glass beaker,6.251,2.813,7.3964,3.2732,1.1454,0.6572,0.6418,0.4498,1.0916,0.4602,0.023,0.0104,1.1224,0.3693,0.5855,1.6303,1.0282,2.4953,0.5879,1.4269,fuway,2010-08-17T03:19:05Z
"C0011B-11R-5, 107.0 cm",NULL,NULL,436.35,436.35,436.35,436.35,"C0011B-11R-5, 109.0 cm",NULL,NULL,436.37,436.37,436.37,436.37,"C0011B-11R-5 WR, 107.0--109.0 cm",CKY000000000000087010,PP,NULL,5,brandon322,NULL,CKY,2009-09-11T02:07:35Z,NULL,26,glass beaker,4.593,2.059,8.6081,4.2917,4.0151,26,glass beaker,4.593,2.059,7.5123,3.2007,2.9193,1.1355,1.1089,1.1238,2.2327,1.1417,0.0397,0.0179,2.8796,0.2828,0.3943,1.7983,1.2897,2.5624,0.4967,0.9867,fuway,2010-08-17T03:18:53Z
"C0011B-11R-6, 29.0 cm",NULL,NULL,436.975,436.975,436.975,436.975,"C0011B-11R-6, 31.0 cm",NULL,NULL,436.995,436.995,436.995,436.995,"C0011B-11R-6 W, 29.0--31.0 cm",CKY000000000000110010,PP,NULL,5,yohei322,NULL,CKY,2009-09-11T11:14:13Z,NULL,413,glass beaker,6.186,2.789,9.9376,4.8672,3.7516,413,glass beaker,6.186,2.789,8.8484,3.7828,2.6624,1.1287,1.1022,0.976,2.0782,0.9938,0.0395,0.0178,2.6229,0.3009,0.4303,1.8052,1.2621,2.6874,0.5304,1.1293,fuway,2010-08-17T03:19:05Z
"C0011B-11R-6, 99.0 cm",NULL,NULL,437.675,437.675,437.675,437.675,"C0011B-11R-6, 101.0 cm",NULL,NULL,437.695,437.695,437.695,437.695,"C0011B-11R-6 W, 99.0--101.0 cm",CKY000000000000110110,PP,NULL,5,yohei322,NULL,CKY,2009-09-11T11:14:13Z,NULL,408,glass beaker,6.228,2.809,9.3659,4.5128,3.1379,408,glass beaker,6.228,2.809,8.5254,3.6759,2.2974,0.871,0.8506,0.8532,1.7038,0.8669,0.0305,0.0137,2.2669,0.2776,0.3842,1.8417,1.3305,2.6569,0.4992,0.997,fuway,2010-08-17T03:19:05Z
"C0011B-11R-7, 25.0 cm",NULL,NULL,438.345,438.345,438.345,438.345,"C0011B-11R-7, 26.5 cm",NULL,NULL,438.36,438.36,438.36,438.36,"C0011B-11R-7 W, 25.0--26.5 cm",CKY000000000000110310,PP,NULL,5,yohei322,NULL,CKY,2009-09-11T11:41:18Z,NULL,434,glass beaker,6.224,2.858,9.9678,4.9452,3.7438,434,glass beaker,6.224,2.858,8.8619,3.8442,2.6379,1.146,1.1191,0.9681,2.0872,0.9862,0.0401,0.0181,2.5978,0.3061,0.4411,1.7937,1.2446,2.6834,0.5362,1.156,yohei322,2009-09-12T22:22:30Z
"C0011B-11R-7, 132.0 cm",NULL,NULL,439.415,439.415,439.415,439.415,"C0011B-11R-7, 134.0 cm",NULL,NULL,439.435,439.435,439.435,439.435,"C0011B-11R-7 WR, 132.0--134.0 cm",CKY000000000000088310,PP,NULL,5,brandon322,NULL,CKY,2009-09-11T02:39:58Z,NULL,125,glass beaker,6.079,2.755,9.0596,4.3385,2.9806,125,glass beaker,6.079,2.755,8.3392,3.6213,2.2602,0.7465,0.729,0.8545,1.5835,0.8663,0.0261,0.0118,2.2341,0.2505,0.3341,1.8823,1.4109,2.6145,0.4604,0.8531,fuway,2010-08-17T03:18:55Z
"C0011B-11R-8, 26.0 cm",NULL,NULL,439.765,439.765,439.765,439.765,"C0011B-11R-8, 27.0 cm",NULL,NULL,439.775,439.775,439.775,439.775,"C0011B-11R-8 W, 26.0--27.0 cm",CKY000000000000111810,PP,NULL,5,andre322,NULL,CKY,2009-09-11T12:10:00Z,NULL,440,glass beaker,6.194,2.758,9.3159,4.5392,3.1219,440,glass beaker,6.194,2.758,8.3992,3.6266,2.2052,0.9499,0.9276,0.8536,1.7812,0.8686,0.0332,0.015,2.172,0.3043,0.4373,1.7527,1.2194,2.5445,0.5208,1.0867,yohei322,2009-09-12T22:22:30Z
"C0011B-11R-8, 76.0 cm",NULL,NULL,440.265,440.265,440.265,440.265,"C0011B-11R-8, 77.0 cm",NULL,NULL,440.275,440.275,440.275,440.275,"C0011B-11R-8 W, 76.0--77.0 cm",CKY000000000000111910,PP,NULL,5,andre322,NULL,CKY,2009-09-11T12:10:00Z,NULL,144,glass beaker,6.08,2.726,9.3154,4.2083,3.2354,144,glass beaker,6.08,2.726,8.921,3.8156,2.841,0.4087,0.3991,1.0832,1.4823,1.0896,0.0143,0.0064,2.8267,0.1263,0.1446,2.1827,1.907,2.6096,0.2692,0.3684,yohei322,2009-09-12T22:22:30Z
