Top Core Depth [],Top Drilling depth below sea floor [m DSF],"Top Depth DSF, MSF, WSF and CSF-B [m, CMP]",Top Core depth (below sea floor) [m CSF-A],Top Core depth (below sea floor) [m CSF-B],"Top Depth DSF, MSF, WSF and CSF-A [m]",Bottom Core Depth [],Bottom Drilling depth below sea floor [m DSF],"Bottom Depth DSF, MSF, WSF and CSF-B [m, CMP]",Bottom Core depth (below sea floor) [m CSF-A],Bottom Core depth (below sea floor) [m CSF-B],"Bottom Depth DSF, MSF, WSF and CSF-A [m]",Sample source,J-CORES sample ID,Sample code,Sample request,Sample volume (cm3),Sample entered by,Sample comment,Sample repository,Sample time-stamp,moisture and density::comment on measurement::text,moisture and density::beaker mass [g]::number,moisture and density::beaker volume [cm3]::number,moisture and density::wet sample beaker+sample mass [g]::number,moisture and density::wet bulk mass [g]::number,moisture and density::dry sample beaker+sample mass [g]::number,moisture and density::dry sample beaker+sample volume [cm3]::number,moisture and density::dry bulk mass [g]::number,moisture and density::pore water mass [g]::number,moisture and density::pore water volume [cm3]::number,moisture and density::solids volume: dry bulk - salt [cm3]::number,moisture and density::wet bulk volume: solids + pore water [cm3]::number,moisture and density::dry bulk volume [cm3]::number,moisture and density::salt mass [g]::number,moisture and density::salt volume [cm3]::number,moisture and density::solids mass [g]::number,moisture and density::water content wet::number,moisture and density::water content dry::number,moisture and density::bulk density [g/cm3]::number,moisture and density::dry density [g/cm3]::number,moisture and density::grain density [g/cm3]::number,moisture and density::porosity::number,moisture and density::void ratio::number,moisture and density::registerer,moisture and density::registration time-stamp
"C0002L-6X-2, 121.0 cm",NULL,326.509,326.525,326.509,326.525,"C0002L-6X-2, 124.0 cm",NULL,326.539,326.555,326.539,326.555,"C0002L-6X-2 WR, 121.0--124.0 cm",CKY000000000001423310,PP,NULL,6,kitajima338,NULL,CKY,2012-12-23T09:06:28Z,NULL,18.8323,8.4614,29.4739,10.6416,26.6339,11.4,7.8016,2.943,2.874,2.8918,5.7658,2.9386,0.103,0.0468,7.6986,0.2766,0.3823,1.8456,1.3352,2.6622,0.4985,0.9938,suzukit,2012-12-29T01:31:16Z
"C0002L-6X-3, 20.0 cm",NULL,326.911,326.93,326.911,326.93,"C0002L-6X-3, 29.5 cm",NULL,327.005,327.025,327.005,327.025,"C0002L-6X-3 WR, 20.0--29.5 cm",CKY000000000001425810,PP,NULL,6,oohashi338,NULL,CKY,2012-12-23T10:52:20Z,NULL,18.8492,8.5421,42.3626,23.5134,36.8838,15.1912,18.0346,5.6775,5.5444,6.5588,12.1032,6.6491,0.1987,0.0903,17.8359,0.2415,0.3183,1.9427,1.4737,2.7194,0.4581,0.8453,suzukit,2012-12-29T01:31:16Z
"C0002L-6X-5, 103.0 cm",NULL,328.444,328.475,328.444,328.475,"C0002L-6X-5, 105.0 cm",NULL,328.464,328.495,328.464,328.495,"C0002L-6X-5 W, 103.0--105.0 cm",CKY000000000001442910,PP,NULL,8,skarbek338,NULL,CKY,2012-12-24T02:44:30Z,sand,18.3714,8.2681,30.8025,12.4311,27.0806,11.4945,8.7092,3.8569,3.7665,3.165,6.9315,3.2264,0.135,0.0614,8.5742,0.3103,0.4498,1.7934,1.237,2.7091,0.5434,1.19,suzukit,2012-12-29T01:31:16Z
"C0002L-6X-6, 11.0 cm",NULL,328.747,328.78,328.747,328.78,"C0002L-6X-6, 13.0 cm",NULL,328.766,328.8,328.766,328.8,"C0002L-6X-6 W, 11.0--13.0 cm",CKY000000000001443010,PP,NULL,8,skarbek338,NULL,CKY,2012-12-24T02:44:30Z,NULL,19.0918,8.6504,34.9582,15.8664,30.9801,12.9429,11.8883,4.1224,4.0258,4.2269,8.2527,4.2925,0.1443,0.0656,11.744,0.2598,0.351,1.9226,1.423,2.7784,0.4878,0.9524,suzukit,2012-12-29T01:31:16Z
"C0002L-6X-6, 57.0 cm",NULL,329.203,329.24,329.203,329.24,"C0002L-6X-6, 59.0 cm",NULL,329.223,329.26,329.223,329.26,"C0002L-6X-6 W, 57.0--59.0 cm",CKY000000000001443110,PP,NULL,8,skarbek338,NULL,CKY,2012-12-24T02:44:30Z,sandy,18.9988,8.58,35.8255,16.8267,31.2684,13.1582,12.2696,4.7224,4.6117,4.5031,9.1148,4.5782,0.1653,0.0751,12.1043,0.2806,0.3901,1.8461,1.328,2.688,0.506,1.0241,suzukit,2012-12-29T01:31:16Z
"C0002L-6X-7, 17.0 cm",NULL,330.026,330.07,330.026,330.07,"C0002L-6X-7, 19.0 cm",NULL,330.046,330.09,330.046,330.09,"C0002L-6X-7 WR, 17.0--19.0 cm",CKY000000000001426610,PP,NULL,6,oohashi338,NULL,CKY,2012-12-23T11:04:19Z,NULL,18.9971,8.5818,34.7802,15.7831,30.2221,12.6744,11.225,4.7234,4.6127,4.0175,8.6302,4.0926,0.1653,0.0751,11.0597,0.2993,0.4271,1.8288,1.2815,2.7529,0.5345,1.1482,suzukit,2012-12-29T01:31:16Z
"C0002L-6X-7, 98.0 cm",NULL,330.83,330.88,330.83,330.88,"C0002L-6X-7, 100.0 cm",NULL,330.85,330.9,330.85,330.9,"C0002L-6X-7 W, 98.0--100.0 cm",CKY000000000001443210,PP,NULL,8,skarbek338,NULL,CKY,2012-12-24T02:44:30Z,NULL,18.8056,8.4942,33.6682,14.8626,29.6199,12.4806,10.8143,4.1951,4.0968,3.9197,8.0165,3.9864,0.1468,0.0667,10.6675,0.2823,0.3933,1.854,1.3307,2.7215,0.511,1.0452,suzukit,2012-12-29T01:31:16Z
"C0002L-6X-8, 12.0 cm",NULL,331.366,331.42,331.366,331.42,"C0002L-6X-8, 14.0 cm",NULL,331.386,331.44,331.386,331.44,"C0002L-6X-8 WR, 12.0--14.0 cm",CKY000000000001428410,PP,NULL,6,oohashi338,NULL,CKY,2012-12-23T11:15:42Z,NULL,18.8396,8.4922,34.3612,15.5216,30.7321,12.8505,11.8925,3.7607,3.6726,4.2985,7.9711,4.3583,0.1316,0.0598,11.7609,0.2423,0.3198,1.9472,1.4754,2.736,0.4607,0.8544,suzukit,2012-12-29T01:31:16Z
"C0002L-6X-8, 109.0 cm",NULL,332.328,332.39,332.328,332.39,"C0002L-6X-8, 111.0 cm",NULL,332.348,332.41,332.348,332.41,"C0002L-6X-8 W, 109.0--111.0 cm",CKY000000000001443310,PP,NULL,8,skarbek338,NULL,CKY,2012-12-24T02:44:30Z,NULL,18.3084,8.2823,29.9346,11.6262,26.328,11.1246,8.0196,3.7374,3.6498,2.7828,6.4326,2.8423,0.1308,0.0595,7.8888,0.3215,0.4738,1.8074,1.2264,2.8348,0.5674,1.3116,suzukit,2012-12-29T01:31:16Z
"C0002L-6X-9, 13.0 cm",NULL,332.487,332.55,332.487,332.55,"C0002L-6X-9, 15.0 cm",NULL,332.507,332.57,332.507,332.57,"C0002L-6X-9 W, 13.0--15.0 cm",CKY000000000001443510,PP,NULL,8,skarbek338,NULL,CKY,2012-12-24T02:44:30Z,NULL,18.7983,8.4293,28.7931,9.9948,25.8367,11.0003,7.0384,3.0636,2.9918,2.5223,5.5141,2.571,0.1072,0.0487,6.9312,0.3065,0.442,1.8126,1.257,2.748,0.5426,1.1861,suzukit,2012-12-29T01:31:16Z
"C0002L-6X-9, 78.0 cm",NULL,333.132,333.2,333.132,333.2,"C0002L-6X-9, 80.0 cm",NULL,333.152,333.22,333.152,333.22,"C0002L-6X-9 W, 78.0--80.0 cm",CKY000000000001443410,PP,NULL,8,skarbek338,NULL,CKY,2012-12-24T02:44:30Z,NULL,18.9302,8.5726,32.4872,13.557,28.7165,12.1482,9.7863,3.9075,3.8159,3.5134,7.3293,3.5756,0.1368,0.0622,9.6495,0.2882,0.4049,1.8497,1.3166,2.7465,0.5206,1.0861,suzukit,2012-12-29T01:31:16Z
"C0002L-7X-1, 23.0 cm",NULL,334.23,334.23,334.23,334.23,"C0002L-7X-1, 25.0 cm",NULL,334.25,334.25,334.25,334.25,"C0002L-7X-1 W, 23.0--25.0 cm",CKY000000000001443710,PP,NULL,8,skarbek338,NULL,CKY,2012-12-24T04:16:50Z,NULL,18.2029,8.2032,31.6255,13.4226,27.1348,11.4226,8.9319,4.6536,4.5445,3.1454,7.6899,3.2194,0.1629,0.074,8.769,0.3467,0.5307,1.7455,1.1403,2.7879,0.591,1.4448,suzukit,2012-12-29T01:31:16Z
"C0002L-7X-1, 71.0 cm",NULL,334.71,334.71,334.71,334.71,"C0002L-7X-1, 73.0 cm",NULL,334.73,334.73,334.73,334.73,"C0002L-7X-1 W, 71.0--73.0 cm",CKY000000000001443810,PP,NULL,8,skarbek338,NULL,CKY,2012-12-24T04:16:50Z,NULL,18.7831,8.4258,33.349,14.5659,29.5129,12.3629,10.7298,3.9752,3.882,3.8739,7.7559,3.9371,0.1391,0.0632,10.5907,0.2729,0.3753,1.878,1.3655,2.7339,0.5005,1.0021,suzukit,2012-12-29T01:31:16Z
"C0002L-7X-3, 0.0 cm",NULL,335.36,335.36,335.36,335.36,"C0002L-7X-3, 3.0 cm",NULL,335.39,335.39,335.39,335.39,"C0002L-7X-3 W, 0.0--3.0 cm",CKY000000000001443910,PP,NULL,8,skarbek338,NULL,CKY,2012-12-24T04:16:50Z,NULL,19.1347,8.6493,33.1198,13.9851,29.2378,12.3717,10.1031,4.0228,3.9285,3.6584,7.5869,3.7224,0.1408,0.064,9.9623,0.2876,0.4038,1.8433,1.3131,2.7231,0.5178,1.0738,suzukit,2012-12-29T01:31:16Z
"C0002L-7X-3, 90.0 cm",NULL,336.26,336.26,336.26,336.26,"C0002L-7X-3, 92.0 cm",NULL,336.28,336.28,336.28,336.28,"C0002L-7X-3 W, 90.0--92.0 cm",CKY000000000001444010,PP,NULL,8,skarbek338,NULL,CKY,2012-12-24T04:16:50Z,NULL,19.1081,8.6128,35.3849,16.2768,31.6013,13.2295,12.4932,3.9208,3.8289,4.5543,8.3832,4.6167,0.1372,0.0624,12.356,0.2409,0.3173,1.9416,1.4739,2.713,0.4567,0.8407,suzukit,2012-12-29T01:31:16Z
"C0002L-8X-1, 4.0 cm",NULL,343.54,343.54,343.54,343.54,"C0002L-8X-1, 6.0 cm",NULL,343.56,343.56,343.56,343.56,"C0002L-8X-1 W, 4.0--6.0 cm",CKY000000000001449910,PP,NULL,8,skarbek338,NULL,CKY,2012-12-24T08:12:23Z,NULL,18.2062,8.1985,32.9924,14.7862,29.1257,12.1867,10.9195,4.0069,3.913,3.9245,7.8375,3.9882,0.1402,0.0637,10.7793,0.271,0.3717,1.8866,1.3753,2.7467,0.4993,0.9971,suzukit,2012-12-29T01:31:16Z
"C0002L-8X-2, 28.0 cm",NULL,344.085,344.085,344.085,344.085,"C0002L-8X-2, 30.0 cm",NULL,344.105,344.105,344.105,344.105,"C0002L-8X-2 W, 28.0--30.0 cm",CKY000000000001450010,PP,NULL,8,skarbek338,NULL,CKY,2012-12-24T08:12:23Z,sand,18.8626,8.5056,38.6789,19.8163,33.4308,13.8982,14.5682,5.4384,5.3109,5.3061,10.617,5.3926,0.1903,0.0865,14.3779,0.2744,0.3782,1.8665,1.3542,2.7097,0.5002,1.0009,suzukit,2012-12-29T01:31:16Z
"C0002L-8X-2, 105.0 cm",NULL,344.855,344.855,344.855,344.855,"C0002L-8X-2, 107.0 cm",NULL,344.875,344.875,344.875,344.875,"C0002L-8X-2 W, 105.0--107.0 cm",CKY000000000001450110,PP,NULL,8,skarbek338,NULL,CKY,2012-12-24T08:12:23Z,NULL,18.7673,8.4928,41.9773,23.21,35.865,14.7846,17.0977,6.334,6.1855,6.191,12.3765,6.2918,0.2217,0.1008,16.876,0.2729,0.3753,1.8753,1.3636,2.7259,0.4998,0.9991,suzukit,2012-12-29T01:31:16Z
"C0002L-8X-3, 20.0 cm",NULL,345.18,345.18,345.18,345.18,"C0002L-8X-3, 22.0 cm",NULL,345.2,345.2,345.2,345.2,"C0002L-8X-3 W, 20.0--22.0 cm",CKY000000000001450210,PP,NULL,8,skarbek338,NULL,CKY,2012-12-24T08:12:23Z,sand,18.7893,8.4964,30.7905,12.0012,28.1579,11.9228,9.3686,2.7281,2.6642,3.383,6.0472,3.4264,0.0955,0.0434,9.2731,0.2273,0.2942,1.9846,1.5335,2.7411,0.4406,0.7875,suzukit,2012-12-29T01:31:16Z
"C0002L-8X-3, 91.0 cm",NULL,345.89,345.89,345.89,345.89,"C0002L-8X-3, 93.0 cm",NULL,345.91,345.91,345.91,345.91,"C0002L-8X-3 W, 91.0--93.0 cm",CKY000000000001450310,PP,NULL,8,skarbek338,NULL,CKY,2012-12-24T08:12:23Z,NULL,18.1205,8.1758,36.0554,17.9349,31.5025,13.0884,13.382,4.718,4.6074,4.8376,9.445,4.9126,0.1651,0.075,13.2169,0.2631,0.357,1.8989,1.3994,2.7321,0.4878,0.9524,suzukit,2012-12-29T01:31:16Z
"C0002L-8X-5, 0.0 cm",NULL,346.7,346.7,346.7,346.7,"C0002L-8X-5, 3.0 cm",NULL,346.73,346.73,346.73,346.73,"C0002L-8X-5 W, 0.0--3.0 cm",CKY000000000001450410,PP,NULL,8,skarbek338,NULL,CKY,2012-12-24T08:12:23Z,NULL,19.0215,8.5802,28.9591,9.9376,26.1832,11.2194,7.1617,2.8766,2.8092,2.5934,5.4026,2.6392,0.1007,0.0458,7.061,0.2895,0.4074,1.8394,1.307,2.7227,0.52,1.0832,suzukit,2012-12-29T01:31:16Z
"C0002L-8X-5, 75.0 cm",NULL,347.45,347.45,347.45,347.45,"C0002L-8X-5, 77.0 cm",NULL,347.47,347.47,347.47,347.47,"C0002L-8X-5 W, 75.0--77.0 cm",CKY000000000001450510,PP,NULL,8,skarbek338,NULL,CKY,2012-12-24T08:12:23Z,sand,18.5797,8.4035,32.9536,14.3739,29.2024,12.2194,10.6227,3.8873,3.7962,3.754,7.5502,3.8159,0.1361,0.0619,10.4866,0.2704,0.3707,1.9038,1.3889,2.7934,0.5028,1.0112,suzukit,2012-12-29T01:31:16Z
"C0002L-8X-6, 53.0 cm",NULL,348.635,348.635,348.635,348.635,"C0002L-8X-6, 55.0 cm",NULL,348.655,348.655,348.655,348.655,"C0002L-8X-6 W, 53.0--55.0 cm",CKY000000000001450610,PP,NULL,8,skarbek338,NULL,CKY,2012-12-24T08:12:23Z,sand,18.1418,8.141,32.2258,14.084,28.6929,12.0819,10.5511,3.661,3.5752,3.8827,7.4579,3.9409,0.1281,0.0582,10.423,0.2599,0.3512,1.8885,1.3976,2.6845,0.4794,0.9208,suzukit,2012-12-29T01:31:16Z
"C0002L-8X-6, 113.0 cm",NULL,349.235,349.235,349.235,349.235,"C0002L-8X-6, 115.0 cm",NULL,349.255,349.255,349.255,349.255,"C0002L-8X-6 W, 113.0--115.0 cm",CKY000000000001450710,PP,NULL,8,skarbek338,NULL,CKY,2012-12-24T08:12:24Z,NULL,18.6911,8.4426,42.7594,24.0683,36.6293,15.0029,17.9382,6.3524,6.2035,6.4593,12.6628,6.5603,0.2223,0.101,17.7159,0.2639,0.3586,1.9007,1.3991,2.7427,0.4899,0.9604,suzukit,2012-12-29T01:31:16Z
"C0002L-8X-7, 43.0 cm",NULL,349.945,349.945,349.945,349.945,"C0002L-8X-7, 45.0 cm",NULL,349.965,349.965,349.965,349.965,"C0002L-8X-7 W, 43.0--45.0 cm",CKY000000000001450810,PP,NULL,8,skarbek338,NULL,CKY,2012-12-24T08:12:24Z,sand,18.1918,8.1821,33.0346,14.8428,29.3613,12.3634,11.1695,3.8065,3.7173,4.1208,7.8381,4.1813,0.1332,0.0605,11.0363,0.2565,0.3449,1.8937,1.408,2.6782,0.4743,0.9021,suzukit,2012-12-29T01:31:16Z
"C0002L-8X-7, 73.0 cm",NULL,350.245,350.245,350.245,350.245,"C0002L-8X-7, 75.0 cm",NULL,350.265,350.265,350.265,350.265,"C0002L-8X-7 W, 73.0--75.0 cm",CKY000000000001450910,PP,NULL,8,skarbek338,NULL,CKY,2012-12-24T08:12:24Z,NULL,18.7086,8.3626,35.4484,16.7398,30.8276,12.9458,12.119,4.7884,4.6762,4.507,9.1832,4.5832,0.1676,0.0762,11.9514,0.286,0.4007,1.8229,1.3014,2.6517,0.5092,1.0375,suzukit,2012-12-29T01:31:16Z
"C0002L-8X-8, 11.0 cm",NULL,351.03,351.03,351.03,351.03,"C0002L-8X-8, 13.0 cm",NULL,351.05,351.05,351.05,351.05,"C0002L-8X-8 W, 11.0--13.0 cm",CKY000000000001451010,PP,NULL,8,skarbek338,NULL,CKY,2012-12-24T08:12:24Z,NULL,18.8311,8.4767,32.5111,13.68,28.5773,12.1099,9.7462,4.0765,3.981,3.5683,7.5493,3.6332,0.1427,0.0649,9.6035,0.298,0.4245,1.8121,1.2721,2.6913,0.5273,1.1157,suzukit,2012-12-29T01:31:16Z
"C0002L-8X-9, 6.0 cm",NULL,351.68,351.68,351.68,351.68,"C0002L-8X-9, 8.0 cm",NULL,351.7,351.7,351.7,351.7,"C0002L-8X-9 W, 6.0--8.0 cm",CKY000000000001451110,PP,NULL,8,skarbek338,NULL,CKY,2012-12-24T08:12:24Z,NULL,18.865,8.4922,35.2049,16.3399,31.4197,13.0889,12.5547,3.9225,3.8306,4.5343,8.3649,4.5967,0.1373,0.0624,12.4174,0.2401,0.3159,1.9534,1.4845,2.7385,0.4579,0.8448,suzukit,2012-12-29T01:31:16Z
"C0002L-8X-9, 71.0 cm",NULL,352.33,352.33,352.33,352.33,"C0002L-8X-9, 73.0 cm",NULL,352.35,352.35,352.35,352.35,"C0002L-8X-9 W, 71.0--73.0 cm",CKY000000000001451210,PP,NULL,8,skarbek338,NULL,CKY,2012-12-24T08:12:24Z,NULL,18.8148,8.4543,34.1467,15.3319,30.5164,12.7537,11.7016,3.762,3.6738,4.2395,7.9133,4.2994,0.1317,0.0599,11.5699,0.2454,0.3252,1.9375,1.4621,2.7291,0.4643,0.8666,suzukit,2012-12-29T01:31:16Z
"C0002L-9X-1, 9.0 cm",NULL,353.09,353.09,353.09,353.09,"C0002L-9X-1, 11.0 cm",NULL,353.11,353.11,353.11,353.11,"C0002L-9X-1 W, 9.0--11.0 cm",CKY000000000001456810,PP,NULL,8,skarbek338,NULL,CKY,2012-12-24T12:03:02Z,NULL,18.7225,8.4997,30.6647,11.9422,27.8959,11.7861,9.1734,2.8692,2.802,3.2408,6.0428,3.2864,0.1004,0.0456,9.073,0.2403,0.3162,1.9763,1.5015,2.7996,0.4637,0.8646,suzukit,2012-12-29T01:31:16Z
"C0002L-9X-1, 40.0 cm",NULL,353.4,353.4,353.4,353.4,"C0002L-9X-1, 43.0 cm",NULL,353.43,353.43,353.43,353.43,"C0002L-9X-1 WR, 40.0--43.0 cm",CKY000000000001435610,PP,NULL,6,oohashi338,NULL,CKY,2012-12-23T16:12:42Z,NULL,19.0712,8.5636,33.0909,14.0197,29.3237,12.3404,10.2525,3.9038,3.8123,3.7147,7.527,3.7768,0.1366,0.0621,10.1159,0.2785,0.3859,1.8626,1.3439,2.7232,0.5065,1.0263,suzukit,2012-12-29T01:31:16Z
"C0002L-9X-2, 36.0 cm",NULL,353.98,353.98,353.98,353.98,"C0002L-9X-2, 38.0 cm",NULL,354,354,354,354,"C0002L-9X-2 W, 36.0--38.0 cm",CKY000000000001456910,PP,NULL,8,skarbek338,NULL,CKY,2012-12-24T12:03:02Z,NULL,18.861,8.4674,38.0485,19.1875,33.1355,13.6952,14.2745,5.0912,4.9719,5.1468,10.1187,5.2278,0.1782,0.081,14.0963,0.2653,0.3612,1.8962,1.3931,2.7388,0.4914,0.966,suzukit,2012-12-29T01:31:16Z
"C0002L-9X-3, 25.0 cm",NULL,354.53,354.53,354.53,354.53,"C0002L-9X-3, 27.0 cm",NULL,354.55,354.55,354.55,354.55,"C0002L-9X-3 W, 25.0--27.0 cm",CKY000000000001457010,PP,NULL,8,skarbek338,SAND,CKY,2012-12-24T12:03:02Z,sand,18.7631,8.4717,34.9704,16.2073,30.8062,12.871,12.0431,4.3152,4.2141,4.3307,8.5448,4.3993,0.151,0.0686,11.8921,0.2663,0.3629,1.8967,1.3917,2.746,0.4932,0.9731,suzukit,2012-12-29T01:31:16Z
"C0002L-9X-3, 80.0 cm",NULL,355.08,355.08,355.08,355.08,"C0002L-9X-3, 82.0 cm",NULL,355.1,355.1,355.1,355.1,"C0002L-9X-3 W, 80.0--82.0 cm",CKY000000000001457110,PP,NULL,8,skarbek338,NULL,CKY,2012-12-24T12:03:02Z,NULL,18.7915,8.4526,36.5901,17.7986,31.752,13.211,12.9605,5.0136,4.8961,4.6786,9.5747,4.7584,0.1755,0.0798,12.785,0.2817,0.3921,1.8589,1.3353,2.7327,0.5114,1.0465,suzukit,2012-12-29T01:31:16Z
"C0002L-9X-4, 20.0 cm",NULL,355.405,355.405,355.405,355.405,"C0002L-9X-4, 22.0 cm",NULL,355.425,355.425,355.425,355.425,"C0002L-9X-4 W, 20.0--22.0 cm",CKY000000000001457210,PP,NULL,8,skarbek338,NULL,CKY,2012-12-24T12:03:02Z,NULL,18.028,8.1617,32.4317,14.4037,29.1061,12.2079,11.0781,3.4462,3.3654,3.9914,7.3568,4.0462,0.1206,0.0548,10.9575,0.2393,0.3145,1.9579,1.4894,2.7453,0.4575,0.8432,suzukit,2012-12-29T01:31:16Z
"C0002L-9X-4, 70.0 cm",NULL,355.905,355.905,355.905,355.905,"C0002L-9X-4, 72.0 cm",NULL,355.925,355.925,355.925,355.925,"C0002L-9X-4 W, 70.0--72.0 cm",CKY000000000001457310,PP,NULL,8,skarbek338,NULL,CKY,2012-12-24T12:03:02Z,NULL,18.8066,8.4596,38.3807,19.5741,33.884,14.0045,15.0774,4.6598,4.5506,5.4708,10.0214,5.5449,0.1631,0.0741,14.9143,0.2381,0.3124,1.9532,1.4882,2.7262,0.4541,0.8318,suzukit,2012-12-29T01:31:16Z
"C0002L-9X-6, 0.0 cm",NULL,356.725,356.725,356.725,356.725,"C0002L-9X-6, 2.0 cm",NULL,356.745,356.745,356.745,356.745,"C0002L-9X-6 W, 0.0--2.0 cm",CKY000000000001457410,PP,NULL,8,skarbek338,NULL,CKY,2012-12-24T12:03:02Z,NULL,18.8333,8.456,36.9464,18.1131,32.5804,13.4497,13.7471,4.5244,4.4184,4.9217,9.3401,4.9937,0.1584,0.072,13.5887,0.2498,0.333,1.9393,1.4549,2.761,0.4731,0.8977,suzukit,2012-12-29T01:31:16Z
"C0002L-9X-6, 34.5 cm",NULL,357.07,357.07,357.07,357.07,"C0002L-9X-6, 37.5 cm",NULL,357.1,357.1,357.1,357.1,"C0002L-9X-6 WR, 34.5--37.5 cm",CKY000000000001447410,PP,NULL,6,kitajima338,NULL,CKY,2012-12-24T05:24:29Z,NULL,18.3187,8.2486,27.281,8.9623,24.9826,10.6797,6.6639,2.3818,2.326,2.3932,4.7192,2.4311,0.0834,0.0379,6.5805,0.2658,0.3619,1.8991,1.3944,2.7497,0.4929,0.9719,suzukit,2012-12-29T01:31:16Z
"C0002L-9X-7, 20.0 cm",NULL,357.92,357.92,357.92,357.92,"C0002L-9X-7, 22.0 cm",NULL,357.94,357.94,357.94,357.94,"C0002L-9X-7 W, 20.0--22.0 cm",CKY000000000001457510,PP,NULL,8,skarbek338,NULL,CKY,2012-12-24T12:03:02Z,NULL,18.7641,8.4246,36.9255,18.1614,32.6597,13.5587,13.8956,4.4205,4.3169,5.0638,9.3807,5.1341,0.1547,0.0703,13.7409,0.2434,0.3217,1.936,1.4648,2.7136,0.4602,0.8525,suzukit,2012-12-29T01:31:16Z
"C0002L-9X-7, 81.0 cm",NULL,358.53,358.53,358.53,358.53,"C0002L-9X-7, 83.0 cm",NULL,358.55,358.55,358.55,358.55,"C0002L-9X-7 W, 81.0--83.0 cm",CKY000000000001457610,PP,NULL,8,skarbek338,SAND,CKY,2012-12-24T12:03:02Z,sand,18.2694,8.2265,35.1312,16.8618,31.4942,13.0865,13.2248,3.7689,3.6806,4.8,8.4806,4.86,0.1319,0.06,13.0929,0.2235,0.2879,1.9883,1.5439,2.7277,0.434,0.7668,suzukit,2012-12-29T01:31:16Z
"C0002L-9X-8, 70.0 cm",NULL,359.405,359.405,359.405,359.405,"C0002L-9X-8, 72.0 cm",NULL,359.425,359.425,359.425,359.425,"C0002L-9X-8 W, 70.0--72.0 cm",CKY000000000001457710,PP,NULL,8,skarbek338,SAND,CKY,2012-12-24T12:03:02Z,NULL,18.812,8.4586,29.5042,10.6922,26.1743,11.1845,7.3623,3.4507,3.3698,2.671,6.0408,2.7259,0.1208,0.0549,7.2415,0.3227,0.4765,1.77,1.1988,2.7112,0.5578,1.2616,suzukit,2012-12-29T01:31:16Z
"C0002L-9X-8, 95.0 cm",NULL,359.655,359.655,359.655,359.655,"C0002L-9X-8, 97.0 cm",NULL,359.675,359.675,359.675,359.675,"C0002L-9X-8 W, 95.0--97.0 cm",CKY000000000001457810,PP,NULL,8,skarbek338,NULL,CKY,2012-12-24T12:03:02Z,NULL,18.2883,8.2784,40.8882,22.5999,35.8681,14.6561,17.5798,5.2022,5.0803,6.2949,11.3752,6.3777,0.1821,0.0828,17.3977,0.2302,0.299,1.9868,1.5294,2.7638,0.4466,0.8071,suzukit,2012-12-29T01:31:16Z
"C0002L-10X-1, 34.0 cm",NULL,362.84,362.84,362.84,362.84,"C0002L-10X-1, 36.0 cm",NULL,362.86,362.86,362.86,362.86,"C0002L-10X-1 W, 34.0--36.0 cm",CKY000000000001476210,PP,NULL,6,kitajima338,NULL,CKY,2012-12-24T23:34:06Z,NULL,18.262,8.2128,38.9163,20.6543,33.1235,13.6973,14.8615,6.0029,5.8622,5.389,11.2512,5.4845,0.2101,0.0955,14.6514,0.2906,0.4097,1.8357,1.3022,2.7188,0.521,1.0878,suzukit,2012-12-29T01:31:16Z
"C0002L-10X-1, 100.0 cm",NULL,363.5,363.5,363.5,363.5,"C0002L-10X-1, 102.0 cm",NULL,363.52,363.52,363.52,363.52,"C0002L-10X-1 W, 100.0--102.0 cm",CKY000000000001476310,PP,NULL,6,kitajima338,NULL,CKY,2012-12-24T23:39:05Z,soupy clay,19.1354,8.5894,30.7229,11.5875,26.6828,11.3626,7.5474,4.1866,4.0885,2.7066,6.7951,2.7732,0.1465,0.0666,7.4009,0.3613,0.5657,1.7053,1.0892,2.7344,0.6017,1.5106,suzukit,2012-12-29T01:31:16Z
"C0002L-10X-2, 99.0 cm",NULL,364.625,364.625,364.625,364.625,"C0002L-10X-2, 102.0 cm",NULL,364.655,364.655,364.655,364.655,"C0002L-10X-2 W, 99.0--102.0 cm",CKY000000000001476510,PP,NULL,6,kitajima338,NULL,CKY,2012-12-24T23:39:05Z,NULL,18.8276,8.4991,34.8125,15.9849,31.1411,12.9793,12.3135,3.8046,3.7154,4.4197,8.1351,4.4802,0.1332,0.0605,12.1803,0.238,0.3124,1.9649,1.4973,2.7559,0.4567,0.8406,suzukit,2012-12-29T01:31:16Z
"C0002L-10X-4, 32.0 cm",NULL,365.36,365.36,365.36,365.36,"C0002L-10X-4, 34.0 cm",NULL,365.38,365.38,365.38,365.38,"C0002L-10X-4 W, 32.0--34.0 cm",CKY000000000001476610,PP,NULL,6,kitajima338,NULL,CKY,2012-12-24T23:39:05Z,NULL,18.8795,8.4616,32.8643,13.9848,28.9207,12.144,10.0412,4.0866,3.9908,3.6174,7.6082,3.6824,0.143,0.065,9.8982,0.2922,0.4129,1.8381,1.301,2.7363,0.5245,1.1032,suzukit,2012-12-29T01:31:16Z
