Top Core Depth [],Top Drilling depth below sea floor [m DSF],"Top Depth DSF, MSF, WSF and CSF-B [m, CMP]",Top Core depth (below sea floor) [m CSF-A],Top Core depth (below sea floor) [m CSF-B],"Top Depth DSF, MSF, WSF and CSF-A [m]",Bottom Core Depth [],Bottom Drilling depth below sea floor [m DSF],"Bottom Depth DSF, MSF, WSF and CSF-B [m, CMP]",Bottom Core depth (below sea floor) [m CSF-A],Bottom Core depth (below sea floor) [m CSF-B],"Bottom Depth DSF, MSF, WSF and CSF-A [m]",Sample source,J-CORES sample ID,Sample code,Sample request,Sample volume (cm3),Sample entered by,Sample comment,Sample repository,Sample time-stamp,moisture and density::comment on measurement::text,moisture and density::beaker mass [g]::number,moisture and density::beaker volume [cm3]::number,moisture and density::wet sample beaker+sample mass [g]::number,moisture and density::wet bulk mass [g]::number,moisture and density::dry sample beaker+sample mass [g]::number,moisture and density::dry sample beaker+sample volume [cm3]::number,moisture and density::dry bulk mass [g]::number,moisture and density::pore water mass [g]::number,moisture and density::pore water volume [cm3]::number,moisture and density::solids volume: dry bulk - salt [cm3]::number,moisture and density::wet bulk volume: solids + pore water [cm3]::number,moisture and density::dry bulk volume [cm3]::number,moisture and density::salt mass [g]::number,moisture and density::salt volume [cm3]::number,moisture and density::solids mass [g]::number,moisture and density::water content wet::number,moisture and density::water content dry::number,moisture and density::bulk density [g/cm3]::number,moisture and density::dry density [g/cm3]::number,moisture and density::grain density [g/cm3]::number,moisture and density::porosity::number,moisture and density::void ratio::number,moisture and density::registerer,moisture and density::registration time-stamp
"C0002K-7X-6, 16.0 cm",NULL,242.365,242.365,242.365,242.365,"C0002K-7X-6, 18.0 cm",NULL,242.385,242.385,242.385,242.385,"C0002K-7X-6 W, 16.0--18.0 cm",CKY000000000001367110,PP,NULL,8,skarbek338,NULL,CKY,2012-12-22T01:10:09Z,NULL,18.7973,8.4403,33.5866,14.7893,29.5746,12.4515,10.7773,4.1575,4.0601,3.9451,8.0052,4.0112,0.1455,0.0661,10.6318,0.2811,0.391,1.8475,1.3281,2.6949,0.5072,1.0292,suzukit,2012-12-28T16:19:24Z
"C0002K-7X-6, 77.0 cm",NULL,242.975,242.975,242.975,242.975,"C0002K-7X-6, 79.0 cm",NULL,242.995,242.995,242.995,242.995,"C0002K-7X-6 WR, 77.0--79.0 cm",CKY000000000001363510,PP,NULL,6,oohashi338,NULL,CKY,2012-12-21T16:29:58Z,NULL,19.294,8.6859,26.3624,7.0684,24.6433,10.545,5.3493,1.7815,1.7397,1.8307,3.5704,1.8591,0.0624,0.0284,5.2869,0.252,0.337,1.9797,1.4808,2.8879,0.4873,0.9503,suzukit,2012-12-28T16:19:24Z
"C0002K-7X-7, 20.0 cm",NULL,243.7,243.7,243.7,243.7,"C0002K-7X-7, 22.0 cm",NULL,243.72,243.72,243.72,243.72,"C0002K-7X-7 W, 20.0--22.0 cm",CKY000000000001367210,PP,NULL,8,skarbek338,NULL,CKY,2012-12-22T01:10:09Z,NULL,18.587,8.3642,30.6662,12.0792,27.1894,11.5554,8.6024,3.6029,3.5185,3.1339,6.6524,3.1912,0.1261,0.0573,8.4763,0.2983,0.4251,1.8158,1.2742,2.7047,0.5289,1.1227,suzukit,2012-12-28T16:19:24Z
"C0002K-8X-1, 20.0 cm",NULL,248.7,248.7,248.7,248.7,"C0002K-8X-1, 22.0 cm",NULL,248.72,248.72,248.72,248.72,"C0002K-8X-1 W, 20.0--22.0 cm",CKY000000000001371110,PP,NULL,8,skarbek338,NULL,CKY,2012-12-22T03:41:31Z,NULL,18.649,8.3921,29.861,11.212,25.8128,11.062,7.1638,4.195,4.0967,2.6032,6.6999,2.6699,0.1468,0.0667,7.017,0.3742,0.5978,1.6735,1.0473,2.6955,0.6115,1.5737,suzukit,2012-12-28T16:19:24Z
"C0002K-8X-1, 110.0 cm",NULL,249.6,249.6,249.6,249.6,"C0002K-8X-1, 112.0 cm",NULL,249.62,249.62,249.62,249.62,"C0002K-8X-1 W, 110.0--112.0 cm",CKY000000000001371210,PP,NULL,8,skarbek338,NULL,CKY,2012-12-22T03:41:31Z,NULL,18.8335,8.4924,29.2905,10.457,25.8217,11.0892,6.9882,3.5946,3.5104,2.5396,6.05,2.5968,0.1258,0.0572,6.8624,0.3438,0.5238,1.7284,1.1343,2.7022,0.5802,1.3823,suzukit,2012-12-28T16:19:24Z
"C0002K-8X-3, 0.0 cm",NULL,250.395,250.395,250.395,250.395,"C0002K-8X-3, 2.0 cm",NULL,250.415,250.415,250.415,250.415,"C0002K-8X-3 W, 0.0--2.0 cm",CKY000000000001371310,PP,NULL,8,skarbek338,NULL,CKY,2012-12-22T03:41:31Z,NULL,18.7926,8.5004,29.8232,11.0306,26.6351,11.4179,7.8425,3.3037,3.2263,2.865,6.0913,2.9175,0.1156,0.0525,7.7269,0.2995,0.4276,1.8109,1.2685,2.697,0.5297,1.1261,suzukit,2012-12-28T16:19:24Z
"C0002K-8X-3, 107.0 cm",NULL,251.465,251.465,251.465,251.465,"C0002K-8X-3, 109.0 cm",NULL,251.485,251.485,251.485,251.485,"C0002K-8X-3 W, 107.0--109.0 cm",CKY000000000001371410,PP,NULL,8,skarbek338,NULL,CKY,2012-12-22T03:41:31Z,NULL,18.95,8.5445,33.7544,14.8044,29.5535,12.4948,10.6035,4.3533,4.2513,3.881,8.1323,3.9503,0.1524,0.0693,10.4511,0.2941,0.4165,1.8204,1.2851,2.6929,0.5228,1.0954,suzukit,2012-12-28T16:19:24Z
"C0002K-8X-4, 20.0 cm",NULL,251.85,251.85,251.85,251.85,"C0002K-8X-4, 22.0 cm",NULL,251.87,251.87,251.87,251.87,"C0002K-8X-4 W, 20.0--22.0 cm",CKY000000000001371510,PP,NULL,8,skarbek338,NULL,CKY,2012-12-22T03:41:31Z,NULL,19.0009,8.6083,36.1207,17.1198,31.4888,13.2447,12.4879,4.7999,4.6874,4.56,9.2474,4.6364,0.168,0.0764,12.3199,0.2804,0.3896,1.8513,1.3323,2.7017,0.5069,1.0279,suzukit,2012-12-28T16:19:24Z
"C0002K-8X-4, 116.0 cm",NULL,252.81,252.81,252.81,252.81,"C0002K-8X-4, 118.0 cm",NULL,252.83,252.83,252.83,252.83,"C0002K-8X-4 W, 116.0--118.0 cm",CKY000000000001371610,PP,NULL,8,skarbek338,NULL,CKY,2012-12-22T03:41:31Z,NULL,18.2569,8.194,30.7181,12.4612,26.7645,11.3674,8.5076,4.097,4.001,3.1082,7.1092,3.1734,0.1434,0.0652,8.3642,0.3288,0.4898,1.7528,1.1765,2.691,0.5628,1.2872,suzukit,2012-12-28T16:19:24Z
"C0002K-8X-5, 15.0 cm",NULL,253.205,253.205,253.205,253.205,"C0002K-8X-5, 17.0 cm",NULL,253.225,253.225,253.225,253.225,"C0002K-8X-5 W, 15.0--17.0 cm",CKY000000000001371810,PP,NULL,8,skarbek338,NULL,CKY,2012-12-22T03:41:31Z,NULL,18.8068,8.4623,29.3392,10.5324,26.1587,11.1879,7.3519,3.2959,3.2187,2.6731,5.8918,2.7256,0.1154,0.0525,7.2365,0.3129,0.4555,1.7876,1.2282,2.7072,0.5463,1.2041,suzukit,2012-12-28T16:19:24Z
"C0002K-8X-5, 116.0 cm",NULL,254.215,254.215,254.215,254.215,"C0002K-8X-5, 118.0 cm",NULL,254.235,254.235,254.235,254.235,"C0002K-8X-5 W, 116.0--118.0 cm",CKY000000000001371710,PP,NULL,8,skarbek338,NULL,CKY,2012-12-22T03:41:31Z,NULL,17.929,8.1618,33.9392,16.0102,29.3611,12.3437,11.4321,4.7441,4.6329,4.1064,8.7393,4.1819,0.166,0.0755,11.2661,0.2963,0.4211,1.832,1.2891,2.7435,0.5301,1.1282,suzukit,2012-12-28T16:19:24Z
"C0002K-9X-1, 30.0 cm",NULL,258.299,258.3,258.299,258.3,"C0002K-9X-1, 32.0 cm",NULL,258.319,258.32,258.319,258.32,"C0002K-9X-1 W, 30.0--32.0 cm",CKY000000000001384310,PP,NULL,8,kitajima338,NULL,CKY,2012-12-22T06:57:08Z,NULL,18.1337,8.1875,36.7873,18.6536,31.7092,13.2641,13.5755,5.2623,5.139,4.9929,10.1319,5.0766,0.1842,0.0837,13.3913,0.2821,0.393,1.8411,1.3217,2.6821,0.5072,1.0293,suzukit,2012-12-28T16:19:24Z
"C0002K-9X-1, 96.0 cm",NULL,258.956,258.96,258.956,258.96,"C0002K-9X-1, 98.0 cm",NULL,258.976,258.98,258.976,258.98,"C0002K-9X-1 W, 96.0--98.0 cm",CKY000000000001384410,PP,NULL,8,kitajima338,NULL,CKY,2012-12-22T06:57:08Z,sand,18.7936,8.4362,35.3131,16.5195,31.166,13.0374,12.3724,4.2975,4.1968,4.5328,8.7296,4.6012,0.1504,0.0684,12.222,0.2601,0.3516,1.8924,1.4001,2.6963,0.4808,0.9259,suzukit,2012-12-28T16:19:24Z
"C0002K-9X-2, 11.0 cm",NULL,259.11,259.115,259.11,259.115,"C0002K-9X-2, 13.0 cm",NULL,259.13,259.135,259.13,259.135,"C0002K-9X-2 W, 11.0--13.0 cm",CKY000000000001384510,PP,NULL,8,kitajima338,NULL,CKY,2012-12-22T06:57:08Z,soupy,18.8652,8.4463,39.0391,20.1739,34.0147,14.1785,15.1495,5.2066,5.0846,5.6494,10.734,5.7322,0.1822,0.0828,14.9673,0.2581,0.3479,1.8794,1.3944,2.6494,0.4737,0.9,suzukit,2012-12-28T16:19:24Z
"C0002K-9X-2, 81.0 cm",NULL,259.807,259.815,259.807,259.815,"C0002K-9X-2, 83.0 cm",NULL,259.827,259.835,259.827,259.835,"C0002K-9X-2 W, 81.0--83.0 cm",CKY000000000001384610,PP,NULL,8,kitajima338,NULL,CKY,2012-12-22T06:57:08Z,NULL,18.6778,8.433,40.6393,21.9615,35.0376,14.4678,16.3598,5.8049,5.6688,5.9424,11.6112,6.0348,0.2032,0.0924,16.1566,0.2643,0.3593,1.8914,1.3915,2.7189,0.4882,0.954,suzukit,2012-12-28T16:19:24Z
"C0002K-9X-4, 0.0 cm",NULL,260.375,260.385,260.375,260.385,"C0002K-9X-4, 8.0 cm",NULL,260.455,260.465,260.455,260.465,"C0002K-9X-4 W, 0.0--8.0 cm",CKY000000000001383510,PP,NULL,8,kitajima338,NULL,CKY,2012-12-22T06:50:47Z,NULL,18.8925,8.5059,33.8259,14.9334,29.2165,12.3622,10.324,4.7766,4.6646,3.7803,8.4449,3.8563,0.1672,0.076,10.1568,0.3199,0.4703,1.7683,1.2027,2.6868,0.5524,1.2339,suzukit,2012-12-28T16:19:24Z
"C0002K-9X-4, 43.0 cm",NULL,260.803,260.815,260.803,260.815,"C0002K-9X-4, 45.0 cm",NULL,260.823,260.835,260.823,260.835,"C0002K-9X-4 W, 43.0--45.0 cm",CKY000000000001384710,PP,NULL,8,kitajima338,NULL,CKY,2012-12-22T06:57:08Z,sand,18.7289,8.4207,35.0828,16.3539,31.3798,13.106,12.6509,3.8373,3.7474,4.6243,8.3717,4.6853,0.1343,0.061,12.5166,0.2346,0.3066,1.9535,1.4951,2.7067,0.4476,0.8104,suzukit,2012-12-28T16:19:24Z
"C0002K-9X-5, 20.0 cm",NULL,261.973,261.99,261.973,261.99,"C0002K-9X-5, 22.0 cm",NULL,261.993,262.01,261.993,262.01,"C0002K-9X-5 WR, 20.0--22.0 cm",CKY000000000001369010,PP,NULL,6,kitajima338,NULL,CKY,2012-12-22T03:06:04Z,NULL,18.2079,8.2174,25.9006,7.6927,23.7525,10.1979,5.5446,2.226,2.1738,1.9451,4.1189,1.9805,0.0779,0.0354,5.4667,0.2894,0.4072,1.8677,1.3272,2.8105,0.5278,1.1176,suzukit,2012-12-28T16:19:24Z
"C0002K-9X-5, 120.0 cm",NULL,262.969,262.99,262.969,262.99,"C0002K-9X-5, 122.0 cm",NULL,262.989,263.01,262.989,263.01,"C0002K-9X-5 W, 120.0--122.0 cm",CKY000000000001384810,PP,NULL,8,kitajima338,NULL,CKY,2012-12-22T06:57:08Z,NULL,18.1411,8.1283,30.2257,12.0846,27.439,11.6111,9.2979,2.8878,2.8201,3.4368,6.2569,3.4828,0.1011,0.046,9.1968,0.239,0.314,1.9314,1.4699,2.676,0.4507,0.8206,suzukit,2012-12-28T16:19:24Z
"C0002K-9X-6, 19.0 cm",NULL,263.358,263.38,263.358,263.38,"C0002K-9X-6, 21.0 cm",NULL,263.377,263.4,263.377,263.4,"C0002K-9X-6 W, 19.0--21.0 cm",CKY000000000001384910,PP,NULL,8,kitajima338,NULL,CKY,2012-12-22T06:57:08Z,sand,18.8305,8.5202,31.0469,12.2164,28.0431,11.8415,9.2126,3.1127,3.0397,3.2718,6.3115,3.3213,0.1089,0.0495,9.1037,0.2548,0.3419,1.9356,1.4424,2.7825,0.4816,0.9291,suzukit,2012-12-28T16:19:24Z
"C0002K-9X-6, 122.0 cm",NULL,264.383,264.41,264.383,264.41,"C0002K-9X-6, 124.0 cm",NULL,264.403,264.43,264.403,264.43,"C0002K-9X-6 W, 122.0--124.0 cm",CKY000000000001385010,PP,NULL,8,kitajima338,NULL,CKY,2012-12-22T06:57:08Z,NULL,18.9714,8.5759,35.5349,16.5635,30.7441,12.9197,11.7727,4.9646,4.8482,4.2648,9.113,4.3438,0.1738,0.079,11.5989,0.2997,0.428,1.8176,1.2728,2.7197,0.532,1.1368,suzukit,2012-12-28T16:19:24Z
"C0002K-9X-7, 7.0 cm",NULL,264.642,264.67,264.642,264.67,"C0002K-9X-7, 9.0 cm",NULL,264.662,264.69,264.662,264.69,"C0002K-9X-7 W, 7.0--9.0 cm",CKY000000000001385110,PP,NULL,8,kitajima338,NULL,CKY,2012-12-22T06:57:08Z,NULL,18.8329,8.4451,36.3782,17.5453,31.635,13.2902,12.8021,4.9152,4.8,4.7669,9.5669,4.8451,0.172,0.0782,12.6301,0.2801,0.3892,1.834,1.3202,2.6495,0.5017,1.0069,suzukit,2012-12-28T16:19:24Z
"C0002K-9X-7, 121.0 cm",NULL,265.777,265.81,265.777,265.81,"C0002K-9X-7, 123.0 cm",NULL,265.797,265.83,265.797,265.83,"C0002K-9X-7 W, 121.0--123.0 cm",CKY000000000001385210,PP,NULL,8,kitajima338,NULL,CKY,2012-12-22T06:57:08Z,sandy,18.9725,8.5373,33.1267,14.1542,29.896,12.5981,10.9235,3.3479,3.2694,4.0075,7.2769,4.0608,0.1172,0.0533,10.8063,0.2365,0.3098,1.9451,1.485,2.6965,0.4493,0.8158,suzukit,2012-12-28T16:19:24Z
"C0002K-9X-8, 7.0 cm",NULL,266.036,266.07,266.036,266.07,"C0002K-9X-8, 9.0 cm",NULL,266.056,266.09,266.056,266.09,"C0002K-9X-8 W, 7.0--9.0 cm",CKY000000000001385310,PP,NULL,8,kitajima338,NULL,CKY,2012-12-22T06:57:08Z,NULL,18.8122,8.4046,31.1585,12.3463,27.4672,11.6848,8.655,3.8252,3.7355,3.2193,6.9548,3.2802,0.1339,0.0609,8.5211,0.3098,0.4489,1.7752,1.2252,2.6469,0.5371,1.1603,suzukit,2012-12-28T16:19:24Z
"C0002K-9X-8, 89.0 cm",NULL,266.853,266.89,266.853,266.89,"C0002K-9X-8, 91.0 cm",NULL,266.873,266.91,266.873,266.91,"C0002K-9X-8 W, 89.0--91.0 cm",CKY000000000001385410,PP,NULL,8,kitajima338,NULL,CKY,2012-12-22T06:57:08Z,sandy,18.7057,8.4477,32.5087,13.803,29.4928,12.529,10.7871,3.1253,3.0521,4.0316,7.0837,4.0813,0.1094,0.0497,10.6777,0.2264,0.2927,1.9486,1.5074,2.6485,0.4309,0.757,suzukit,2012-12-28T16:19:24Z
"C0002K-10X-1, 14.0 cm",NULL,267.64,267.64,267.64,267.64,"C0002K-10X-1, 16.0 cm",NULL,267.66,267.66,267.66,267.66,"C0002K-10X-1 W, 14.0--16.0 cm",CKY000000000001387010,PP,NULL,8,arakaway,sand,CKY,2012-12-22T08:43:02Z,sandy,18.7577,8.4223,35.6392,16.8815,31.5721,13.1921,12.8144,4.2146,4.1158,4.7028,8.8186,4.7698,0.1475,0.067,12.6669,0.2497,0.3327,1.9143,1.4364,2.6935,0.4667,0.8752,suzukit,2012-12-28T16:19:24Z
"C0002K-10X-3, 0.0 cm",NULL,268.185,268.185,268.185,268.185,"C0002K-10X-3, 3.0 cm",NULL,268.215,268.215,268.215,268.215,"C0002K-10X-3 W, 0.0--3.0 cm",CKY000000000001387110,PP,NULL,8,arakaway,NULL,CKY,2012-12-22T08:35:47Z,NULL,18.7033,8.467,31.2339,12.5306,28.1776,11.9546,9.4743,3.1672,3.093,3.4372,6.5302,3.4876,0.1109,0.0504,9.3634,0.2528,0.3383,1.9189,1.4339,2.7241,0.4736,0.8999,suzukit,2012-12-28T16:19:24Z
"C0002K-10X-4, 0.0 cm",NULL,269.075,269.075,269.075,269.075,"C0002K-10X-4, 3.0 cm",NULL,269.105,269.105,269.105,269.105,"C0002K-10X-4 W, 0.0--3.0 cm",CKY000000000001387210,PP,NULL,8,arakaway,sand,CKY,2012-12-22T08:37:09Z,sandy,18.6561,8.3679,34.9117,16.2556,31.0824,12.9735,12.4263,3.9682,3.8752,4.5425,8.4177,4.6056,0.1389,0.0631,12.2874,0.2441,0.3229,1.9311,1.4597,2.705,0.4604,0.8531,suzukit,2012-12-28T16:19:24Z
"C0002K-10X-4, 80.0 cm",NULL,269.875,269.875,269.875,269.875,"C0002K-10X-4, 82.0 cm",NULL,269.895,269.895,269.895,269.895,"C0002K-10X-4 W, 80.0--82.0 cm",CKY000000000001387310,PP,NULL,8,arakaway,NULL,CKY,2012-12-22T08:37:58Z,NULL,18.8901,8.4597,37.2468,18.3567,31.9051,13.3556,13.015,5.5354,5.4057,4.8079,10.2136,4.8959,0.1937,0.088,12.8213,0.3015,0.4317,1.7973,1.2553,2.6667,0.5293,1.1243,suzukit,2012-12-28T16:19:24Z
"C0002K-10X-5, 50.0 cm",NULL,270.82,270.82,270.82,270.82,"C0002K-10X-5, 52.0 cm",NULL,270.84,270.84,270.84,270.84,"C0002K-10X-5 W, 50.0--52.0 cm",CKY000000000001387410,PP,NULL,8,arakaway,NULL,CKY,2012-12-22T08:39:36Z,NULL,18.7228,8.4546,32.955,14.2322,29.1537,12.2953,10.4309,3.9392,3.8469,3.778,7.6249,3.8407,0.1379,0.0627,10.293,0.2768,0.3827,1.8665,1.3499,2.7245,0.5045,1.0182,suzukit,2012-12-28T16:19:24Z
"C0002K-10X-5, 135.0 cm",NULL,271.67,271.67,271.67,271.67,"C0002K-10X-5, 137.0 cm",NULL,271.69,271.69,271.69,271.69,"C0002K-10X-5 W, 135.0--137.0 cm",CKY000000000001387510,PP,NULL,8,arakaway,NULL,CKY,2012-12-22T08:39:06Z,NULL,18.881,8.5048,38.6809,19.7999,32.7806,13.596,13.8996,6.1143,5.971,4.9939,10.9649,5.0912,0.214,0.0973,13.6856,0.3088,0.4468,1.8058,1.2481,2.7405,0.5446,1.1957,suzukit,2012-12-28T16:19:24Z
"C0002K-10X-6, 70.0 cm",NULL,272.44,272.44,272.44,272.44,"C0002K-10X-6, 72.0 cm",NULL,272.46,272.46,272.46,272.46,"C0002K-10X-6 W, 70.0--72.0 cm",CKY000000000001387610,PP,NULL,8,arakaway,NULL,CKY,2012-12-22T08:38:30Z,NULL,18.9218,8.5442,31.0294,12.1076,27.3669,11.635,8.4451,3.7953,3.7063,3.0304,6.7367,3.0908,0.1328,0.0604,8.3123,0.3135,0.4566,1.7973,1.2339,2.743,0.5502,1.223,suzukit,2012-12-28T16:19:24Z
"C0002K-10X-7, 93.0 cm",NULL,274.08,274.08,274.08,274.08,"C0002K-10X-7, 95.0 cm",NULL,274.1,274.1,274.1,274.1,"C0002K-10X-7 W, 93.0--95.0 cm",CKY000000000001387810,PP,NULL,8,arakaway,sand,CKY,2012-12-22T08:39:22Z,sand,18.6681,8.404,41.8127,23.1446,36.8169,15.2204,18.1488,5.177,5.0557,6.734,11.7897,6.8164,0.1812,0.0824,17.9676,0.2237,0.2881,1.9631,1.524,2.6682,0.4288,0.7508,suzukit,2012-12-28T16:19:24Z
"C0002K-11X-1, 26.0 cm",NULL,277.26,277.26,277.26,277.26,"C0002K-11X-1, 32.0 cm",NULL,277.32,277.32,277.32,277.32,"C0002K-11X-1 WR, 26.0--32.0 cm",CKY000000000001369810,PP,NULL,6,kitajima338,NULL,CKY,2012-12-22T03:18:03Z,NULL,18.2868,8.2637,27.3118,9.025,24.5216,10.5293,6.2348,2.8914,2.8236,2.2196,5.0432,2.2656,0.1012,0.046,6.1336,0.3204,0.4714,1.7895,1.2162,2.7634,0.5599,1.2721,suzukit,2012-12-28T16:19:24Z
"C0002K-11X-3, 2.0 cm",NULL,277.75,277.75,277.75,277.75,"C0002K-11X-3, 4.0 cm",NULL,277.77,277.77,277.77,277.77,"C0002K-11X-3 W, 2.0--4.0 cm",CKY000000000001390810,PP,NULL,8,esteban338,NULL,CKY,2012-12-22T10:20:21Z,NULL,18.7192,8.4533,32.5326,13.8134,29.5533,12.3365,10.8341,3.0874,3.015,3.8341,6.8491,3.8832,0.1081,0.0491,10.726,0.2235,0.2878,2.0168,1.566,2.7975,0.4402,0.7864,suzukit,2012-12-28T16:19:24Z
"C0002K-11X-3, 140.0 cm",NULL,279.13,279.13,279.13,279.13,"C0002K-11X-3, 142.0 cm",NULL,279.15,279.15,279.15,279.15,"C0002K-11X-3 W, 140.0--142.0 cm",CKY000000000001391610,PP,NULL,8,esteban338,NULL,CKY,2012-12-22T10:20:21Z,NULL,18.1169,8.19,33.7962,15.6793,30.4632,12.6971,12.3463,3.4539,3.3729,4.4521,7.825,4.5071,0.1209,0.055,12.2254,0.2203,0.2825,2.0037,1.5624,2.746,0.431,0.7576,suzukit,2012-12-28T16:19:24Z
"C0002K-11X-4, 63.0 cm",NULL,279.85,279.85,279.85,279.85,"C0002K-11X-4, 65.0 cm",NULL,279.87,279.87,279.87,279.87,"C0002K-11X-4 WR, 63.0--65.0 cm",CKY000000000001370610,PP,NULL,6,kitajima338,NULL,CKY,2012-12-22T03:21:18Z,NULL,18.6052,8.3505,30.6767,12.0715,27.0805,11.4834,8.4753,3.7266,3.6393,3.0736,6.7129,3.1329,0.1304,0.0593,8.3449,0.3087,0.4466,1.7983,1.2431,2.715,0.5421,1.1841,suzukit,2012-12-28T16:19:24Z
"C0002K-11X-4, 86.0 cm",NULL,280.08,280.08,280.08,280.08,"C0002K-11X-4, 88.0 cm",NULL,280.1,280.1,280.1,280.1,"C0002K-11X-4 W, 86.0--88.0 cm",CKY000000000001391710,PP,NULL,8,esteban338,NULL,CKY,2012-12-22T10:20:21Z,NULL,19.0607,8.6567,33.5162,14.4555,29.4712,12.3446,10.4105,4.1917,4.0935,3.6212,7.7147,3.6879,0.1467,0.0667,10.2638,0.29,0.4084,1.8738,1.3304,2.8344,0.5306,1.1304,suzukit,2012-12-28T16:19:24Z
