Top Core Depth [],Top Drilling depth below sea floor [m DSF],"Top Depth DSF, MSF, WSF and CSF-B [m, CMP]",Top Core depth (below sea floor) [m CSF-A],Top Core depth (below sea floor) [m CSF-B],"Top Depth DSF, MSF, WSF and CSF-A [m]",Bottom Core Depth [],Bottom Drilling depth below sea floor [m DSF],"Bottom Depth DSF, MSF, WSF and CSF-B [m, CMP]",Bottom Core depth (below sea floor) [m CSF-A],Bottom Core depth (below sea floor) [m CSF-B],"Bottom Depth DSF, MSF, WSF and CSF-A [m]",Sample source,J-CORES sample ID,Sample code,Sample request,Sample volume (cm3),Sample entered by,Sample comment,Sample repository,Sample time-stamp,moisture and density::comment on measurement::text,moisture and density::beaker mass [g]::number,moisture and density::beaker volume [cm3]::number,moisture and density::wet sample beaker+sample mass [g]::number,moisture and density::wet bulk mass [g]::number,moisture and density::dry sample beaker+sample mass [g]::number,moisture and density::dry sample beaker+sample volume [cm3]::number,moisture and density::dry bulk mass [g]::number,moisture and density::pore water mass [g]::number,moisture and density::pore water volume [cm3]::number,moisture and density::solids volume: dry bulk - salt [cm3]::number,moisture and density::wet bulk volume: solids + pore water [cm3]::number,moisture and density::dry bulk volume [cm3]::number,moisture and density::salt mass [g]::number,moisture and density::salt volume [cm3]::number,moisture and density::solids mass [g]::number,moisture and density::water content wet::number,moisture and density::water content dry::number,moisture and density::bulk density [g/cm3]::number,moisture and density::dry density [g/cm3]::number,moisture and density::grain density [g/cm3]::number,moisture and density::porosity::number,moisture and density::void ratio::number,moisture and density::registerer,moisture and density::registration time-stamp
"C0022B-4H-6, 34.0 cm",NULL,43.676,43.97,43.676,43.97,"C0022B-4H-6, 36.0 cm",NULL,43.695,43.99,43.695,43.99,"C0022B-4H-6 W, 34.0--36.0 cm",CKY000000000001597410,PP,NULL,8,skarbek338,NULL,CKY,2013-01-01T10:43:47Z,NULL,18.7926,8.5004,34.5637,15.7711,28.9598,12.3716,10.1672,5.8072,5.6711,3.7788,9.4499,3.8712,0.2033,0.0924,9.9639,0.3682,0.5828,1.6689,1.0544,2.6368,0.6001,1.5008,fuway,2013-01-12T02:19:31Z
"C0022B-4H-6, 112.0 cm",NULL,44.414,44.75,44.414,44.75,"C0022B-4H-6, 114.0 cm",NULL,44.433,44.77,44.433,44.77,"C0022B-4H-6 W, 112.0--114.0 cm",CKY000000000001597510,PP,NULL,8,skarbek338,NULL,CKY,2013-01-01T10:43:47Z,NULL,19.1581,8.6708,36.388,17.2299,30.5227,13.0529,11.3646,6.078,5.9355,4.2854,10.2209,4.3821,0.2127,0.0967,11.1519,0.3528,0.545,1.6858,1.0911,2.6023,0.5807,1.3851,fuway,2013-01-12T02:19:31Z
"C0022B-4H-7, 19.0 cm",NULL,44.769,45.125,44.769,45.125,"C0022B-4H-7, 21.0 cm",NULL,44.788,45.145,44.788,45.145,"C0022B-4H-7 W, 19.0--21.0 cm",CKY000000000001597610,PP,NULL,8,skarbek338,NULL,CKY,2013-01-01T10:43:47Z,NULL,18.8469,8.484,35.9879,17.141,29.7787,12.498,10.9318,6.4344,6.2836,3.9116,10.1952,4.014,0.2252,0.1024,10.7066,0.3754,0.601,1.6813,1.0502,2.7371,0.6163,1.6064,fuway,2013-01-12T02:19:31Z
"C0022B-4H-7, 52.0 cm",NULL,45.081,45.455,45.081,45.455,"C0022B-4H-7, 54.0 cm",NULL,45.1,45.475,45.1,45.475,"C0022B-4H-7 WR, 52.0--54.0 cm",CKY000000000001583910,PP,NULL,6,fabbri338,NULL,CKY,2013-01-01T05:29:15Z,NULL,18.6791,8.3928,29.0465,10.3674,25.5062,10.9492,6.8271,3.6687,3.5827,2.498,6.0807,2.5564,0.1284,0.0584,6.6987,0.3539,0.5477,1.705,1.1016,2.6816,0.5892,1.4342,fuway,2013-01-12T02:19:31Z
"C0022B-4H-8, 50.0 cm",NULL,46.297,46.74,46.297,46.74,"C0022B-4H-8, 52.0 cm",NULL,46.316,46.76,46.316,46.76,"C0022B-4H-8 W, 50.0--52.0 cm",CKY000000000001597710,PP,NULL,8,skarbek338,NULL,CKY,2013-01-01T10:43:47Z,NULL,18.7376,8.4482,32.9435,14.2059,28.2333,11.9461,9.4957,4.881,4.7666,3.4203,8.1869,3.4979,0.1708,0.0776,9.3249,0.3436,0.5234,1.7352,1.139,2.7263,0.5822,1.3936,fuway,2013-01-12T02:19:31Z
"C0022B-4H-8, 125.0 cm",NULL,47.007,47.49,47.007,47.49,"C0022B-4H-8, 127.0 cm",NULL,47.025,47.51,47.025,47.51,"C0022B-4H-8 W, 125.0--127.0 cm",CKY000000000001597810,PP,NULL,8,skarbek338,NULL,CKY,2013-01-01T10:43:47Z,NULL,18.9067,8.5257,33.7637,14.857,28.9072,12.2633,10.0005,5.0326,4.9146,3.6576,8.5722,3.7376,0.1761,0.08,9.8244,0.3387,0.5123,1.7332,1.1461,2.686,0.5733,1.3437,fuway,2013-01-12T02:19:31Z
"C0022B-4H-9, 31.0 cm",NULL,47.357,47.86,47.357,47.86,"C0022B-4H-9, 33.0 cm",NULL,47.376,47.88,47.376,47.88,"C0022B-4H-9 W, 31.0--33.0 cm",CKY000000000001597910,PP,NULL,8,skarbek338,NULL,CKY,2013-01-01T10:43:47Z,NULL,18.6867,8.44,33.9614,15.2747,28.9471,12.2006,10.2604,5.1962,5.0744,3.6779,8.7523,3.7606,0.1819,0.0827,10.0785,0.3402,0.5156,1.7452,1.1515,2.7403,0.5798,1.3797,fuway,2013-01-12T02:19:31Z
"C0022B-5H-1, 34.0 cm",NULL,48.314,48.34,48.314,48.34,"C0022B-5H-1, 36.0 cm",NULL,48.332,48.36,48.332,48.36,"C0022B-5H-1 WR, 34.0--36.0 cm",CKY000000000001595810,PP,NULL,8,fabbri338,NULL,CKY,2013-01-01T10:14:18Z,NULL,18.7641,8.4246,27.4204,8.6563,24.4439,10.5518,5.6798,3.0845,3.0122,2.0781,5.0903,2.1272,0.108,0.0491,5.5718,0.3563,0.5536,1.7005,1.0946,2.6812,0.5918,1.4495,fuway,2013-01-12T02:19:31Z
"C0022B-5H-1, 126.0 cm",NULL,49.163,49.26,49.163,49.26,"C0022B-5H-1, 128.0 cm",NULL,49.182,49.28,49.182,49.28,"C0022B-5H-1 W, 126.0--128.0 cm",CKY000000000001607910,PP,NULL,8,kitajima338,NULL,CKY,2013-01-01T20:35:36Z,NULL,18.7973,8.4403,29.8894,11.0921,25.835,11.0738,7.0377,4.2015,4.103,2.5666,6.6696,2.6335,0.1471,0.0669,6.8906,0.3788,0.6097,1.6631,1.0331,2.6847,0.6152,1.5986,fuway,2013-01-12T02:19:31Z
"C0022B-5H-3, 68.0 cm",NULL,50.091,50.265,50.091,50.265,"C0022B-5H-3, 71.0 cm",NULL,50.119,50.295,50.119,50.295,"C0022B-5H-3 W, 68.0--71.0 cm",CKY000000000001608010,PP,NULL,8,kitajima338,NULL,CKY,2013-01-01T20:35:36Z,NULL,18.2029,8.2032,36.9043,18.7014,30.5456,12.8238,12.3427,6.5893,6.4349,4.5158,10.9507,4.6206,0.2306,0.1048,12.1121,0.3523,0.544,1.7078,1.1061,2.6822,0.5876,1.425,fuway,2013-01-12T02:19:31Z
"C0022B-5H-3, 122.0 cm",NULL,50.59,50.805,50.59,50.805,"C0022B-5H-3, 124.0 cm",NULL,50.608,50.825,50.608,50.825,"C0022B-5H-3 W, 122.0--124.0 cm",CKY000000000001608110,PP,NULL,8,kitajima338,NULL,CKY,2013-01-01T20:35:36Z,NULL,18.649,8.3921,35.0415,16.3925,29.5508,12.5005,10.9018,5.6898,5.5564,4.0179,9.5743,4.1084,0.1991,0.0905,10.7027,0.3471,0.5316,1.7121,1.1179,2.6638,0.5803,1.3829,fuway,2013-01-12T02:19:31Z
"C0022B-5H-4, 14.5 cm",NULL,50.807,51.04,50.807,51.04,"C0022B-5H-4, 17.0 cm",NULL,50.83,51.065,50.83,51.065,"C0022B-5H-4 W, 14.5--17.0 cm",CKY000000000001608210,PP,NULL,8,kitajima338,NULL,CKY,2013-01-01T20:35:36Z,NULL,18.129,8.1127,33.1945,15.0655,27.6718,11.7236,9.5428,5.723,5.5889,3.5199,9.1088,3.6109,0.2003,0.091,9.3425,0.3799,0.6126,1.654,1.0257,2.6542,0.6136,1.5878,fuway,2013-01-12T02:19:31Z
"C0022B-5H-4, 78.0 cm",NULL,51.393,51.675,51.393,51.675,"C0022B-5H-4, 80.5 cm",NULL,51.416,51.7,51.416,51.7,"C0022B-5H-4 W, 78.0--80.5 cm",CKY000000000001608310,PP,NULL,8,kitajima338,NULL,CKY,2013-01-01T20:35:36Z,NULL,18.587,8.3642,40.1797,21.5927,32.9258,13.7307,14.3388,7.517,7.3408,5.2469,12.5877,5.3665,0.2631,0.1196,14.0757,0.3481,0.534,1.7154,1.1182,2.6827,0.5832,1.3991,fuway,2013-01-12T02:19:31Z
"C0022B-5H-5, 24.0 cm",NULL,52.099,52.44,52.099,52.44,"C0022B-5H-5, 26.5 cm",NULL,52.122,52.465,52.122,52.465,"C0022B-5H-5 W, 24.0--26.5 cm",CKY000000000001608410,PP,NULL,8,kitajima338,NULL,CKY,2013-01-01T20:35:36Z,NULL,18.7957,8.4783,34.8252,16.0295,30.1039,12.6816,11.3082,4.8925,4.7778,4.1255,8.9033,4.2033,0.1712,0.0778,11.137,0.3052,0.4393,1.8004,1.2509,2.6996,0.5366,1.1581,fuway,2013-01-12T02:19:31Z
"C0022B-5H-5, 101.0 cm",NULL,52.81,53.21,52.81,53.21,"C0022B-5H-5, 103.0 cm",NULL,52.829,53.23,52.829,53.23,"C0022B-5H-5 WR, 101.0--103.0 cm",CKY000000000001595010,PP,NULL,8,fabbri338,NULL,CKY,2013-01-01T09:42:22Z,NULL,18.7231,8.4358,34.5229,15.7998,29.2233,12.3156,10.5002,5.4918,5.3631,3.7924,9.1555,3.8798,0.1922,0.0874,10.308,0.3476,0.5328,1.7257,1.1259,2.7181,0.5858,1.4142,fuway,2013-01-12T02:19:31Z
"C0022B-5H-6, 33.0 cm",NULL,53.387,53.835,53.387,53.835,"C0022B-5H-6, 35.0 cm",NULL,53.406,53.855,53.406,53.855,"C0022B-5H-6 W, 33.0--35.0 cm",CKY000000000001608510,PP,NULL,8,kitajima338,NULL,CKY,2013-01-01T20:35:36Z,NULL,19.0009,8.6083,35.4832,16.4823,29.7183,12.5758,10.7174,5.974,5.834,3.8725,9.7065,3.9675,0.2091,0.095,10.5083,0.3624,0.5685,1.6981,1.0826,2.7136,0.601,1.5065,fuway,2013-01-12T02:19:31Z
"C0022B-5H-6, 118.0 cm",NULL,54.172,54.685,54.172,54.685,"C0022B-5H-6, 121.0 cm",NULL,54.2,54.715,54.2,54.715,"C0022B-5H-6 W, 118.0--121.0 cm",CKY000000000001608610,PP,NULL,8,kitajima338,NULL,CKY,2013-01-01T20:35:36Z,NULL,18.9663,8.5454,40.6306,21.6643,32.4981,13.5685,13.5318,8.4275,8.23,4.889,13.119,5.0231,0.295,0.1341,13.2368,0.389,0.6367,1.6514,1.009,2.7075,0.6273,1.6834,fuway,2013-01-12T02:19:31Z
"C0022B-5H-7, 23.5 cm",NULL,54.504,55.045,54.504,55.045,"C0022B-5H-7, 26.0 cm",NULL,54.527,55.07,54.527,55.07,"C0022B-5H-7 W, 23.5--26.0 cm",CKY000000000001608710,PP,NULL,8,kitajima338,NULL,CKY,2013-01-01T20:35:36Z,NULL,19.0047,8.5684,39.9472,20.9425,31.8464,13.421,12.8417,8.3946,8.1979,4.7191,12.917,4.8526,0.2938,0.1335,12.5479,0.4008,0.669,1.6213,0.9714,2.659,0.6347,1.7372,fuway,2013-01-12T02:19:31Z
"C0022B-5H-7, 112.0 cm",NULL,55.321,55.93,55.321,55.93,"C0022B-5H-7, 114.0 cm",NULL,55.34,55.95,55.34,55.95,"C0022B-5H-7 W, 112.0--114.0 cm",CKY000000000001608810,PP,NULL,8,kitajima338,NULL,CKY,2013-01-01T20:35:36Z,NULL,18.17,8.1578,38.5437,20.3737,30.9864,13.0737,12.8164,7.8314,7.6479,4.7913,12.4392,4.9159,0.2741,0.1246,12.5423,0.3844,0.6244,1.6379,1.0083,2.6177,0.6148,1.5962,fuway,2013-01-12T02:19:31Z
"C0022B-5H-8, 3.0 cm",NULL,55.524,56.15,55.524,56.15,"C0022B-5H-8, 5.0 cm",NULL,55.543,56.17,55.543,56.17,"C0022B-5H-8 W, 3.0--5.0 cm",CKY000000000001608910,PP,NULL,8,kitajima338,NULL,CKY,2013-01-01T20:35:36Z,NULL,18.718,8.4449,32.3528,13.6348,27.4376,11.736,8.7196,5.0935,4.9741,3.2101,8.1842,3.2911,0.1783,0.081,8.5413,0.3736,0.5963,1.666,1.0436,2.6608,0.6078,1.5495,fuway,2013-01-12T02:19:31Z
"C0022B-5H-8, 114.0 cm",NULL,56.549,57.26,56.549,57.26,"C0022B-5H-8, 116.0 cm",NULL,56.568,57.28,56.568,57.28,"C0022B-5H-8 W, 114.0--116.0 cm",CKY000000000001609010,PP,NULL,8,kitajima338,NULL,CKY,2013-01-01T20:35:36Z,NULL,18.95,8.5445,38.4815,19.5315,32.7953,13.7306,13.8453,5.8924,5.7543,5.0924,10.8467,5.1861,0.2062,0.0937,13.6391,0.3017,0.432,1.8007,1.2574,2.6783,0.5305,1.13,fuway,2013-01-12T02:19:31Z
"C0022B-5H-9, 48.0 cm",NULL,57.145,57.905,57.145,57.905,"C0022B-5H-9, 51.5 cm",NULL,57.177,57.94,57.177,57.94,"C0022B-5H-9 WR, 48.0--51.5 cm",CKY000000000001598910,PP,NULL,8,fabbri338,NULL,CKY,2013-01-01T11:09:37Z,NULL,18.865,8.4922,33.6937,14.8287,28.6159,12.1573,9.7509,5.262,5.1387,3.5814,8.7201,3.6651,0.1842,0.0837,9.5667,0.3549,0.55,1.7005,1.0971,2.6712,0.5893,1.4348,fuway,2013-01-12T02:19:31Z
"C0022B-6H-1, 53.0 cm",NULL,57.996,58.03,57.996,58.03,"C0022B-6H-1, 55.0 cm",NULL,58.014,58.05,58.014,58.05,"C0022B-6H-1 WR, 53.0--55.0 cm",CKY000000000001601110,PP,NULL,8,oohashi338,NULL,CKY,2013-01-01T11:47:42Z,NULL,18.9845,8.5392,36.0588,17.0743,30.3863,12.8219,11.4018,5.8782,5.7404,4.1892,9.9296,4.2827,0.2057,0.0935,11.1961,0.3443,0.525,1.7195,1.1275,2.6726,0.5781,1.3703,fuway,2013-01-12T02:19:31Z
"C0022B-6H-3, 20.0 cm",NULL,58.875,58.97,58.875,58.97,"C0022B-6H-3, 23.0 cm",NULL,58.903,59,58.903,59,"C0022B-6H-3 WR, 20.0--23.0 cm",CKY000000000001601910,PP,NULL,8,oohashi338,NULL,CKY,2013-01-01T12:06:58Z,NULL,18.6834,8.4446,37.6263,18.9429,31.8471,13.27,13.1637,5.9888,5.8484,4.7301,10.5785,4.8254,0.2096,0.0953,12.9541,0.3162,0.4623,1.7907,1.2246,2.7387,0.5529,1.2364,fuway,2013-01-12T02:19:31Z
"C0022B-6H-3, 133.5 cm",NULL,59.936,60.105,59.936,60.105,"C0022B-6H-3, 135.5 cm",NULL,59.955,60.125,59.955,60.125,"C0022B-6H-3 W, 133.5--135.5 cm",CKY000000000001612810,PP,NULL,8,kitajima338,NULL,CKY,2013-01-02T00:05:35Z,NULL,18.3084,8.2823,31.2419,12.9335,27.0185,11.5012,8.7101,4.3766,4.274,3.1493,7.4233,3.2189,0.1532,0.0696,8.5569,0.3384,0.5115,1.7423,1.1527,2.7171,0.5758,1.3571,fuway,2013-01-12T02:19:31Z
"C0022B-6H-4, 7.0 cm",NULL,60.062,60.24,60.062,60.24,"C0022B-6H-4, 9.0 cm",NULL,60.081,60.26,60.081,60.26,"C0022B-6H-4 W, 7.0--9.0 cm",CKY000000000001612910,PP,NULL,8,kitajima338,NULL,CKY,2013-01-02T00:05:35Z,NULL,18.6005,8.3695,35.6033,17.0028,30.3975,12.753,11.797,5.3946,5.2682,4.2977,9.5659,4.3835,0.1888,0.0858,11.6082,0.3173,0.4647,1.7774,1.2135,2.701,0.5507,1.2258,fuway,2013-01-12T02:19:31Z
"C0022B-6H-4, 116.0 cm",NULL,61.081,61.33,61.081,61.33,"C0022B-6H-4, 118.0 cm",NULL,61.1,61.35,61.1,61.35,"C0022B-6H-4 W, 116.0--118.0 cm",CKY000000000001613010,PP,NULL,8,kitajima338,NULL,CKY,2013-01-02T00:05:35Z,NULL,18.7831,8.4258,36.6252,17.8421,30.4808,12.8976,11.6977,6.3673,6.2181,4.3705,10.5886,4.4718,0.2229,0.1013,11.4748,0.3569,0.5549,1.685,1.0837,2.6255,0.5872,1.4227,fuway,2013-01-12T02:19:31Z
"C0022B-6H-5, 2.0 cm",NULL,61.329,61.595,61.329,61.595,"C0022B-6H-5, 4.0 cm",NULL,61.348,61.615,61.348,61.615,"C0022B-6H-5 W, 2.0--4.0 cm",CKY000000000001613110,PP,NULL,8,kitajima338,NULL,CKY,2013-01-02T00:05:35Z,NULL,18.8631,8.4941,39.507,20.6439,32.5638,13.6455,13.7007,7.195,7.0264,5.0369,12.0633,5.1514,0.2518,0.1145,13.4489,0.3485,0.535,1.7113,1.1149,2.6701,0.5825,1.395,fuway,2013-01-12T02:19:31Z
"C0022B-6H-5, 128.0 cm",NULL,62.507,62.855,62.507,62.855,"C0022B-6H-5, 130.0 cm",NULL,62.526,62.875,62.526,62.875,"C0022B-6H-5 WR, 128.0--130.0 cm",CKY000000000001602710,PP,NULL,8,oohashi338,NULL,CKY,2013-01-01T12:14:50Z,NULL,18.8512,8.5068,27.4194,8.5682,24.5004,10.5719,5.6492,3.0249,2.954,2.017,4.971,2.0651,0.1059,0.0481,5.5433,0.353,0.5457,1.7236,1.1151,2.7483,0.5942,1.4646,fuway,2013-01-12T02:19:31Z
"C0022B-6H-6, 8.0 cm",NULL,62.699,63.06,62.699,63.06,"C0022B-6H-6, 10.0 cm",NULL,62.718,63.08,62.718,63.08,"C0022B-6H-6 W, 8.0--10.0 cm",CKY000000000001613210,PP,NULL,8,kitajima338,NULL,CKY,2013-01-02T00:05:35Z,NULL,18.6391,8.4176,32.2846,13.6455,27.441,11.709,8.8019,5.0193,4.9017,3.2115,8.1132,3.2914,0.1757,0.0799,8.6262,0.3678,0.5819,1.6819,1.0632,2.686,0.6042,1.5263,fuway,2013-01-12T02:19:31Z
"C0022B-6H-6, 105.0 cm",NULL,63.606,64.03,63.606,64.03,"C0022B-6H-6, 107.0 cm",NULL,63.625,64.05,63.625,64.05,"C0022B-6H-6 W, 105.0--107.0 cm",CKY000000000001613310,PP,NULL,8,kitajima338,NULL,CKY,2013-01-02T00:05:35Z,NULL,18.849,8.4799,36.663,17.814,29.9996,12.7398,11.1506,6.9051,6.7433,4.15,10.8933,4.2599,0.2417,0.1099,10.9089,0.3876,0.633,1.6353,1.0014,2.6287,0.619,1.6249,fuway,2013-01-12T02:19:31Z
"C0022B-6H-7, 38.0 cm",NULL,64.293,64.765,64.293,64.765,"C0022B-6H-7, 40.0 cm",NULL,64.312,64.785,64.312,64.785,"C0022B-6H-7 W, 38.0--40.0 cm",CKY000000000001613410,PP,NULL,8,kitajima338,NULL,CKY,2013-01-02T00:05:35Z,NULL,19.0918,8.6504,40.5085,21.4167,32.9207,13.7345,13.8289,7.863,7.6787,4.959,12.6377,5.0841,0.2752,0.1251,13.5537,0.3671,0.5801,1.6947,1.0725,2.7332,0.6076,1.5484,fuway,2013-01-12T02:19:31Z
"C0022B-6H-7, 115.5 cm",NULL,65.018,65.54,65.018,65.54,"C0022B-6H-7, 117.5 cm",NULL,65.036,65.56,65.036,65.56,"C0022B-6H-7 W, 115.5--117.5 cm",CKY000000000001613510,PP,NULL,8,kitajima338,NULL,CKY,2013-01-02T00:05:35Z,NULL,18.881,8.5048,32.5033,13.6223,28.185,12.0246,9.304,4.4749,4.37,3.4486,7.8186,3.5198,0.1566,0.0712,9.1474,0.3285,0.4892,1.7423,1.17,2.6525,0.5589,1.2672,fuway,2013-01-12T02:19:31Z
"C0022B-6H-8, 12.0 cm",NULL,65.359,65.905,65.359,65.905,"C0022B-6H-8, 14.0 cm",NULL,65.378,65.925,65.378,65.925,"C0022B-6H-8 W, 12.0--14.0 cm",CKY000000000001613610,PP,NULL,8,kitajima338,NULL,CKY,2013-01-02T00:05:35Z,NULL,18.2841,8.2257,32.7753,14.4912,28.0751,11.893,9.791,4.8707,4.7565,3.5898,8.3463,3.6673,0.1705,0.0775,9.6205,0.3361,0.5063,1.7362,1.1527,2.68,0.5699,1.325,fuway,2013-01-12T02:19:31Z
"C0022B-6H-8, 107.5 cm",NULL,66.252,66.86,66.252,66.86,"C0022B-6H-8, 110.0 cm",NULL,66.275,66.885,66.275,66.885,"C0022B-6H-8 W, 107.5--110.0 cm",CKY000000000001613710,PP,NULL,8,kitajima338,NULL,CKY,2013-01-02T00:05:35Z,NULL,18.1237,8.1504,37.5125,19.3888,31.776,13.2621,13.6523,5.9446,5.8053,5.0171,10.8224,5.1117,0.2081,0.0946,13.4442,0.3066,0.4422,1.7915,1.2423,2.6797,0.5364,1.1571,fuway,2013-01-12T02:19:31Z
"C0022B-7H-2, 54.0 cm",NULL,67.719,67.79,67.719,67.79,"C0022B-7H-2, 57.0 cm",NULL,67.747,67.82,67.747,67.82,"C0022B-7H-2 WR, 54.0--57.0 cm",CKY000000000001606210,PP,NULL,8,kitajima338,NULL,CKY,2013-01-01T17:18:57Z,NULL,18.7987,8.5074,31.1517,12.353,26.9136,11.4792,8.1149,4.3918,4.2889,2.9019,7.1908,2.9718,0.1537,0.0699,7.9612,0.3555,0.5517,1.7179,1.1071,2.7434,0.5964,1.478,fuway,2013-01-12T02:19:31Z
"C0022B-7H-2, 110.0 cm",NULL,68.229,68.35,68.229,68.35,"C0022B-7H-2, 112.0 cm",NULL,68.247,68.37,68.247,68.37,"C0022B-7H-2 W, 110.0--112.0 cm",CKY000000000001616110,PP,NULL,8,skarbek338,NULL,CKY,2013-01-02T01:38:59Z,NULL,18.106,8.1537,33.1981,15.0921,27.5952,11.7574,9.4892,5.8061,5.67,3.5113,9.1813,3.6037,0.2032,0.0924,9.286,0.3847,0.6253,1.6438,1.0114,2.6446,0.6176,1.6148,fuway,2013-01-12T02:19:31Z
"C0022B-7H-3, 41.0 cm",NULL,68.871,69.055,68.871,69.055,"C0022B-7H-3, 43.0 cm",NULL,68.889,69.075,68.889,69.075,"C0022B-7H-3 W, 41.0--43.0 cm",CKY000000000001616210,PP,NULL,8,skarbek338,NULL,CKY,2013-01-02T01:38:59Z,NULL,18.785,8.4663,34.676,15.891,28.8841,12.3196,10.0991,6.002,5.8613,3.7578,9.6191,3.8533,0.2101,0.0955,9.889,0.3777,0.6069,1.652,1.0281,2.6316,0.6093,1.5598,fuway,2013-01-12T02:19:31Z
"C0022B-7H-3, 97.0 cm",NULL,69.381,69.615,69.381,69.615,"C0022B-7H-3, 99.0 cm",NULL,69.399,69.635,69.399,69.635,"C0022B-7H-3 W, 97.0--99.0 cm",CKY000000000001616310,PP,NULL,8,skarbek338,NULL,CKY,2013-01-02T01:38:59Z,NULL,18.7577,8.4223,34.9767,16.219,28.7907,12.2637,10.033,6.4104,6.2602,3.7394,9.9996,3.8414,0.2244,0.102,9.8086,0.3952,0.6535,1.622,0.9809,2.623,0.626,1.6741,fuway,2013-01-12T02:19:31Z
"C0022B-7H-4, 65.0 cm",NULL,70.373,70.705,70.373,70.705,"C0022B-7H-4, 67.0 cm",NULL,70.391,70.725,70.391,70.725,"C0022B-7H-4 W, 65.0--67.0 cm",CKY000000000001616410,PP,NULL,8,skarbek338,NULL,CKY,2013-01-02T01:38:59Z,NULL,18.8013,8.5027,33.5557,14.7544,28.2955,12.0017,9.4942,5.451,5.3232,3.4123,8.7355,3.499,0.1908,0.0867,9.3034,0.3694,0.5859,1.689,1.065,2.7264,0.6094,1.56,fuway,2013-01-12T02:19:31Z
"C0022B-7H-4, 115.0 cm",NULL,70.828,71.205,70.828,71.205,"C0022B-7H-4, 117.0 cm",NULL,70.846,71.225,70.846,71.225,"C0022B-7H-4 W, 115.0--117.0 cm",CKY000000000001616510,PP,NULL,8,skarbek338,NULL,CKY,2013-01-02T01:38:59Z,NULL,18.9083,8.5196,33.0136,14.1053,28.2622,11.9836,9.3539,4.9237,4.8083,3.3857,8.194,3.464,0.1723,0.0783,9.1816,0.3491,0.5363,1.7214,1.1205,2.7119,0.5868,1.4202,fuway,2013-01-12T02:19:31Z
"C0022B-7H-5, 15.0 cm",NULL,71.197,71.61,71.197,71.61,"C0022B-7H-5, 17.0 cm",NULL,71.215,71.63,71.215,71.63,"C0022B-7H-5 W, 15.0--17.0 cm",CKY000000000001616610,PP,NULL,8,skarbek338,NULL,CKY,2013-01-02T01:38:59Z,NULL,18.7128,8.4348,34.7041,15.9913,29.5246,12.4673,10.8118,5.3674,5.2416,3.9471,9.1887,4.0325,0.1879,0.0854,10.6239,0.3356,0.5052,1.7403,1.1562,2.6916,0.5704,1.328,fuway,2013-01-12T02:19:31Z
"C0022B-7H-5, 91.0 cm",NULL,71.889,72.37,71.889,72.37,"C0022B-7H-5, 93.0 cm",NULL,71.907,72.39,71.907,72.39,"C0022B-7H-5 W, 91.0--93.0 cm",CKY000000000001616710,PP,NULL,8,skarbek338,NULL,CKY,2013-01-02T01:38:59Z,NULL,18.7639,8.4691,39.7738,21.0099,33.5821,13.9225,14.8182,6.4163,6.2659,5.3513,11.6172,5.4534,0.2246,0.1021,14.5936,0.3054,0.4397,1.8085,1.2562,2.7271,0.5394,1.1709,fuway,2013-01-12T02:19:31Z
"C0022B-7H-6, 24.0 cm",NULL,72.581,73.13,72.581,73.13,"C0022B-7H-6, 26.0 cm",NULL,72.599,73.15,72.599,73.15,"C0022B-7H-6 W, 24.0--26.0 cm",CKY000000000001616810,PP,NULL,8,skarbek338,NULL,CKY,2013-01-02T01:38:59Z,NULL,18.8492,8.5421,35.3489,16.4997,30.0472,12.5957,11.198,5.494,5.3652,3.9662,9.3314,4.0536,0.1923,0.0874,11.0057,0.333,0.4992,1.7682,1.1794,2.7749,0.575,1.3527,fuway,2013-01-12T02:19:31Z
"C0022B-7H-8, 0.0 cm",NULL,73.523,74.165,73.523,74.165,"C0022B-7H-8, 3.0 cm",NULL,73.55,74.195,73.55,74.195,"C0022B-7H-8 W, 0.0--3.0 cm",CKY000000000001619210,PP,NULL,8,skarbek338,NULL,CKY,2013-01-02T01:55:05Z,NULL,18.9057,8.5009,31.7974,12.8917,28.1253,11.9034,9.2196,3.8053,3.7161,3.342,7.0581,3.4025,0.1332,0.0605,9.0864,0.2952,0.4188,1.8265,1.2874,2.7189,0.5265,1.1119,fuway,2013-01-12T02:19:31Z
"C0022B-7H-8, 110.0 cm",NULL,74.524,75.265,74.524,75.265,"C0022B-7H-8, 112.0 cm",NULL,74.543,75.285,74.543,75.285,"C0022B-7H-8 W, 110.0--112.0 cm",CKY000000000001616910,PP,NULL,8,skarbek338,NULL,CKY,2013-01-02T01:38:59Z,NULL,17.929,8.1618,32.0586,14.1296,27.6362,11.5994,9.7072,4.5828,4.4754,3.3647,7.8401,3.4376,0.1604,0.0729,9.5468,0.3243,0.48,1.8022,1.2177,2.8373,0.5708,1.3301,fuway,2013-01-12T02:19:31Z
