"Top Core Depth []","Top Drilling depth below sea floor [m DSF]","Top Depth DSF, MSF, WSF and CSF-B [m, CMP]","Top Core depth (below sea floor) [m CSF-A]","Top Core depth (below sea floor) [m CSF-B]","Top Depth DSF, MSF, WSF and CSF-A [m]","Bottom Core Depth []","Bottom Drilling depth below sea floor [m DSF]","Bottom Depth DSF, MSF, WSF and CSF-B [m, CMP]","Bottom Core depth (below sea floor) [m CSF-A]","Bottom Core depth (below sea floor) [m CSF-B]","Bottom Depth DSF, MSF, WSF and CSF-A [m]","Sample source","J-CORES sample ID","Sample code","Sample request","Sample volume (cm3)","Sample entered by","Sample comment","Sample repository","Sample time-stamp","pore water chemistry; sample::refractive index nD: refractometer::number","pore water chemistry; sample::chlorinity: titrator, potentiometric titration [mM]::number","pore water chemistry; sample::Li concentration: ICP-AES [µM]::number","pore water chemistry; sample::B concentration: ICP-AES [µM]::number","pore water chemistry; sample::DIC concentration: coulometer, DIC-EXIT, 3rd party [mM]::number","pore water chemistry; sample::NH4 concentration: UV-Visible spectrophotometer [mM]::number","pore water chemistry; sample::Na concentration: IC [mM]::number","pore water chemistry; sample::Mg concentration: IC [mM]::number","pore water chemistry; sample::Si concentration: ICP-AES [µM]::number","pore water chemistry; sample::Si concentration: UV-Visible spectrophotometer [mM]::number","pore water chemistry; sample::PO4 concentration: UV-Visible spectrophotometer [µM]::number","pore water chemistry; sample::SO4 concentration: IC [mM]::number","pore water chemistry; sample::K concentration: IC [mM]::number","pore water chemistry; sample::Ca concentration: IC [mM]::number","pore water chemistry; sample::Mn concentration: ICP-AES [µM]::number","pore water chemistry; sample::Fe concentration: ICP-AES [µM]::number","pore water chemistry; sample::Zn concentration: ICP-MS [nM]::number","pore water chemistry; sample::Br concentration: IC [mM]::number","pore water chemistry; sample::Rb concentration: ICP-MS [nM]::number","pore water chemistry; sample::Sr concentration: ICP-AES [µM]::number","pore water chemistry; sample::Mo concentration: ICP-MS [nM]::number","pore water chemistry; sample::Cs concentration: ICP-MS [nM]::number","pore water chemistry; sample::Ba concentration: ICP-AES [µM]::number","pore water chemistry; sample::U concentration: ICP-MS [nM]::number","pore water chemistry; sample::registerer","pore water chemistry; sample::registration time-stamp","pore water chemistry::pmH: pH electrode, attached to titrator::number","pore water chemistry::alkalinity: titrator [mM]::number","pore water chemistry::alkalinity full result::file","pore water chemistry::registerer","pore water chemistry::registration time-stamp"
"C0014G-14T-2, 15.0 cm",,71.825,71.825,71.825,71.825,"C0014G-14T-2, 30.0 cm",,71.975,71.975,71.975,71.975,"C0014G-14T-2 WR, 15.0--30.0 cm",CKY000000000003391900,IWIC,,4.0,takuroh331,,CKY,2010-09-23T04:47:46Z,,,,,,,,,,,,,,,,,,,,,,,,,,,6.49,9.462,"pore water chemistry/alkalinity full result/C0014G-14T-2 WR, 15.0--30.0 cm IWIC (1).pdf",kawait,2010-09-25T13:20:40Z
"C0014G-14T-2, 22.5 cm",,71.900,71.900,71.900,71.900,"C0014G-14T-2, 22.5 cm",,71.900,71.900,71.900,71.900,,,,,,,,,,1.33954,603.4537989,1368.549234,1593.402269,,1.13815755,481.1143867,8.150967174,4092.311588,4.027340375,0,8.2630372,61.96954574,31.01949458,418.8579142,32.17812467,69.31365872,1.013838669,68475.5201,102.6663126,39.68606763,437.538493,3.587558979,9.089672295,moriyas,2010-12-03T02:29:44Z,,,,,
"C0014G-16T-1, 52.0 cm",,76.420,76.420,76.420,76.420,"C0014G-16T-1, 62.0 cm",,76.520,76.520,76.520,76.520,"C0014G-16T-1 WR, 52.0--62.0 cm",CKY000000000003393100,IWIC,,4.0,takuroh331,,CKY,2010-09-23T04:50:44Z,,,,,,,,,,,,,,,,,,,,,,,,,,,7.29,17.414,"pore water chemistry/alkalinity full result/C0014G-16T-1 WR, 52.0--62.0 cm IWIC (1).pdf",kawait,2010-09-25T13:34:10Z
"C0014G-16T-1, 57.0 cm",,76.470,76.470,76.470,76.470,"C0014G-16T-1, 57.0 cm",,76.470,76.470,76.470,76.470,,,,,,,,,,1.33988,616.8483341,1376.795555,1384.30809,,1.069321325,500.1098347,7.15271259,2366.550386,2.42797314,1.989097677,7.598148476,52.62260691,33.78646912,296.9471463,1.101677162,469.719979,1.0451793,49140.05148,112.4240132,59.85121322,294.9292328,3.565779317,3.25164905,moriyas,2010-12-03T02:29:44Z,,,,,
"C0014G-17T-2, 73.0 cm",,81.340,81.340,81.340,81.340,"C0014G-17T-2, 88.0 cm",,81.490,81.490,81.490,81.490,"C0014G-17T-2 WR, 73.0--88.0 cm",CKY000000000003394500,IWIC,,4.0,takuroh331,,CKY,2010-09-23T06:00:01Z,,,,,,,,,,,,,,,,,,,,,,,,,,,6.37,14.147,"pore water chemistry/alkalinity full result/C0014G-17T-2 WR, 73.0--88.0 cm IWIC (1).pdf",kawait,2010-09-25T13:23:13Z
"C0014G-17T-2, 80.5 cm",,81.415,81.415,81.415,81.415,"C0014G-17T-2, 80.5 cm",,81.415,81.415,81.415,81.415,,,,,,,,,,1.33958,602.5541659,1372.321061,1533.512611,,1.181820021,596.0650772,8.770103769,2898.279526,3.033962166,3.932929329,7.115624323,58.8022071,34.08338045,307.1845164,24.13828961,144.1410712,1.00899462,49131.54364,109.6728173,61.91596307,255.4557929,4.643696236,10.54866376,moriyas,2010-12-03T02:29:44Z,,,,,
"C0014G-18T-4, 20.0 cm",,87.220,87.220,87.220,87.220,"C0014G-18T-4, 35.0 cm",,87.370,87.370,87.370,87.370,"C0014G-18T-4 WR, 20.0--35.0 cm",CKY000000000003395700,IWIC,,4.0,takuroh331,,CKY,2010-09-23T06:02:29Z,,,,,,,,,,,,,,,,,,,,,,,,,,,6.26,12.24,"pore water chemistry/alkalinity full result/C0014G-18T-4 WR, 20.0--35.0 cm IWIC (1).pdf",kawait,2010-09-25T13:25:53Z
"C0014G-18T-4, 27.5 cm",,87.295,87.295,87.295,87.295,"C0014G-18T-4, 27.5 cm",,87.295,87.295,87.295,87.295,,,,,,,,,,1.33922,568.4680726,1364.377273,1736.12277,,1.433833841,458.3055528,5.853011418,4803.155858,4.774110029,4.174452042,3.754190592,69.92786443,27.92678604,368.7796248,26.72575817,47.13029356,1.020621788,109501.0532,89.38351445,0,1757.828164,8.445318562,3.433138481,moriyas,2010-12-03T02:29:44Z,,,,,
"C0014G-20T-1, 43.0 cm",,94.130,94.130,94.130,94.130,"C0014G-20T-1, 63.0 cm",,94.330,94.330,94.330,94.330,"C0014G-20T-1 WR, 43.0--63.0 cm",CKY000000000003396900,IWIC,,4.0,takuroh331,,CKY,2010-09-23T06:05:35Z,,,,,,,,,,,,,,,,,,,,,,,,,,,6.14,5.923,"pore water chemistry/alkalinity full result/C0014G-20T-1 WR, 43.0--63.0 cm IWIC (1).pdf",kawait,2010-09-25T13:37:14Z
"C0014G-20T-1, 53.0 cm",,94.230,94.230,94.230,94.230,"C0014G-20T-1, 53.0 cm",,94.230,94.230,94.230,94.230,,,,,,,,,,1.33934,585.7610173,1421.646296,1809.657416,8.89,1.518973645,465.5467006,5.10396696,5441.372965,5.365706768,3.922419499,6.945390408,64.87877338,27.31313548,389.7174238,51.03341394,285.6419603,1.027821358,102573.6938,91.31674626,26.06072583,1865.490286,4.306978295,0.666629129,moriyas,2010-12-03T02:29:45Z,,,,,
"C0014G-21H-3, 15.0 cm",,99.255,99.255,99.255,99.255,"C0014G-21H-3, 25.0 cm",,99.355,99.355,99.355,99.355,"C0014G-21H-3 WR, 15.0--25.0 cm",CKY000000000003412200,IWIC,,4.0,manabu331,,CKY,2010-09-23T12:28:53Z,,,,,,,,,,,,,,,,,,,,,,,,,,,7.11,19.33,"pore water chemistry/alkalinity full result/C0014G-21H-3 WR, 15.0--25.0 cm IWIC (1).pdf",kawait,2010-09-25T13:39:57Z
"C0014G-21H-3, 20.0 cm",,99.305,99.305,99.305,99.305,"C0014G-21H-3, 20.0 cm",,99.305,99.305,99.305,99.305,,,,,,,,,,1.33946,589.0596715,1409.487743,1630.777537,,1.40327864,442.7559893,5.409603632,1138.807735,4.397466571,3.092954015,4.51522397,62.89408014,30.34772624,373.3246441,0.633201668,299.9308702,1.006441336,98337.84307,92.55934156,45.30136085,1682.269674,8.848706288,2.352086687,moriyas,2010-12-03T02:29:45Z,,,,,
"C0014G-23X-1, 17.0 cm",,104.870,104.870,104.870,104.870,"C0014G-23X-1, 17.0 cm",,104.870,104.870,104.870,104.870,,,,,,,,,,,601.3263209,,,,1.411878235,478.322726,12.13216395,,,,20.54511271,61.77918252,45.499936,,,,1.011369183,,,,,,,yamamoton,2010-10-22T05:23:38Z,,,,,
"C0014G-24T-2, 54.0 cm",,110.240,110.240,110.240,110.240,"C0014G-24T-2, 66.0 cm",,110.360,110.360,110.360,110.360,"C0014G-24T-2 WR, 54.0--66.0 cm",CKY000000000003412500,IWIC,,4.0,manabu331,,CKY,2010-09-23T12:34:09Z,,,,,,,,,,,,,,,,,,,,,,,,,,,6.54,7.099,"pore water chemistry/alkalinity full result/C0014G-24T-2 WR, 54.0--66.0 cm IWIC (1).pdf",kawait,2010-09-25T13:55:45Z
"C0014G-24T-2, 60.0 cm",,110.300,110.300,110.300,110.300,"C0014G-24T-2, 60.0 cm",,110.300,110.300,110.300,110.300,,,,,,,,,,1.33932,578.9327888,1284.489495,1609.258814,9.89,1.373598618,471.7159267,8.512055642,4409.633204,4.588791791,4.351061502,7.031392244,57.16791936,23.95091688,438.5830948,33.05290047,108.4780175,0.952243308,90684.3569,88.84042752,105.1151928,1373.369746,3.107657448,0.844392096,moriyas,2010-12-03T02:29:45Z,,,,,
"C0014G-24T-4, 95.0 cm",,112.635,112.635,112.635,112.635,"C0014G-24T-4, 110.5 cm",,112.790,112.790,112.790,112.790,"C0014G-24T-4 WR, 95.0--110.5 cm",CKY000000000003413300,IWIC,,4.0,manabu331,,CKY,2010-09-23T12:34:10Z,,,,,,,,,,,,,,,,,,,,,,,,,,,6.24,5.407,"pore water chemistry/alkalinity full result/C0014G-24T-4 WR, 95.0--110.5 cm IWIC (1).pdf",yamamoton,2010-10-22T01:56:01Z
"C0014G-24T-4, 102.8 cm",,112.713,112.713,112.713,112.713,"C0014G-24T-4, 102.8 cm",,112.713,112.713,112.713,112.713,,,,,,,,,,1.3393,588.5300168,1196.208598,1446.491801,8.6,1.227101078,469.7567442,11.00381663,4045.703383,4.294143362,6.152400257,7.209453657,55.01909928,22.25274136,617.2032279,115.573513,91.26185139,0.992351376,85769.74898,83.82074813,0,1494.322876,2.82929699,0.260901731,moriyas,2010-12-03T02:29:45Z,,,,,
"C0014G-25T-1, 35.0 cm",,114.050,114.050,114.050,114.050,"C0014G-25T-1, 45.0 cm",,114.150,114.150,114.150,114.150,"C0014G-25T-1 WR, 35.0--45.0 cm",CKY000000000003414000,IWIC,,4.0,manabu331,,CKY,2010-09-23T12:36:11Z,,,,,,,,,,,,,,,,,,,,,,,,,,,6.39,7.077,"pore water chemistry/alkalinity full result/C0014G-25T-1 WR, 35.0--45.0 cm IWIC (1).pdf",kawait,2010-09-25T14:03:43Z
"C0014G-25T-1, 40.0 cm",,114.100,114.100,114.100,114.100,"C0014G-25T-1, 40.0 cm",,114.100,114.100,114.100,114.100,,,,,,,,,,1.33926,565.2367446,1302.54021,1574.457489,,1.419754856,470.695344,6.110112992,3973.560687,4.225364356,5.137202454,5.499143371,53.43468536,22.56571138,600.5920356,43.57215138,209.4986785,0.976858886,90234.9277,88.01738992,103.4639406,1507.892596,5.284328558,26.58572767,moriyas,2010-12-03T02:29:45Z,,,,,
