"Top Core Depth []","Top Drilling depth below sea floor [m DSF]","Top Depth DSF, MSF, WSF and CSF-B [m, CMP]","Top Core depth (below sea floor) [m CSF-A]","Top Core depth (below sea floor) [m CSF-B]","Top Depth DSF, MSF, WSF and CSF-A [m]","Bottom Core Depth []","Bottom Drilling depth below sea floor [m DSF]","Bottom Depth DSF, MSF, WSF and CSF-B [m, CMP]","Bottom Core depth (below sea floor) [m CSF-A]","Bottom Core depth (below sea floor) [m CSF-B]","Bottom Depth DSF, MSF, WSF and CSF-A [m]","Sample source","J-CORES sample ID","Sample code","Sample request","Sample volume (cm3)","Sample entered by","Sample comment","Sample repository","Sample time-stamp","pore water chemistry; sample::refractive index nD: refractometer::number","pore water chemistry; sample::chlorinity: titrator, potentiometric titration [mM]::number","pore water chemistry; sample::Li concentration: ICP-AES [µM]::number","pore water chemistry; sample::B concentration: ICP-AES [µM]::number","pore water chemistry; sample::NH4 concentration: UV-Visible spectrophotometer [µM]::number","pore water chemistry; sample::Na concentration: ICP-AES [mM]::number","pore water chemistry; sample::Mg concentration: ICP-AES [mM]::number","pore water chemistry; sample::Si concentration: ICP-AES [µM]::number","pore water chemistry; sample::PO4 concentration: UV-Visible spectrophotometer [µM]::number","pore water chemistry; sample::SO4 concentration: IC [mM]::number","pore water chemistry; sample::K concentration: ICP-AES [mM]::number","pore water chemistry; sample::Ca concentration: ICP-AES [mM]::number","pore water chemistry; sample::V concentration: ICP-MS [nM]::number","pore water chemistry; sample::Mn concentration: ICP-AES [µM]::number","pore water chemistry; sample::Fe concentration: ICP-AES [µM]::number","pore water chemistry; sample::Cu concentration: ICP-MS [nM]::number","pore water chemistry; sample::Zn concentration: ICP-MS [nM]::number","pore water chemistry; sample::Br concentration: IC [µM]::number","pore water chemistry; sample::Rb concentration: ICP-MS [nM]::number","pore water chemistry; sample::Sr concentration: ICP-AES [µM]::number","pore water chemistry; sample::Mo concentration: ICP-MS [nM]::number","pore water chemistry; sample::Cs concentration: ICP-MS [nM]::number","pore water chemistry; sample::Ba concentration: ICP-AES [µM]::number","pore water chemistry; sample::Pb concentration: ICP-MS [nM]::number","pore water chemistry; sample::U concentration: ICP-MS [nM]::number","pore water chemistry; sample::registerer","pore water chemistry; sample::registration time-stamp","pore water chemistry::pmH: pH electrode, attached to titrator::number","pore water chemistry::alkalinity: titrator [mM]::number","pore water chemistry::registerer","pore water chemistry::registration time-stamp"
"C0002B-55R-2, 20.7 cm",,977.702,977.702,977.702,977.702,"C0002B-55R-2, 20.7 cm",,977.702,977.702,977.702,977.702,,,,,,,,,,1.33788,460.4072,209.4497,219.6212,2160.205,378.9565,12.31996,538.6831,,1.403463806,2.652029,16.20686,18.91962,4.684064,2.81105,5132.479,619.8638,931.8780965,813.9705,76.28488,704.7497,9.557324,25.72767,1.007786,9.903608,miyabes,2010-08-11T06:59:12Z,,,,
"C0002B-56R-2, 0.0 cm",,986.640,986.640,986.640,986.640,"C0002B-56R-2, 41.5 cm",,987.055,987.055,987.055,987.055,"C0002B-56R-2 WR, 0.0--41.5 cm",CKY000000000002788800,IWIC,,4.0,arakaway,,KCC,2010-07-05T05:47:03Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.03,3.582,kawait,2010-07-07T03:01:16Z
"C0002B-56R-2, 20.7 cm",,986.847,986.847,986.847,986.847,"C0002B-56R-2, 20.7 cm",,986.847,986.847,986.847,986.847,,,,,,,,,,1.33822,476.027,200.205,218.9093,2160.205,410.2739,13.68608,613.3578,,2.644500609,2.767096,17.8331,17.46438,9.646629,0.5364764,2033.434,1819.274,927.8199914,768.6093,74.30077,401.0488,8.654556,19.74796,0.4701161,7.515348,miyabes,2010-08-11T06:59:12Z,,,,
"C0002B-59R-2, 0.0 cm",,1010.910,1010.910,1010.910,1010.910,"C0002B-59R-2, 41.5 cm",,1011.325,1011.325,1011.325,1011.325,"C0002B-59R-2 WR, 0.0--41.5 cm",CKY000000000002788900,IWIC,,4.0,arakaway,,KCC,2010-07-05T05:47:03Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.11,3.195,kawait,2010-07-07T03:01:16Z
"C0002B-59R-2, 20.7 cm",,1011.117,1011.117,1011.117,1011.117,"C0002B-59R-2, 20.7 cm",,1011.117,1011.117,1011.117,1011.117,,,,,,,,,,1.33785,457.9005,187.0538,222.0985,1546.304,411.4553,13.11181,405.1075,,3.017142114,2.167368,18.91088,16.2647,9.86835,0.6768053,4207.291,428.339,881.7408628,498.5751,76.48569,247.7755,5.126877,20.37859,0.8025941,3.061105,miyabes,2010-08-11T06:59:12Z,,,,
"C0002B-61R-3, 0.0 cm",,1020.772,1021.320,1020.772,1021.320,"C0002B-61R-3, 41.5 cm",,1021.107,1021.735,1021.107,1021.735,"C0002B-61R-3 WR, 0.0--41.5 cm",CKY000000000002789000,IWIC,,4.0,arakaway,,KCC,2010-07-05T05:47:04Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.22,3.299,kawait,2010-07-07T03:01:16Z
"C0002B-61R-3, 20.7 cm",,1020.939,1021.527,1020.939,1021.527,"C0002B-61R-3, 20.7 cm",,1020.939,1021.527,1020.939,1021.527,,,,,,,,,,1.33764,432.4703,183.6496,251.0568,1563.97,369.0828,9.999616,359.3465,,1.974789599,2.148024,17.95899,2.69051,6.81312,11.67011,2243.954,944.777,850.1269152,566.9025,65.78811,372.8963,6.805254,22.97164,0.4455778,1.037148,miyabes,2010-08-11T06:59:12Z,,,,
"C0002B-62R-2, 0.0 cm",,1024.000,1024.000,1024.000,1024.000,"C0002B-62R-2, 41.5 cm",,1024.415,1024.415,1024.415,1024.415,"C0002B-62R-2 WR, 0.0--41.5 cm",CKY000000000002789100,IWIC,,4.0,arakaway,,KCC,2010-07-05T05:47:04Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.86,2.847,kawait,2010-07-07T03:01:16Z
"C0002B-62R-2, 20.7 cm",,1024.207,1024.207,1024.207,1024.207,"C0002B-62R-2, 20.7 cm",,1024.207,1024.207,1024.207,1024.207,,,,,,,,,,1.33795,464.0099,177.6055,173.3371,1780.381,355.5122,12.66472,379.0224,,3.699685537,1.781704,20.61736,8.839571,7.28681,1.111681,2222.291,1018.015,909.7385152,395.6623,79.65907,451.9018,4.305624,24.24362,0.5609038,4.380098,miyabes,2010-08-11T06:59:12Z,,,,
"C0002B-64R-2, 0.0 cm",,1042.995,1042.995,1042.995,1042.995,"C0002B-64R-2, 41.5 cm",,1043.410,1043.410,1043.410,1043.410,"C0002B-64R-2 WR, 0.0--41.5 cm",CKY000000000002789200,IWIC,,4.0,arakaway,,KCC,2010-07-05T05:47:04Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.69,3.897,kawait,2010-07-07T03:01:16Z
"C0002B-64R-2, 20.7 cm",,1043.202,1043.202,1043.202,1043.202,"C0002B-64R-2, 20.7 cm",,1043.202,1043.202,1043.202,1043.202,,,,,,,,,,1.33789,455.5413,191.703,324.6732,1921.711,410.6407,12.00858,805.1532,,3.157103033,2.915832,19.95684,6.558764,12.6671,17.62308,560.73,1166.744,877.7154844,790.2948,67.78923,928.8173,8.195058,22.58022,0.9407655,2.872739,miyabes,2010-08-11T06:59:12Z,,,,
