"Top Core Depth []","Top Drilling depth below sea floor [m DSF]","Top Depth DSF, MSF, WSF and CSF-B [m, CMP]","Top Core depth (below sea floor) [m CSF-A]","Top Core depth (below sea floor) [m CSF-B]","Top Depth DSF, MSF, WSF and CSF-A [m]","Bottom Core Depth []","Bottom Drilling depth below sea floor [m DSF]","Bottom Depth DSF, MSF, WSF and CSF-B [m, CMP]","Bottom Core depth (below sea floor) [m CSF-A]","Bottom Core depth (below sea floor) [m CSF-B]","Bottom Depth DSF, MSF, WSF and CSF-A [m]","Sample source","J-CORES sample ID","Sample code","Sample request","Sample volume (cm3)","Sample entered by","Sample comment","Sample repository","Sample time-stamp","pore water chemistry; sample::refractive index nD: refractometer::number","pore water chemistry; sample::salinity: refractometer [permil]::number","pore water chemistry; sample::chlorinity: titrator, potentiometric titration [mM]::number","pore water chemistry; sample::Li concentration: ICP-AES [µM]::number","pore water chemistry; sample::B concentration: ICP-AES [µM]::number","pore water chemistry; sample::NH4 concentration: UV-Visible spectrophotometer [µM]::number","pore water chemistry; sample::Na concentration: ICP-AES [mM]::number","pore water chemistry; sample::Na concentration: charge balance [mM]::number","pore water chemistry; sample::Mg concentration: ICP-AES [mM]::number","pore water chemistry; sample::Si concentration: ICP-AES [µM]::number","pore water chemistry; sample::PO4 concentration: UV-Visible spectrophotometer [µM]::number","pore water chemistry; sample::SO4 concentration: selected from IC without or with Cd(NO3)2 [mM]::number","pore water chemistry; sample::SO4 concentration: IC [mM]::number","pore water chemistry; sample::SO4 concentration: IC with Cd(NO3)2 [mM]::number","pore water chemistry; sample::Cl concentration: chlorinity - Br [mM]::number","pore water chemistry; sample::K concentration: ICP-AES [mM]::number","pore water chemistry; sample::Ca concentration: ICP-AES [mM]::number","pore water chemistry; sample::Mn concentration: ICP-AES [µM]::number","pore water chemistry; sample::Fe concentration: ICP-AES [µM]::number","pore water chemistry; sample::Br concentration: IC [mM]::number","pore water chemistry; sample::Sr concentration: ICP-AES [µM]::number","pore water chemistry; sample::Ba concentration: ICP-AES [µM]::number","pore water chemistry; sample::registerer","pore water chemistry; sample::registration time-stamp","pore water chemistry::pmH: pH electrode, attached to titrator::number","pore water chemistry::alkalinity: titrator [mM]::number","pore water chemistry::registerer","pore water chemistry::registration time-stamp"
"C0008A-27H-5, 15.0 cm",,215.785,215.785,215.785,215.785,"C0008A-27H-5, 15.0 cm",,215.785,215.785,215.785,215.785,,,,,,,,,,1.3388,32.27778,564.0771,23.69412,614.5728,2771.333,492.936,518.2573,12.16289,677.1582,5.082394,0,0.3459552,0,562.9689,7.914153,8.289738,9.326055,4.826381,1.108234,84.09673,34.50595,maedal,2008-06-09T01:44:03Z,,,,
"C0008A-28H-3, 0.0 cm",,222.182,222.220,222.182,222.220,"C0008A-28H-3, 30.0 cm",,222.477,222.520,222.477,222.520,"C0008A-28H-3 WR, 0.0--30.0 cm",KCC000000000002798500,IWIC,,4.0,arakaway,,KCC,2010-07-05T07:12:17Z,,,,,,,,,,,,,,,,,,,,,,,,,7.92,6.086,kames,2010-07-06T04:40:43Z
"C0008A-28H-3, 15.0 cm",,222.330,222.370,222.330,222.370,"C0008A-28H-3, 15.0 cm",,222.330,222.370,222.330,222.370,,,,,,,,,,1.33882,32.38889,564.0001,23.90483,615.082,2758,515.8452,520.1129,12.07041,587.3171,5.082394,0,0.4708868,0.2745554,562.8744,7.039516,7.579469,5.104271,0.1000778,1.125653,84.68858,33.94762,maedal,2008-06-09T01:44:03Z,,,,
"C0008A-29X-5, 0.0 cm",,228.995,229.245,228.995,229.245,"C0008A-29X-5, 33.0 cm",,229.306,229.575,229.306,229.575,"C0008A-29X-5 WR, 0.0--33.0 cm",KCC000000000002798600,IWIC,,4.0,arakaway,,KCC,2010-07-05T07:12:17Z,,,,,,,,,,,,,,,,,,,,,,,,,7.62,6.116,kames,2010-07-06T04:40:43Z
"C0008A-29X-5, 16.5 cm",,229.151,229.410,229.151,229.410,"C0008A-29X-5, 16.5 cm",,229.151,229.410,229.151,229.410,,,,,,,,,,1.33883,32.44444,566.5494,24.72609,698.8405,2638,588.5745,519.2935,12.48014,738.6326,5.082394,0,0.8724064,0.7285507,565.4404,7.985341,8.417718,7.142361,0.3627441,1.109033,85.41676,29.27496,maedal,2008-06-09T01:44:04Z,,,,
"C0008A-30X-7, 0.0 cm",,240.160,240.160,240.160,240.160,"C0008A-30X-7, 36.0 cm",,240.520,240.520,240.520,240.520,"C0008A-30X-7 WR, 0.0--36.0 cm",KCC000000000002798700,IWIC,,4.0,arakaway,,KCC,2010-07-05T07:12:17Z,,,,,,,,,,,,,,,,,,,,,,,,,8.14,6.114,kames,2010-07-06T04:40:43Z
"C0008A-30X-7, 18.0 cm",,240.340,240.340,240.340,240.340,"C0008A-30X-7, 18.0 cm",,240.340,240.340,240.340,240.340,,,,,,,,,,1.33881,32.33333,560.8403,24.21886,630.1646,2651.333,597.3492,515.738,11.56444,591.7318,1.01419,0,0.5918282,0.384358,559.738,8.278501,8.143034,5.269129,0.6330466,1.10231,82.88046,25.51367,maedal,2008-06-09T01:44:04Z,,,,
"C0008A-31X-6, 0.0 cm",,249.210,249.920,249.210,249.920,"C0008A-31X-6, 37.5 cm",,249.542,250.295,249.542,250.295,"C0008A-31X-6 WR, 0.0--37.5 cm",KCC000000000002798800,IWIC,,4.0,arakaway,,KCC,2010-07-05T07:12:17Z,,,,,,,,,,,,,,,,,,,,,,,,,7.9,6.184,kames,2010-07-06T04:40:44Z
"C0008A-31X-6, 18.8 cm",,249.377,250.108,249.377,250.108,"C0008A-31X-6, 18.8 cm",,249.377,250.108,249.377,250.108,,,,,,,,,,1.33889,32.77778,567.304,25.40522,691.3953,2518,592.1925,522.7877,12.91898,655.6953,3.726326,2.154398,2.081788,2.154398,566.2111,8.368058,8.677918,7.302421,0.1026097,1.092952,84.89312,21.18409,maedal,2008-06-09T01:44:05Z,,,,
"C0008A-32X-7, 0.0 cm",,259.440,260.720,259.440,260.720,"C0008A-32X-7, 38.0 cm",,259.755,261.100,259.755,261.100,"C0008A-32X-7 WR, 0.0--38.0 cm",KCC000000000002798900,IWIC,,4.0,arakaway,,KCC,2010-07-05T07:12:18Z,,,,,,,,,,,,,,,,,,,,,,,,,8.03,5.372,kames,2010-07-06T04:40:44Z
"C0008A-32X-7, 19.0 cm",,259.597,260.910,259.597,260.910,"C0008A-32X-7, 19.0 cm",,259.597,260.910,259.597,260.910,,,,,,,,,,1.33892,32.94444,568.57,28.41326,571.6994,2482.782,600.7564,522.7336,13.44972,484.6412,1.847178,2.687922,2.520139,2.687922,567.4578,8.694798,8.847791,5.782211,0.2769837,1.112258,87.45003,18.53112,maedal,2008-06-09T01:44:05Z,,,,
"C0008A-33X-4, 0.0 cm",,266.695,266.695,266.695,266.695,"C0008A-33X-4, 33.5 cm",,267.030,267.030,267.030,267.030,"C0008A-33X-4 WR, 0.0--33.5 cm",KCC000000000002799000,IWIC,,4.0,arakaway,,KCC,2010-07-05T07:12:18Z,,,,,,,,,,,,,,,,,,,,,,,,,7.96,5.239,kames,2010-07-06T04:40:44Z
"C0008A-33X-4, 16.8 cm",,266.863,266.863,266.863,266.863,"C0008A-33X-4, 16.8 cm",,266.863,266.863,266.863,266.863,,,,,,,,,,1.33898,33.27778,568.55,31.09177,574.4107,2379.477,581.4476,524.5065,14.47021,465.6003,4.600734,5.04243,4.431186,5.04243,567.4595,8.863312,9.187435,6.229867,0.1895825,1.090553,87.87251,13.88113,maedal,2008-06-09T01:44:05Z,,,,
