"Top Core Depth []","Top Drilling depth below sea floor [m DSF]","Top Depth DSF, MSF, WSF and CSF-B [m, CMP]","Top Core depth (below sea floor) [m CSF-A]","Top Core depth (below sea floor) [m CSF-B]","Top Depth DSF, MSF, WSF and CSF-A [m]","Bottom Core Depth []","Bottom Drilling depth below sea floor [m DSF]","Bottom Depth DSF, MSF, WSF and CSF-B [m, CMP]","Bottom Core depth (below sea floor) [m CSF-A]","Bottom Core depth (below sea floor) [m CSF-B]","Bottom Depth DSF, MSF, WSF and CSF-A [m]","Sample source","J-CORES sample ID","Sample code","Sample request","Sample volume (cm3)","Sample entered by","Sample comment","Sample repository","Sample time-stamp","pore water chemistry; sample::refractive index nD: refractometer::number","pore water chemistry; sample::salinity: refractometer [permil]::number","pore water chemistry; sample::chlorinity: titrator, potentiometric titration [mM]::number","pore water chemistry; sample::Li concentration: ICP-AES [µM]::number","pore water chemistry; sample::B concentration: ICP-AES [µM]::number","pore water chemistry; sample::NH4 concentration: UV-Visible spectrophotometer [µM]::number","pore water chemistry; sample::Na concentration: ICP-AES [mM]::number","pore water chemistry; sample::Mg concentration: ICP-AES [mM]::number","pore water chemistry; sample::Si concentration: ICP-AES [µM]::number","pore water chemistry; sample::PO4 concentration: UV-Visible spectrophotometer [µM]::number","pore water chemistry; sample::SO4 concentration: IC [mM]::number","pore water chemistry; sample::SO4 concentration: IC with Cd(NO3)2 [mM]::number","pore water chemistry; sample::Cl concentration: chlorinity - Br [mM]::number","pore water chemistry; sample::K concentration: ICP-AES [mM]::number","pore water chemistry; sample::Ca concentration: ICP-AES [mM]::number","pore water chemistry; sample::V concentration: ICP-MS [nM]::number","pore water chemistry; sample::Mn concentration: ICP-AES [µM]::number","pore water chemistry; sample::Fe concentration: ICP-AES [µM]::number","pore water chemistry; sample::Zn concentration: ICP-MS [nM]::number","pore water chemistry; sample::Br concentration: IC [mM]::number","pore water chemistry; sample::Rb concentration: ICP-MS [µM]::number","pore water chemistry; sample::Sr concentration: ICP-AES [µM]::number","pore water chemistry; sample::Mo concentration: ICP-MS [nM]::number","pore water chemistry; sample::Cs concentration: ICP-MS [nM]::number","pore water chemistry; sample::Ba concentration: ICP-AES [µM]::number","pore water chemistry; sample::Pb concentration: ICP-MS [nM]::number","pore water chemistry; sample::U concentration: ICP-MS [nM]::number","pore water chemistry; sample::registerer","pore water chemistry; sample::registration time-stamp","pore water chemistry::pmH: pH electrode, attached to titrator::number","pore water chemistry::alkalinity: titrator [mM]::number","pore water chemistry::registerer","pore water chemistry::registration time-stamp"
"C0006E-30X-3, 19.0 cm",,223.206,223.345,223.206,223.345,"C0006E-30X-3, 19.0 cm",,223.206,223.345,223.206,223.345,,,,,,,,,,1.33893,32.72222,555.6664,21.89804,182.7914,4878,458.0884,20.07106,660.6064,3.95,0.6604455,0.6162112,554.67,7.07457,9.031691,,5.497203,1.034134,260.5991,0.9962886,1.044269,85.69464,124.4231,5.39563,12.73449,0,1.24688,miyabes,2008-02-04T22:16:23Z,,,,
"C0006E-31X-3, 0.0 cm",,232.320,232.320,232.320,232.320,"C0006E-31X-3, 36.5 cm",,232.685,232.685,232.685,232.685,"C0006E-31X-3 WR, 0.0--36.5 cm",KCC000000000002804600,IWIC,,4.0,arakaway,,KCC,2010-07-05T07:47:08Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.64,7.732,kames,2010-07-06T02:27:02Z
"C0006E-31X-3, 18.3 cm",,232.503,232.503,232.503,232.503,"C0006E-31X-3, 18.3 cm",,232.503,232.503,232.503,232.503,,,,,,,,,,1.33896,32.88889,563.9211,22.22517,194.403,4793.251,460.0042,20.72777,614.7732,3.95,2.379711,2.646538,562.9502,7.317951,9.023825,,4.804252,0.2102763,109.3029,0.9709029,0.9689503,84.65688,604.2656,5.292356,12.3496,0.1302073,1.276096,miyabes,2008-02-04T22:16:24Z,,,,
"C0006E-32X-4, 0.0 cm",,243.210,243.210,243.210,243.210,"C0006E-32X-4, 38.0 cm",,243.590,243.590,243.590,243.590,"C0006E-32X-4 WR, 0.0--38.0 cm",KCC000000000002804700,IWIC,,4.0,arakaway,,KCC,2010-07-05T07:47:08Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.62,10.122,kames,2010-07-06T02:27:02Z
"C0006E-32X-4, 19.0 cm",,243.400,243.400,243.400,243.400,"C0006E-32X-4, 19.0 cm",,243.400,243.400,243.400,243.400,,,,,,,,,,1.33889,32.5,559.7537,22.17042,218.7108,4700.029,462.8192,19.41096,741.1392,2.61,0,0,558.7657,6.884105,8.792986,,4.460121,0.4479049,1928.168,0.9880554,0.8973442,84.98312,191.0065,4.633665,12.31031,0.2443909,1.420333,miyabes,2008-02-04T22:16:25Z,,,,
"C0006E-34X-5, 0.0 cm",,263.615,263.615,263.615,263.615,"C0006E-34X-5, 38.0 cm",,263.995,263.995,263.995,263.995,"C0006E-34X-5 WR, 0.0--38.0 cm",KCC000000000002804800,IWIC,,4.0,arakaway,,KCC,2010-07-05T07:47:08Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.5,9.633,kames,2010-07-06T02:34:35Z
"C0006E-34X-5, 19.0 cm",,263.805,263.805,263.805,263.805,"C0006E-34X-5, 19.0 cm",,263.805,263.805,263.805,263.805,,,,,,,,,,1.33896,32.88889,557.8601,25.55488,185.041,4606.806,468.8421,20.79715,572.1159,2.61,3.539455,3.459687,556.8961,6.960137,9.813928,3.215054,5.628328,7.140632,989.1169,0.9640419,0.9772788,89.48194,114.4848,5.863376,13.00356,6.329898,0.4831394,miyabes,2008-02-04T22:16:25Z,,,,
"C0006E-35X-2, 0.0 cm",,268.690,268.690,268.690,268.690,"C0006E-35X-2, 36.5 cm",,269.055,269.055,269.055,269.055,"C0006E-35X-2 WR, 0.0--36.5 cm",KCC000000000002804900,IWIC,,4.0,arakaway,,KCC,2010-07-05T07:47:08Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.57,9.606,kames,2010-07-06T02:34:35Z
"C0006E-35X-2, 18.3 cm",,268.873,268.873,268.873,268.873,"C0006E-35X-2, 18.3 cm",,268.873,268.873,268.873,268.873,,,,,,,,,,1.33896,32.88889,558.1879,19.15514,171.2508,4716.978,462.6296,20.85531,504.9115,2.61,3.104909,3.36547,557.2204,6.697165,10.14703,6.062731,7.455728,2.321374,1264.988,0.9674724,0.9094538,87.49191,317.9231,4.765846,12.72078,5.587404,0.8577907,miyabes,2008-02-04T22:16:26Z,,,,
"C0006E-36X-4, 0.0 cm",,281.393,281.555,281.393,281.555,"C0006E-36X-4, 36.5 cm",,281.744,281.920,281.744,281.920,"C0006E-36X-4 WR, 0.0--36.5 cm",KCC000000000002805000,IWIC,,4.0,arakaway,,KCC,2010-07-05T07:47:09Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.68,9.427,kames,2010-07-06T02:34:35Z
"C0006E-36X-4, 18.3 cm",,281.569,281.738,281.569,281.738,"C0006E-36X-4, 18.3 cm",,281.569,281.738,281.569,281.738,,,,,,,,,,1.33887,32.38889,543.9314,19.69616,214.6247,4462.734,454.9718,18.96146,707.3972,2.61,1.883251,2.183094,542.9832,6.707021,9.68935,4.23241,6.111077,2.759553,322.2392,0.9482617,0.95999,81.30387,112.8108,5.358794,12.4839,4.882242,0.42738,miyabes,2008-02-04T22:16:26Z,,,,
"C0006E-37X-5, 0.0 cm",,292.115,292.115,292.115,292.115,"C0006E-37X-5, 37.5 cm",,292.490,292.490,292.490,292.490,"C0006E-37X-5 WR, 0.0--37.5 cm",KCC000000000002805100,IWIC,,4.0,arakaway,,KCC,2010-07-05T07:47:09Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.99,9.825,kames,2010-07-06T02:34:35Z
"C0006E-37X-5, 18.8 cm",,292.303,292.303,292.303,292.303,"C0006E-37X-5, 18.8 cm",,292.303,292.303,292.303,292.303,,,,,,,,,,1.33881,32.05556,534.7715,21.3669,180.4262,4496.633,461.0652,17.46101,632.7369,1.27,0.7991791,0.912442,533.8164,6.856868,9.451262,7.738017,4.191208,0.751956,412.4039,0.9551227,0.9880171,85.72343,273.7641,5.870283,12.92997,4.861988,2.776098,miyabes,2008-02-04T22:16:27Z,,,,
"C0006E-38X-2, 10.5 cm",,296.800,296.800,296.800,296.800,"C0006E-38X-2, 10.5 cm",,296.800,296.800,296.800,296.800,,,,,,,,,,1.33888,32.44444,553.3397,22.34605,204.0242,4488.159,450.8878,17.97193,716.8343,1.27,1.699228,1.813866,552.3818,6.925991,9.629497,6.409341,4.433177,0.6420513,310.2328,0.9578671,0.9873924,85.04499,218.4668,6.225456,12.55821,3.895114,1.259709,miyabes,2008-02-04T22:16:27Z,,,,
"C0006E-39X-4, 0.0 cm",,309.490,309.685,309.490,309.685,"C0006E-39X-4, 38.0 cm",,309.851,310.065,309.851,310.065,"C0006E-39X-4 WR, 0.0--38.0 cm",KCC000000000002805200,IWIC,,4.0,arakaway,,KCC,2010-07-05T07:47:09Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.75,8.186,kames,2010-07-06T02:34:35Z
"C0006E-39X-4, 19.0 cm",,309.671,309.875,309.671,309.875,"C0006E-39X-4, 19.0 cm",,309.671,309.875,309.671,309.875,,,,,,,,,,1.33891,32.61111,550.1804,27.94,195.8281,4564.432,453.7642,19.14155,595.9178,3.95,2.484621,4.094588,549.2342,7.03024,9.798548,20.54337,4.624784,2.059245,741.4012,0.9462034,1.215179,87.97482,421.5988,6.990732,13.20266,0,1.661883,miyabes,2008-02-04T22:16:28Z,,,,
"C0006E-40X-7, 0.0 cm",,322.010,322.010,322.010,322.010,"C0006E-40X-7, 40.0 cm",,322.410,322.410,322.410,322.410,"C0006E-40X-7 WR, 0.0--40.0 cm",KCC000000000002805300,IWIC,,4.0,arakaway,,KCC,2010-07-05T07:47:09Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.78,9.261,kames,2010-07-06T02:34:35Z
"C0006E-40X-7, 20.0 cm",,322.210,322.210,322.210,322.210,"C0006E-40X-7, 20.0 cm",,322.210,322.210,322.210,322.210,,,,,,,,,,1.3389,32.55556,550.5282,23.81974,194.0481,4013.57,447.0804,17.48662,773.8938,2.61,0.9356197,1.989568,549.5717,6.147781,9.692411,14.51201,5.481674,0.4787621,1993.307,0.9564949,0.889468,90.57574,79.32708,4.620974,12.77063,4.485404,0.8604034,miyabes,2008-02-04T22:16:30Z,,,,
"C0006E-41X-4, 0.0 cm",,328.825,328.825,328.825,328.825,"C0006E-41X-4, 38.5 cm",,329.210,329.210,329.210,329.210,"C0006E-41X-4 WR, 0.0--38.5 cm",KCC000000000002805400,IWIC,,4.0,arakaway,,KCC,2010-07-05T07:47:09Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.87,9.333,kames,2010-07-06T02:34:35Z
"C0006E-41X-4, 19.2 cm",,329.017,329.017,329.017,329.017,"C0006E-41X-4, 19.2 cm",,329.017,329.017,329.017,329.017,,,,,,,,,,1.33882,32.11111,551.8694,26.18834,141.0509,3818.65,456.8113,17.67934,762.5172,2.61,0,0,550.9232,6.463258,9.955348,8.190527,4.420557,2.089096,987.2631,0.9462034,0.8979727,91.73735,113.3485,4.530324,12.5942,2.86355,1.363707,miyabes,2008-02-04T22:16:30Z,,,,
"C0006E-42X-5, 0.0 cm",,339.344,339.575,339.344,339.575,"C0006E-42X-5, 41.5 cm",,339.741,339.990,339.741,339.990,"C0006E-42X-5 WR, 0.0--41.5 cm",KCC000000000002805500,IWIC,,4.0,arakaway,,KCC,2010-07-05T07:47:09Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.6,8.092,kames,2010-07-06T02:34:36Z
"C0006E-42X-5, 20.7 cm",,339.542,339.782,339.542,339.782,"C0006E-42X-5, 20.7 cm",,339.542,339.782,339.542,339.782,,,,,,,,,,1.3389,32.55556,551.9985,25.63358,189.2607,4183.066,448.3841,19.12657,656.949,0,3.574425,3.939258,551.0695,6.713382,10.46196,6.965462,6.120897,11.99794,564.2513,0.9290509,0.9895822,94.89757,744.2978,5.756038,13.05951,2.367542,0.6938327,miyabes,2008-02-04T22:16:31Z,,,,
"C0006E-43X-5, 0.0 cm",,349.110,349.110,349.110,349.110,"C0006E-43X-5, 38.0 cm",,349.490,349.490,349.490,349.490,"C0006E-43X-5 WR, 0.0--38.0 cm",KCC000000000002805600,IWIC,,4.0,arakaway,,KCC,2010-07-05T07:47:09Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.67,8.116,kames,2010-07-06T02:34:36Z
"C0006E-43X-5, 19.0 cm",,349.300,349.300,349.300,349.300,"C0006E-43X-5, 19.0 cm",,349.300,349.300,349.300,349.300,,,,,,,,,,1.33886,32.33333,550.9256,31.54661,152.9881,3928.822,446.9175,18.1233,417.4633,1.27,2.087338,2.114341,549.9719,6.935083,10.71189,5.42739,6.093186,3.183825,485.7857,0.9537505,1.082054,96.80991,1024.943,6.180507,13.1886,2.829222,1.119338,miyabes,2008-02-04T22:16:31Z,,,,
"C0006E-44X-5, 0.0 cm",,358.715,358.990,358.715,358.990,"C0006E-44X-5, 38.0 cm",,359.077,359.370,359.077,359.370,"C0006E-44X-5 WR, 0.0--38.0 cm",KCC000000000002805700,IWIC,,4.0,arakaway,,KCC,2010-07-05T07:47:09Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.7,8.041,kames,2010-07-06T02:34:36Z
"C0006E-44X-5, 19.0 cm",,358.896,359.180,358.896,359.180,"C0006E-44X-5, 19.0 cm",,358.896,359.180,358.896,359.180,,,,,,,,,,1.33885,32.27778,547.5278,29.19628,200.9118,3716.952,453.597,17.86285,635.2567,0,3.27288,3.552206,546.6022,6.890813,10.78008,6.709742,6.971538,0.7517157,130.0654,0.9256204,1.077074,101.0901,944.7205,6.051444,13.91108,1.146043,1.704981,miyabes,2008-02-04T22:16:32Z,,,,
"C0006E-45X-4, 0.0 cm",,366.485,366.660,366.485,366.660,"C0006E-45X-4, 39.0 cm",,366.857,367.050,366.857,367.050,"C0006E-45X-4 WR, 0.0--39.0 cm",KCC000000000002805800,IWIC,,4.0,arakaway,,KCC,2010-07-05T07:47:09Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.52,7.803,kames,2010-07-06T02:34:36Z
"C0006E-45X-4, 19.5 cm",,366.671,366.855,366.671,366.855,"C0006E-45X-4, 19.5 cm",,366.671,366.855,366.671,366.855,,,,,,,,,,1.33883,32.16667,549.5904,30.95368,169.883,3426.768,444.4312,16.87532,715.3785,1.31,1.322031,0,548.6301,6.634139,10.77536,3.400327,6.677242,0.782705,2604.427,0.9602674,1.093681,102.2751,351.5784,5.497855,15.39592,1.242679,1.119792,miyabes,2008-02-04T22:16:33Z,,,,
"C0006E-46X-5, 0.0 cm",,377.600,377.600,377.600,377.600,"C0006E-46X-5, 39.0 cm",,377.990,377.990,377.990,377.990,"C0006E-46X-5 WR, 0.0--39.0 cm",KCC000000000002805900,IWIC,,4.0,arakaway,,KCC,2010-07-05T07:47:09Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.2,6.258,kames,2010-07-06T02:34:36Z
"C0006E-46X-5, 19.5 cm",,377.795,377.795,377.795,377.795,"C0006E-46X-5, 19.5 cm",,377.795,377.795,377.795,377.795,,,,,,,,,,1.33882,32.11111,543.1981,29.77029,147.0487,3594.591,447.2461,15.10329,384.7653,2.62,0.9181472,0,542.2428,6.823607,10.11219,11.93554,3.388998,0.5919271,646.9432,0.9553035,1.088699,104.5804,536.7703,5.862311,19.0253,1.367237,2.735865,miyabes,2008-02-04T22:16:33Z,,,,
"C0006E-47X-5, 0.0 cm",,386.518,386.720,386.518,386.720,"C0006E-47X-5, 38.0 cm",,386.882,387.100,386.882,387.100,"C0006E-47X-5 WR, 0.0--38.0 cm",KCC000000000002806000,IWIC,,4.0,arakaway,,KCC,2010-07-05T07:47:09Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.85,7.076,kames,2010-07-06T02:43:37Z
"C0006E-47X-5, 19.0 cm",,386.700,386.910,386.700,386.910,"C0006E-47X-5, 19.0 cm",,386.700,386.910,386.700,386.910,,,,,,,,,,1.33889,32.5,548.8548,34.26929,161.7147,3223.614,449.4952,18.70935,573.2319,1.31,3.013033,0,547.6563,6.814873,11.46305,4.155519,6.886585,0.6048342,627.6031,1.198534,1.025881,116.8177,269.0029,5.793265,24.25347,0.7477484,0.8084173,miyabes,2008-02-04T22:16:34Z,,,,
"C0006E-48X-5, 0.0 cm",,396.711,396.980,396.711,396.980,"C0006E-48X-5, 42.0 cm",,397.111,397.400,397.111,397.400,"C0006E-48X-5 WR, 0.0--42.0 cm",KCC000000000002806100,IWIC,,4.0,arakaway,,KCC,2010-07-05T07:47:09Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.23,5.684,kames,2010-07-06T02:43:38Z
"C0006E-48X-5, 21.0 cm",,396.911,397.190,396.911,397.190,"C0006E-48X-5, 21.0 cm",,396.911,397.190,396.911,397.190,,,,,,,,,,1.3388,32,542.4227,38.4586,153.1149,3152.952,455.438,16.44797,442.6399,1.31,4.291824,0.7637122,541.4922,6.704643,10.56285,7.595819,5.40416,0.515205,237.2958,0.9304841,1.068458,113.6195,1061.036,5.761304,34.74978,0.6073489,1.777198,miyabes,2008-02-04T22:16:34Z,,,,
"C0006E-49X-4, 0.0 cm",,404.680,404.680,404.680,404.680,"C0006E-49X-4, 41.0 cm",,405.090,405.090,405.090,405.090,"C0006E-49X-4 WR, 0.0--41.0 cm",KCC000000000002806200,IWIC,,4.0,arakaway,,KCC,2010-07-05T07:47:09Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.37,6.372,kames,2010-07-06T02:43:38Z
"C0006E-49X-4, 20.5 cm",,404.885,404.885,404.885,404.885,"C0006E-49X-4, 20.5 cm",,404.885,404.885,404.885,404.885,,,,,,,,,,1.33877,31.83333,543.8443,54.6383,168.7176,2985.129,492.3463,14.89305,328.2125,,2.760085,0,542.9076,7.529044,11.05767,8.899444,5.489353,0.4318784,1131.973,0.936689,1.111995,115.5672,797.4322,6.121209,25.73283,0.6005517,5.681083,miyabes,2008-02-04T22:16:35Z,,,,
