leg,site,hole,core,section,sample_depth,grain_density,porosity,method
315,C0001,F,NULL,NULL,167.1705,2.735786,0.5749029,NULL
315,C0001,F,NULL,NULL,167.6175,2.772607,0.5780701,NULL
315,C0001,F,NULL,NULL,167.8525,2.754175,0.4954475,NULL
315,C0001,F,NULL,NULL,168.5435,2.69645,0.589838,NULL
315,C0001,F,NULL,NULL,169.2345,2.678393,0.5766825,NULL
315,C0001,F,NULL,NULL,169.9255,2.758506,0.5922864,NULL
315,C0001,F,NULL,NULL,170.9845,2.715406,0.5779352,NULL
315,C0001,F,NULL,NULL,171.2065,2.634664,0.6306885,NULL
315,C0001,F,NULL,NULL,171.899,2.583365,0.5035998,NULL
315,C0001,F,NULL,NULL,172.188,2.765952,0.5683388,NULL
315,C0001,F,NULL,NULL,172.5085,2.722022,0.5540887,NULL
315,C0001,F,NULL,NULL,172.8895,2.774861,0.5537912,NULL
315,C0001,F,NULL,NULL,173.2015,2.662048,0.5575507,NULL
315,C0001,F,NULL,NULL,173.8295,2.683545,0.580929,NULL
315,C0001,F,NULL,NULL,174.5035,2.823565,0.5804966,NULL
315,C0001,F,NULL,NULL,175.1225,2.732489,0.528219,NULL
315,C0001,F,NULL,NULL,175.815,2.792594,0.5657392,NULL
315,C0001,F,NULL,NULL,176.54,2.630463,0.5103164,NULL
315,C0001,F,NULL,NULL,176.782,2.729385,0.5744003,NULL
315,C0001,F,NULL,NULL,177.2325,2.699187,0.5437725,NULL
315,C0001,F,NULL,NULL,177.8655,2.784909,0.5596608,NULL
315,C0001,F,NULL,NULL,178.558,2.727217,0.5165948,NULL
315,C0001,F,NULL,NULL,179.1765,2.714596,0.5652696,NULL
315,C0001,F,NULL,NULL,179.9615,2.795716,0.658757,NULL
315,C0001,F,NULL,NULL,179.9615,2.728085,0.5247,NULL
315,C0001,F,NULL,NULL,180.6385,2.733944,0.5054728,NULL
315,C0001,F,NULL,NULL,180.8125,2.743783,0.5220135,NULL
315,C0001,F,NULL,NULL,181.2435,2.662715,0.4474756,NULL
315,C0001,F,NULL,NULL,181.9205,2.606214,0.5612338,NULL
315,C0001,F,NULL,NULL,182.6345,2.752729,0.5720863,NULL
315,C0001,F,NULL,NULL,183.1285,2.805622,0.5719591,NULL
315,C0001,F,NULL,NULL,183.4925,2.687301,0.5163078,NULL
