Top Core Depth [],Top Drilling depth below sea floor [m DSF],Top Mud depth below sea floor [m MSF],"Top Depth DSF, MSF, WSF and CSF-B [m, CMP]",Top Core depth (below sea floor) [m CSF-A],Top Core depth (below sea floor) [m CSF-B],"Top Depth DSF, MSF, WSF and CSF-A [m]",Bottom Core Depth [],Bottom Drilling depth below sea floor [m DSF],Bottom Mud depth below sea floor [m MSF],"Bottom Depth DSF, MSF, WSF and CSF-B [m, CMP]",Bottom Core depth (below sea floor) [m CSF-A],Bottom Core depth (below sea floor) [m CSF-B],"Bottom Depth DSF, MSF, WSF and CSF-A [m]",Sample source,J-CORES sample ID,Sample code,Sample request,Sample volume (cm3),Sample entered by,Sample comment,Sample repository,Sample time-stamp,"bulk CNS analysis; sample, section::inorganic carbon content: carbonate analyzer [wt%]::number","bulk CNS analysis; sample, section::CaCO3 content: from inorganic carbon content [wt%]::number","bulk CNS analysis; sample, section::registerer","bulk CNS analysis; sample, section::registration time-stamp","bulk CNS analysis::nitrogen content: EA, bulk [wt%]::number","bulk CNS analysis::total carbon content: EA, bulk [wt%]::number","bulk CNS analysis::sulfur content: EA, bulk [wt%]::number","bulk CNS analysis::measurement date-time: EA, bulk::text",bulk CNS analysis::registerer,bulk CNS analysis::registration time-stamp,Rock Eval; sample::HI: HC/TOC [permil]::number,Rock Eval; sample::MinC [wt%]::number,Rock Eval; sample::OI: CO2/TOC [permil]::number,Rock Eval; sample::OICO: CO/TOC [permil]::number,Rock Eval; sample::oxiMinC [wt%]::number,Rock Eval; sample::PC [wt%]::number,Rock Eval; sample::PI::number,Rock Eval; sample::pyroMinC [wt%]::number,Rock Eval; sample::RC [wt%]::number,Rock Eval; sample::RCCO [wt%]::number,Rock Eval; sample::RCCO2 [wt%]::number,Rock Eval; sample::S1 [permil]::number,Rock Eval; sample::S2 [permil]::number,Rock Eval; sample::S3 [permil]::number,Rock Eval; sample::S4CO2 [permil]::number,Rock Eval; sample::S3' [permil]::number,Rock Eval; sample::S3CO [permil]::number,Rock Eval; sample::S4CO [permil]::number,Rock Eval; sample::S3'CO [permil]::number,Rock Eval; sample::Tmax [degree C]::number,Rock Eval; sample::TOC [wt%]::number,Rock Eval; sample::TpkS2 [degree C]::number,Rock Eval; sample::registerer,Rock Eval; sample::registration time-stamp
"C0011B-19R-5, 32.0 cm",NULL,NULL,494.604,494.72,494.604,494.72,"C0011B-19R-5, 34.0 cm",NULL,NULL,494.623,494.74,494.623,494.74,"C0011B-19R-5 WR, 32.0--34.0 cm",CKY000000000000175910,CARB,NULL,10,brandon322,NULL,CKY,2009-09-13T09:37:11Z,NULL,NULL,NULL,NULL,0.06983,0.30665,0.05151,9/16/2009,kuriharar,2009-10-02T01:37:57Z,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"C0011B-19R-5, 33.0 cm",NULL,NULL,494.614,494.73,494.614,494.73,"C0011B-19R-5, 33.0 cm",NULL,NULL,494.614,494.73,494.614,494.73,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0.0386,0.3217,miyabes,2009-10-02T10:35:35Z,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"C0011B-19R-5, 133.0 cm",NULL,NULL,495.583,495.73,495.583,495.73,"C0011B-19R-5, 135.0 cm",NULL,NULL,495.603,495.75,495.603,495.75,"C0011B-19R-5 W, 133.0--135.0 cm",CKY000000000000182210,CARB,NULL,2,shun322,NULL,CKY,2009-09-13T15:46:02Z,NULL,NULL,NULL,NULL,0.03987,4.36868,0.03221,9/29/2009,kuriharar,2009-10-02T01:37:57Z,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"C0011B-19R-5, 134.0 cm",NULL,NULL,495.593,495.74,495.593,495.74,"C0011B-19R-5, 134.0 cm",NULL,NULL,495.593,495.74,495.593,495.74,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,4.0144,33.452,miyabes,2009-10-02T10:35:35Z,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"C0011B-19R-6, 19.0 cm",NULL,NULL,495.797,495.95,495.797,495.95,"C0011B-19R-6, 21.0 cm",NULL,NULL,495.816,495.97,495.816,495.97,"C0011B-19R-6 WR, 19.0--21.0 cm",CKY000000000000176810,CARB,NULL,10,brandon322,NULL,CKY,2009-09-13T11:18:27Z,NULL,NULL,NULL,NULL,0.07088,0.34338,0.09603,9/16/2009,kuriharar,2009-10-02T01:37:57Z,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"C0011B-19R-6, 20.0 cm",NULL,NULL,495.806,495.96,495.806,495.96,"C0011B-19R-6, 20.0 cm",NULL,NULL,495.806,495.96,495.806,495.96,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0.0533,0.4441,miyabes,2009-10-02T10:35:35Z,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"C0011B-20R-1, 15.0 cm",NULL,NULL,498.55,498.55,498.55,498.55,"C0011B-20R-1, 17.0 cm",NULL,NULL,498.57,498.57,498.57,498.57,"C0011B-20R-1 W, 15.0--17.0 cm",CKY000000000000184810,CARB,NULL,3,hirokuni322,NULL,CKY,2009-09-13T16:19:36Z,NULL,NULL,NULL,NULL,0.02515,7.67909,0.00723,9/21/2009,kuriharar,2009-10-02T01:37:57Z,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"C0011B-20R-1, 16.0 cm",NULL,NULL,498.56,498.56,498.56,498.56,"C0011B-20R-1, 16.0 cm",NULL,NULL,498.56,498.56,498.56,498.56,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,7.4037,61.695,miyabes,2009-10-02T10:35:35Z,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"C0011B-21R-2, 0.0 cm",NULL,NULL,501.65,501.65,501.65,501.65,"C0011B-21R-2, 2.0 cm",NULL,NULL,501.67,501.67,501.67,501.67,"C0011B-21R-2 WR, 0.0--2.0 cm",CKY000000000000179710,CARB,NULL,3,fujikit,share with RE,CKY,2009-09-13T14:38:08Z,NULL,NULL,NULL,NULL,0.09883,0.3093,0.0577,9/21/2009,kuriharar,2009-10-02T01:37:57Z,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"C0011B-21R-2, 1.0 cm",NULL,NULL,501.66,501.66,501.66,501.66,"C0011B-21R-2, 1.0 cm",NULL,NULL,501.66,501.66,501.66,501.66,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0.0345,0.2875,miyabes,2009-10-02T10:35:35Z,NULL,NULL,NULL,NULL,NULL,NULL,21,0.02,289,21,0.01,0.02,0.01,0.02,0.17,0.02,0.15,0,0.04,0.55,5.5,0.6,0.04,0.49,0.1,425,0.19,464,miyabes,2009-10-08T12:54:16Z
"C0011B-21R-4, 106.0 cm",NULL,NULL,504.73,504.73,504.73,504.73,"C0011B-21R-4, 108.0 cm",NULL,NULL,504.75,504.75,504.75,504.75,"C0011B-21R-4 WR, 106.0--108.0 cm",CKY000000000000188510,CARB,NULL,10,fujikit,share with RE,CKY,2009-09-13T19:40:11Z,NULL,NULL,NULL,NULL,0.09356,0.29835,0.10315,9/21/2009,kuriharar,2009-10-02T01:37:57Z,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"C0011B-21R-4, 107.0 cm",NULL,NULL,504.74,504.74,504.74,504.74,"C0011B-21R-4, 107.0 cm",NULL,NULL,504.74,504.74,504.74,504.74,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0.033,0.275,miyabes,2009-10-02T10:35:35Z,NULL,NULL,NULL,NULL,NULL,NULL,36,0.03,236,4,0.01,0.03,0.01,0.02,0.22,0.02,0.2,0,0.09,0.59,7.23,0.7,0.01,0.44,0.1,406,0.25,445,miyabes,2009-10-08T12:54:16Z
"C0011B-21R-5, 130.0 cm",NULL,NULL,506.38,506.38,506.38,506.38,"C0011B-21R-5, 132.0 cm",NULL,NULL,506.4,506.4,506.4,506.4,"C0011B-21R-5 WR, 130.0--132.0 cm",CKY000000000000189610,CARB,NULL,10,matt322,NULL,CKY,2009-09-13T19:55:52Z,NULL,NULL,NULL,NULL,0.09221,0.36139,0.13597,9/21/2009,kuriharar,2009-10-02T01:37:57Z,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"C0011B-21R-5, 131.0 cm",NULL,NULL,506.39,506.39,506.39,506.39,"C0011B-21R-5, 131.0 cm",NULL,NULL,506.39,506.39,506.39,506.39,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0.0654,0.545,miyabes,2009-10-02T10:35:35Z,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"C0011B-23R-2, 0.0 cm",NULL,NULL,521.145,521.145,521.145,521.145,"C0011B-23R-2, 2.0 cm",NULL,NULL,521.165,521.165,521.165,521.165,"C0011B-23R-2 WR, 0.0--2.0 cm",CKY000000000000192410,CARB,NULL,3,fujikit,share with RE,CKY,2009-09-13T21:51:46Z,NULL,NULL,NULL,NULL,0.088,0.47039,0.29012,9/21/2009,kuriharar,2009-10-02T01:37:57Z,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"C0011B-23R-2, 1.0 cm",NULL,NULL,521.155,521.155,521.155,521.155,"C0011B-23R-2, 1.0 cm",NULL,NULL,521.155,521.155,521.155,521.155,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0.1097,0.9141,miyabes,2009-10-02T10:35:35Z,NULL,NULL,NULL,NULL,NULL,NULL,31,0.1,178,16,0.02,0.03,0.05,0.08,0.29,0.03,0.26,0,0.1,0.57,9.36,2.7,0.05,0.67,0.1,414,0.32,453,miyabes,2009-10-08T12:54:16Z
"C0011B-23R-3, 117.5 cm",NULL,NULL,522.77,522.77,522.77,522.77,"C0011B-23R-3, 119.5 cm",NULL,NULL,522.79,522.79,522.79,522.79,"C0011B-23R-3 WR, 117.5--119.5 cm",CKY000000000000196110,CARB,NULL,10,brandon322,NULL,CKY,2009-09-14T00:08:39Z,NULL,NULL,NULL,NULL,0.09185,0.38968,18.77674,9/21/2009,kuriharar,2009-10-02T01:37:57Z,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"C0011B-23R-3, 118.5 cm",NULL,NULL,522.78,522.78,522.78,522.78,"C0011B-23R-3, 118.5 cm",NULL,NULL,522.78,522.78,522.78,522.78,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0.0328,0.2733,miyabes,2009-10-02T10:35:35Z,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"C0011B-23R-4, 30.0 cm",NULL,NULL,523.3,523.3,523.3,523.3,"C0011B-23R-4, 32.0 cm",NULL,NULL,523.32,523.32,523.32,523.32,"C0011B-23R-4 WR, 30.0--32.0 cm",CKY000000000000196910,CARB,NULL,10,brandon322,NULL,CKY,2009-09-14T00:11:48Z,NULL,NULL,NULL,NULL,0.0907,0.41865,0.28356,9/21/2009,kuriharar,2009-10-02T01:37:57Z,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"C0011B-23R-4, 31.0 cm",NULL,NULL,523.31,523.31,523.31,523.31,"C0011B-23R-4, 31.0 cm",NULL,NULL,523.31,523.31,523.31,523.31,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0.1092,0.91,miyabes,2009-10-02T10:35:36Z,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"C0011B-23R-7, 106.0 cm",NULL,NULL,527.39,527.39,527.39,527.39,"C0011B-23R-7, 108.0 cm",NULL,NULL,527.41,527.41,527.41,527.41,"C0011B-23R-7 WR, 106.0--108.0 cm",CKY000000000000197710,CARB,NULL,10,brandon322,NULL,CKY,2009-09-14T00:14:51Z,NULL,NULL,NULL,NULL,0.08776,0.4029,0.15876,9/21/2009,kuriharar,2009-10-02T01:37:57Z,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"C0011B-23R-7, 107.0 cm",NULL,NULL,527.4,527.4,527.4,527.4,"C0011B-23R-7, 107.0 cm",NULL,NULL,527.4,527.4,527.4,527.4,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0.082,0.6833,miyabes,2009-10-02T10:35:36Z,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"C0011B-23R-8, 53.0 cm",NULL,NULL,528.265,528.265,528.265,528.265,"C0011B-23R-8, 55.0 cm",NULL,NULL,528.285,528.285,528.285,528.285,"C0011B-23R-8 WR, 53.0--55.0 cm",CKY000000000000198610,CARB,NULL,10,brandon322,NULL,CKY,2009-09-14T00:18:29Z,NULL,NULL,NULL,NULL,0.08664,0.38411,0.1184,9/21/2009,kuriharar,2009-10-02T01:37:57Z,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"C0011B-23R-8, 54.0 cm",NULL,NULL,528.275,528.275,528.275,528.275,"C0011B-23R-8, 54.0 cm",NULL,NULL,528.275,528.275,528.275,528.275,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0.0894,0.745,miyabes,2009-10-02T10:35:36Z,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"C0011B-24R-1, 0.0 cm",NULL,NULL,529.9,529.9,529.9,529.9,"C0011B-24R-1, 2.0 cm",NULL,NULL,529.92,529.92,529.92,529.92,"C0011B-24R-1 WR, 0.0--2.0 cm",CKY000000000000199710,CARB,NULL,3,brandon322,NULL,CKY,2009-09-14T00:25:46Z,NULL,NULL,NULL,NULL,0.08906,0.5403,0.17395,9/21/2009,kuriharar,2009-10-02T01:37:57Z,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"C0011B-24R-1, 1.0 cm",NULL,NULL,529.91,529.91,529.91,529.91,"C0011B-24R-1, 1.0 cm",NULL,NULL,529.91,529.91,529.91,529.91,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0.2291,1.9091,miyabes,2009-10-02T10:35:36Z,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"C0011B-24R-2, 17.0 cm",NULL,NULL,530.64,530.64,530.64,530.64,"C0011B-24R-2, 22.0 cm",NULL,NULL,530.69,530.69,530.69,530.69,"C0011B-24R-2 WR, 17.0--22.0 cm",CKY000000000000206010,CARB,NULL,10,fujikit,share with RE,CKY,2009-09-14T02:07:06Z,NULL,NULL,NULL,NULL,0.08975,0.80172,0.14674,9/21/2009,kuriharar,2009-10-02T01:37:57Z,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"C0011B-24R-2, 19.5 cm",NULL,NULL,530.665,530.665,530.665,530.665,"C0011B-24R-2, 19.5 cm",NULL,NULL,530.665,530.665,530.665,530.665,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0.4197,3.4974,miyabes,2009-10-02T10:35:36Z,NULL,NULL,NULL,NULL,NULL,NULL,37,0.29,283,14,0.04,0.05,0.07,0.26,0.3,0.03,0.27,0.01,0.13,0.99,9.91,9.3,0.05,0.65,0.2,416,0.35,455,miyabes,2009-10-08T12:54:17Z
"C0011B-25R-1, 30.0 cm",NULL,NULL,539.7,539.7,539.7,539.7,"C0011B-25R-1, 32.0 cm",NULL,NULL,539.72,539.72,539.72,539.72,"C0011B-25R-1 WR, 30.0--32.0 cm",CKY000000000000217410,CARB,NULL,2,fujikit,share with RE,CKY,2009-09-14T06:08:37Z,NULL,NULL,NULL,NULL,0.09186,0.76969,0.36488,9/21/2009,kuriharar,2009-10-02T01:37:57Z,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"C0011B-25R-1, 31.0 cm",NULL,NULL,539.71,539.71,539.71,539.71,"C0011B-25R-1, 31.0 cm",NULL,NULL,539.71,539.71,539.71,539.71,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0.2312,1.9266,miyabes,2009-10-02T10:35:36Z,NULL,NULL,NULL,NULL,NULL,NULL,37,0.18,212,10,0.03,0.04,0.01,0.15,0.37,0.06,0.31,0,0.15,0.87,11.28,5.3,0.04,1.33,0.2,419,0.41,458,miyabes,2009-10-08T12:54:17Z
"C0011B-25R-2, 50.0 cm",NULL,NULL,540.36,540.36,540.36,540.36,"C0011B-25R-2, 52.0 cm",NULL,NULL,540.38,540.38,540.38,540.38,"C0011B-25R-2 WR, 50.0--52.0 cm",CKY000000000000209610,CARB,NULL,3,fujikit,share with RE,CKY,2009-09-14T04:34:03Z,NULL,NULL,NULL,NULL,0.06057,0.37079,0.57583,9/21/2009,kuriharar,2009-10-02T01:37:57Z,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"C0011B-25R-2, 51.0 cm",NULL,NULL,540.37,540.37,540.37,540.37,"C0011B-25R-2, 51.0 cm",NULL,NULL,540.37,540.37,540.37,540.37,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0.0852,0.71,miyabes,2009-10-02T10:35:36Z,NULL,NULL,NULL,NULL,NULL,NULL,25,0.06,238,12,0,0.03,0.02,0.06,0.21,0.03,0.18,0,0.06,0.57,6.56,2.2,0.03,0.64,0.2,608,0.24,647,miyabes,2009-10-08T12:54:17Z
"C0011B-25R-3, 22.0 cm",NULL,NULL,540.71,540.71,540.71,540.71,"C0011B-25R-3, 24.0 cm",NULL,NULL,540.73,540.73,540.73,540.73,"C0011B-25R-3 WR, 22.0--24.0 cm",CKY000000000000218210,CARB,NULL,10,brandon322,NULL,CKY,2009-09-14T06:10:59Z,NULL,NULL,NULL,NULL,0.0864,0.35086,0.03756,9/21/2009,kuriharar,2009-10-02T01:37:57Z,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"C0011B-25R-3, 23.0 cm",NULL,NULL,540.72,540.72,540.72,540.72,"C0011B-25R-3, 23.0 cm",NULL,NULL,540.72,540.72,540.72,540.72,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0.044,0.3667,miyabes,2009-10-02T10:35:36Z,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"C0011B-26R-1, 112.0 cm",NULL,NULL,550.12,550.12,550.12,550.12,"C0011B-26R-1, 114.0 cm",NULL,NULL,550.14,550.14,550.14,550.14,"C0011B-26R-1 WR, 112.0--114.0 cm",CKY000000000000228210,CARB,NULL,8,fujikit,share with RE,CKY,2009-09-14T10:34:19Z,NULL,NULL,NULL,NULL,0.07885,0.83228,0.10367,9/21/2009,kuriharar,2009-10-02T01:37:58Z,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"C0011B-26R-1, 113.0 cm",NULL,NULL,550.13,550.13,550.13,550.13,"C0011B-26R-1, 113.0 cm",NULL,NULL,550.13,550.13,550.13,550.13,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0.5678,4.7315,miyabes,2009-10-02T10:35:36Z,NULL,NULL,NULL,NULL,NULL,NULL,22,0.36,322,7,0.1,0.03,0.02,0.26,0.24,0.02,0.22,0,0.06,0.87,7.91,9.5,0.02,0.41,0.1,426,0.27,465,miyabes,2009-10-08T12:54:17Z
"C0011B-26R-2, 67.0 cm",NULL,NULL,550.89,550.89,550.89,550.89,"C0011B-26R-2, 69.0 cm",NULL,NULL,550.91,550.91,550.91,550.91,"C0011B-26R-2 WR, 67.0--69.0 cm",CKY000000000000223610,CARB,NULL,3,fujikit,share with RE,CKY,2009-09-14T08:16:23Z,NULL,NULL,NULL,NULL,0.08515,0.40686,0.19582,9/21/2009,kuriharar,2009-10-02T01:37:58Z,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"C0011B-26R-2, 68.0 cm",NULL,NULL,550.9,550.9,550.9,550.9,"C0011B-26R-2, 68.0 cm",NULL,NULL,550.9,550.9,550.9,550.9,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0.1355,1.1291,miyabes,2009-10-02T10:35:36Z,NULL,NULL,NULL,NULL,NULL,NULL,27,0.08,393,20,0,0.02,0.01,0.08,0.13,0.01,0.12,0,0.04,0.59,4.22,2.8,0.03,0.24,0.1,423,0.15,462,miyabes,2009-10-08T12:54:17Z
"C0011B-26R-3, 25.0 cm",NULL,NULL,551.27,551.27,551.27,551.27,"C0011B-26R-3, 27.0 cm",NULL,NULL,551.29,551.29,551.29,551.29,"C0011B-26R-3 WR, 25.0--27.0 cm",CKY000000000000229110,CARB,NULL,8,brandon322,NULL,CKY,2009-09-14T10:37:19Z,NULL,NULL,NULL,NULL,0.07998,0.57459,0.05772,9/21/2009,kuriharar,2009-10-02T01:37:58Z,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"C0011B-26R-3, 26.0 cm",NULL,NULL,551.28,551.28,551.28,551.28,"C0011B-26R-3, 26.0 cm",NULL,NULL,551.28,551.28,551.28,551.28,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0.3202,2.6682,miyabes,2009-10-02T10:35:36Z,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"C0011B-26R-5, 104.0 cm",NULL,NULL,554.715,554.715,554.715,554.715,"C0011B-26R-5, 106.0 cm",NULL,NULL,554.735,554.735,554.735,554.735,"C0011B-26R-5 WR, 104.0--106.0 cm",CKY000000000000229910,CARB,NULL,8,brandon322,NULL,CKY,2009-09-14T10:40:02Z,NULL,NULL,NULL,NULL,0.07774,0.35219,0.03315,9/21/2009,kuriharar,2009-10-02T01:37:58Z,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"C0011B-26R-5, 105.0 cm",NULL,NULL,554.725,554.725,554.725,554.725,"C0011B-26R-5, 105.0 cm",NULL,NULL,554.725,554.725,554.725,554.725,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0.1229,1.0241,miyabes,2009-10-02T10:35:36Z,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"C0011B-26R-6, 5.0 cm",NULL,NULL,555.135,555.135,555.135,555.135,"C0011B-26R-6, 7.0 cm",NULL,NULL,555.155,555.155,555.155,555.155,"C0011B-26R-6 W, 5.0--7.0 cm",CKY000000000000243010,CARB,NULL,3,rachel322,NULL,CKY,2009-09-14T16:52:42Z,NULL,NULL,NULL,NULL,0.0396,0.14431,0.14173,9/21/2009,kuriharar,2009-10-02T01:37:58Z,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
