Top Core Depth [],Top Drilling depth below sea floor [m DSF],"Top Depth DSF, MSF, WSF and CSF-B [m, CMP]",Top Core depth (below sea floor) [m CSF-A],Top Core depth (below sea floor) [m CSF-B],"Top Depth DSF, MSF, WSF and CSF-A [m]",Bottom Core Depth [],Bottom Drilling depth below sea floor [m DSF],"Bottom Depth DSF, MSF, WSF and CSF-B [m, CMP]",Bottom Core depth (below sea floor) [m CSF-A],Bottom Core depth (below sea floor) [m CSF-B],"Bottom Depth DSF, MSF, WSF and CSF-A [m]",Sample source,J-CORES sample ID,Sample code,Sample request,Sample volume (cm3),Sample entered by,Sample comment,Sample repository,Sample time-stamp,"bulk CNS analysis; sample, section::inorganic carbon content: carbonate analyzer [wt%]::number","bulk CNS analysis; sample, section::CaCO3 content: from inorganic carbon content [wt%]::number","bulk CNS analysis; sample, section::registerer","bulk CNS analysis; sample, section::registration time-stamp","bulk CNS analysis::nitrogen content: EA, bulk [wt%]::number","bulk CNS analysis::total carbon content: EA, bulk [wt%]::number","bulk CNS analysis::sulfur content: EA, bulk [wt%]::number","bulk CNS analysis::measurement date-time: EA, bulk::text",bulk CNS analysis::registerer,bulk CNS analysis::registration time-stamp,Rock Eval; sample::HI: HC/TOC [permil]::number,Rock Eval; sample::MinC [wt%]::number,Rock Eval; sample::OI: CO2/TOC [permil]::number,Rock Eval; sample::OICO: CO/TOC [permil]::number,Rock Eval; sample::oxiMinC [wt%]::number,Rock Eval; sample::PC [wt%]::number,Rock Eval; sample::PI::number,Rock Eval; sample::pyroMinC [wt%]::number,Rock Eval; sample::RC [wt%]::number,Rock Eval; sample::RCCO [wt%]::number,Rock Eval; sample::RCCO2 [wt%]::number,Rock Eval; sample::S1 [permil]::number,Rock Eval; sample::S2 [permil]::number,Rock Eval; sample::S3 [permil]::number,Rock Eval; sample::S4CO2 [permil]::number,Rock Eval; sample::S3' [permil]::number,Rock Eval; sample::S3CO [permil]::number,Rock Eval; sample::S4CO [permil]::number,Rock Eval; sample::S3'CO [permil]::number,Rock Eval; sample::Tmax [degree C]::number,Rock Eval; sample::TOC [wt%]::number,Rock Eval; sample::TpkS2 [degree C]::number,Rock Eval; sample::registerer,Rock Eval; sample::registration time-stamp
"C0012A-41R-4, 39.0 cm",NULL,426.895,426.895,426.895,426.895,"C0012A-41R-4, 39.0 cm",NULL,426.895,426.895,426.895,426.895,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0.008898028,0.074147266,miyabes,2009-10-08T11:29:47Z,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"C0012A-41R-CC, 12.0 cm",NULL,429.745,429.745,429.745,429.745,"C0012A-41R-CC, 14.0 cm",NULL,429.765,429.765,429.765,429.765,"C0012A-41R-CC W, 12.0--14.0 cm",CKY000000000000876610,CARB,NULL,3,hajime322,NULL,CKY,2009-09-30T22:31:15Z,NULL,NULL,NULL,NULL,0.01452,7.696,0,10/6/2009,miyabes,2009-10-08T10:49:51Z,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"C0012A-41R-CC, 13.0 cm",NULL,429.755,429.755,429.755,429.755,"C0012A-41R-CC, 13.0 cm",NULL,429.755,429.755,429.755,429.755,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,7.631043979,63.58948948,miyabes,2009-10-08T11:29:47Z,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"C0012A-42R-2, 29.0 cm",NULL,434.235,434.235,434.235,434.235,"C0012A-42R-2, 31.0 cm",NULL,434.255,434.255,434.255,434.255,"C0012A-42R-2 WR, 29.0--31.0 cm",CKY000000000000859710,CARB,NULL,3,katerina322,NULL,CKY,2009-09-30T17:01:29Z,NULL,NULL,NULL,NULL,0.03204,0.23945,4.04128,10/6/2009,miyabes,2009-10-08T10:49:50Z,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"C0012A-42R-2, 30.0 cm",NULL,434.245,434.245,434.245,434.245,"C0012A-42R-2, 30.0 cm",NULL,434.245,434.245,434.245,434.245,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0.019187342,0.159888122,miyabes,2009-10-08T11:29:47Z,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"C0012A-42R-3, 18.0 cm",NULL,434.84,434.84,434.84,434.84,"C0012A-42R-3, 20.0 cm",NULL,434.86,434.86,434.86,434.86,"C0012A-42R-3 WR, 18.0--20.0 cm",CKY000000000000863610,CARB,NULL,10,christine322,NULL,CKY,2009-09-30T19:09:28Z,NULL,NULL,NULL,NULL,0.03896,0.20942,0.57371,10/6/2009,miyabes,2009-10-08T10:49:50Z,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"C0012A-42R-3, 19.0 cm",NULL,434.85,434.85,434.85,434.85,"C0012A-42R-3, 19.0 cm",NULL,434.85,434.85,434.85,434.85,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0.022174541,0.18478045,miyabes,2009-10-08T11:29:48Z,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"C0012A-42R-3, 76.0 cm",NULL,435.42,435.42,435.42,435.42,"C0012A-42R-3, 78.0 cm",NULL,435.44,435.44,435.44,435.44,"C0012A-42R-3 WR, 76.0--78.0 cm",CKY000000000000864310,CARB,NULL,10,christine322,NULL,CKY,2009-09-30T19:09:28Z,NULL,NULL,NULL,NULL,0.04083,1.19199,1.82608,10/6/2009,miyabes,2009-10-08T10:49:50Z,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"C0012A-42R-3, 77.0 cm",NULL,435.43,435.43,435.43,435.43,"C0012A-42R-3, 77.0 cm",NULL,435.43,435.43,435.43,435.43,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0.011292054,0.094096683,miyabes,2009-10-08T11:29:48Z,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"C0012A-43R-1, 114.0 cm",NULL,443.64,443.64,443.64,443.64,"C0012A-43R-1, 116.0 cm",NULL,443.66,443.66,443.66,443.66,"C0012A-43R-1 WR, 114.0--116.0 cm",CKY000000000000875910,CARB,NULL,10,matt322,NULL,CKY,2009-09-30T22:15:41Z,NULL,NULL,NULL,NULL,0.01199,0.06861,0.10314,10/6/2009,miyabes,2009-10-08T10:49:50Z,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"C0012A-43R-1, 115.0 cm",NULL,443.65,443.65,443.65,443.65,"C0012A-43R-1, 115.0 cm",NULL,443.65,443.65,443.65,443.65,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0.006129082,0.051073641,miyabes,2009-10-08T11:29:48Z,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"C0012A-43R-2, 85.0 cm",NULL,444.75,444.75,444.75,444.75,"C0012A-43R-2, 87.0 cm",NULL,444.77,444.77,444.77,444.77,"C0012A-43R-2 WR, 85.0--87.0 cm",CKY000000000000877410,CARB,NULL,10,matt322,NULL,CKY,2009-09-30T22:34:12Z,NULL,NULL,NULL,NULL,0.03949,0.25298,0.18004,10/6/2009,miyabes,2009-10-08T10:49:51Z,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"C0012A-43R-2, 86.0 cm",NULL,444.76,444.76,444.76,444.76,"C0012A-43R-2, 86.0 cm",NULL,444.76,444.76,444.76,444.76,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0.022369189,0.186402451,miyabes,2009-10-08T11:29:48Z,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"C0012A-43R-4, 41.0 cm",NULL,446.4,446.4,446.4,446.4,"C0012A-43R-4, 43.0 cm",NULL,446.42,446.42,446.42,446.42,"C0012A-43R-4 WR, 41.0--43.0 cm",CKY000000000000866010,CARB,NULL,3,matt322,NULL,CKY,2009-09-30T19:40:22Z,NULL,NULL,NULL,NULL,0.04423,0.29044,0.37737,10/6/2009,miyabes,2009-10-08T10:49:50Z,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"C0012A-43R-4, 42.0 cm",NULL,446.41,446.41,446.41,446.41,"C0012A-43R-4, 42.0 cm",NULL,446.41,446.41,446.41,446.41,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0.018693438,0.155772419,miyabes,2009-10-08T11:29:48Z,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"C0012A-44R-1, 16.0 cm",NULL,452.16,452.16,452.16,452.16,"C0012A-44R-1, 18.0 cm",NULL,452.18,452.18,452.18,452.18,"C0012A-44R-1 WR, 16.0--18.0 cm",CKY000000000000879610,CARB,NULL,10,matt322,NULL,CKY,2009-09-30T23:11:33Z,NULL,NULL,NULL,NULL,0.03856,0.84609,0.84673,10/6/2009,miyabes,2009-10-08T10:49:51Z,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"C0012A-44R-1, 17.0 cm",NULL,452.17,452.17,452.17,452.17,"C0012A-44R-1, 17.0 cm",NULL,452.17,452.17,452.17,452.17,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0.01552883,0.129401737,miyabes,2009-10-08T11:29:48Z,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"C0012A-44R-1, 94.0 cm",NULL,452.94,452.94,452.94,452.94,"C0012A-44R-1, 96.0 cm",NULL,452.96,452.96,452.96,452.96,"C0012A-44R-1 WR, 94.0--96.0 cm",CKY000000000000880310,CARB,NULL,10,matt322,NULL,CKY,2009-09-30T23:11:34Z,NULL,NULL,NULL,NULL,0.04062,0.32552,0.50251,10/6/2009,miyabes,2009-10-08T10:49:51Z,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"C0012A-44R-1, 95.0 cm",NULL,452.95,452.95,452.95,452.95,"C0012A-44R-1, 95.0 cm",NULL,452.95,452.95,452.95,452.95,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0.026186957,0.218215917,miyabes,2009-10-08T11:29:48Z,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"C0012A-44R-2, 0.0 cm",NULL,453.255,453.255,453.255,453.255,"C0012A-44R-2, 2.0 cm",NULL,453.275,453.275,453.275,453.275,"C0012A-44R-2 WR, 0.0--2.0 cm",CKY000000000000872210,CARB,NULL,3,matt322,NULL,CKY,2009-09-30T21:42:35Z,NULL,NULL,NULL,NULL,0.03866,0.33755,0.20221,10/6/2009,miyabes,2009-10-08T10:49:50Z,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"C0012A-44R-2, 1.0 cm",NULL,453.265,453.265,453.265,453.265,"C0012A-44R-2, 1.0 cm",NULL,453.265,453.265,453.265,453.265,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0.03303433,0.275275069,miyabes,2009-10-08T11:29:48Z,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"C0012A-45R-2, 22.0 cm",NULL,463.025,463.025,463.025,463.025,"C0012A-45R-2, 25.0 cm",NULL,463.055,463.055,463.055,463.055,"C0012A-45R-2 WR, 22.0--25.0 cm",CKY000000000000891910,CARB,NULL,8,brandon322,NULL,CKY,2009-10-01T02:01:00Z,NULL,NULL,NULL,NULL,0.01046,0.0941,0.14276,10/6/2009,miyabes,2009-10-08T10:49:51Z,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"C0012A-45R-2, 23.5 cm",NULL,463.04,463.04,463.04,463.04,"C0012A-45R-2, 23.5 cm",NULL,463.04,463.04,463.04,463.04,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0.016421976,0.136844324,miyabes,2009-10-08T11:29:48Z,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"C0012A-45R-2, 74.0 cm",NULL,463.545,463.545,463.545,463.545,"C0012A-45R-2, 77.0 cm",NULL,463.575,463.575,463.575,463.575,"C0012A-45R-2 WR, 74.0--77.0 cm",CKY000000000000892910,CARB,NULL,8,brandon322,NULL,CKY,2009-10-01T02:03:28Z,NULL,NULL,NULL,NULL,0.02951,0.297,0.1029,10/6/2009,miyabes,2009-10-08T10:49:51Z,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"C0012A-45R-2, 75.5 cm",NULL,463.56,463.56,463.56,463.56,"C0012A-45R-2, 75.5 cm",NULL,463.56,463.56,463.56,463.56,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0.019555138,0.162952969,miyabes,2009-10-08T11:29:48Z,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"C0012A-45R-3, 46.0 cm",NULL,464.545,464.545,464.545,464.545,"C0012A-45R-3, 48.0 cm",NULL,464.565,464.565,464.565,464.565,"C0012A-45R-3 WR, 46.0--48.0 cm",CKY000000000000885310,CARB,NULL,3,brandon322,NULL,CKY,2009-10-01T00:35:29Z,NULL,NULL,NULL,NULL,0.03144,0.355,0.28938,10/6/2009,miyabes,2009-10-08T10:49:51Z,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"C0012A-45R-3, 47.0 cm",NULL,464.555,464.555,464.555,464.555,"C0012A-45R-3, 47.0 cm",NULL,464.555,464.555,464.555,464.555,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0.00740806,0.061731367,miyabes,2009-10-08T11:29:48Z,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"C0012A-45R-4, 76.0 cm",NULL,465.55,465.55,465.55,465.55,"C0012A-45R-4, 79.0 cm",NULL,465.58,465.58,465.58,465.58,"C0012A-45R-4 WR, 76.0--79.0 cm",CKY000000000000894410,CARB,NULL,8,brandon322,NULL,CKY,2009-10-01T02:11:04Z,NULL,NULL,NULL,NULL,0.0139,0.10373,0.17279,10/6/2009,miyabes,2009-10-08T10:49:51Z,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"C0012A-45R-4, 77.5 cm",NULL,465.565,465.565,465.565,465.565,"C0012A-45R-4, 77.5 cm",NULL,465.565,465.565,465.565,465.565,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0.008236659,0.068636076,miyabes,2009-10-08T11:29:48Z,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"C0012A-46R-2, 0.0 cm",NULL,471.355,471.355,471.355,471.355,"C0012A-46R-2, 3.0 cm",NULL,471.385,471.385,471.385,471.385,"C0012A-46R-2 WR, 0.0--3.0 cm",CKY000000000000897110,CARB,NULL,3,brandon322,NULL,CKY,2009-10-01T03:44:28Z,NULL,NULL,NULL,NULL,0.04299,0.50212,0.45533,10/6/2009,miyabes,2009-10-08T10:49:51Z,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"C0012A-46R-2, 1.5 cm",NULL,471.37,471.37,471.37,471.37,"C0012A-46R-2, 1.5 cm",NULL,471.37,471.37,471.37,471.37,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0.002608222,0.02173431,miyabes,2009-10-08T11:29:48Z,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"C0012A-46R-3, 109.0 cm",NULL,473.015,473.015,473.015,473.015,"C0012A-46R-3, 113.0 cm",NULL,473.055,473.055,473.055,473.055,"C0012A-46R-3 WR, 109.0--113.0 cm",CKY000000000000904210,CARB,NULL,8,brandon322,NULL,CKY,2009-10-01T06:10:55Z,NULL,NULL,NULL,NULL,0.04121,0.23433,0.07039,10/6/2009,miyabes,2009-10-08T10:49:51Z,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"C0012A-46R-3, 111.0 cm",NULL,473.035,473.035,473.035,473.035,"C0012A-46R-3, 111.0 cm",NULL,473.035,473.035,473.035,473.035,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0.022483796,0.187357471,miyabes,2009-10-08T11:29:48Z,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"C0012A-46R-CC, 37.0 cm",NULL,474.45,474.45,474.45,474.45,"C0012A-46R-CC, 39.0 cm",NULL,474.47,474.47,474.47,474.47,"C0012A-46R-CC W, 37.0--39.0 cm",CKY000000000000919410,CARB,NULL,3,shun322,NULL,CKY,2009-10-01T12:51:59Z,NULL,NULL,NULL,NULL,0,6.45157,0.00589,10/6/2009,miyabes,2009-10-08T10:49:51Z,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"C0012A-46R-CC, 38.0 cm",NULL,474.46,474.46,474.46,474.46,"C0012A-46R-CC, 38.0 cm",NULL,474.46,474.46,474.46,474.46,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,6.323053731,52.69000674,miyabes,2009-10-08T11:29:48Z,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"C0012A-47R-2, 30.0 cm",NULL,481.07,481.07,481.07,481.07,"C0012A-47R-2, 35.0 cm",NULL,481.12,481.12,481.12,481.12,"C0012A-47R-2 WR, 30.0--35.0 cm",CKY000000000000907410,CARB,NULL,3,katerina322,NULL,CKY,2009-10-01T07:27:43Z,NULL,NULL,NULL,NULL,0.02394,0.47449,0.00716,10/6/2009,miyabes,2009-10-08T10:49:51Z,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"C0012A-47R-2, 32.5 cm",NULL,481.095,481.095,481.095,481.095,"C0012A-47R-2, 32.5 cm",NULL,481.095,481.095,481.095,481.095,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0.427681433,3.563869379,miyabes,2009-10-08T11:29:48Z,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"C0012A-47R-3, 10.0 cm",NULL,481.22,481.22,481.22,481.22,"C0012A-47R-3, 13.0 cm",NULL,481.25,481.25,481.25,481.25,"C0012A-47R-3 W, 10.0--13.0 cm",CKY000000000000916310,CARB,NULL,3,brandon322,NULL,CKY,2009-10-01T11:07:17Z,NULL,NULL,NULL,NULL,0.02184,1.10263,0.00508,10/6/2009,miyabes,2009-10-08T10:49:51Z,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"C0012A-47R-3, 11.5 cm",NULL,481.235,481.235,481.235,481.235,"C0012A-47R-3, 11.5 cm",NULL,481.235,481.235,481.235,481.235,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1.043446395,8.695038807,miyabes,2009-10-08T11:29:48Z,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"C0012A-48R-1, 10.0 cm",NULL,490.1,490.1,490.1,490.1,"C0012A-48R-1, 12.0 cm",NULL,490.12,490.12,490.12,490.12,"C0012A-48R-1 WR, 10.0--12.0 cm",CKY000000000000917810,CARB,NULL,3,katerina322,NULL,CKY,2009-10-01T12:04:20Z,NULL,NULL,NULL,NULL,0.02293,2.12419,0.00625,10/6/2009,miyabes,2009-10-08T10:49:51Z,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"C0012A-48R-1, 11.0 cm",NULL,490.11,490.11,490.11,490.11,"C0012A-48R-1, 11.0 cm",NULL,490.11,490.11,490.11,490.11,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,2.049891932,17.08174947,miyabes,2009-10-08T11:29:48Z,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"C0012A-48R-2, 0.0 cm",NULL,490.52,490.52,490.52,490.52,"C0012A-48R-2, 2.0 cm",NULL,490.54,490.54,490.54,490.54,"C0012A-48R-2 WR, 0.0--2.0 cm",CKY000000000000920510,CARB,NULL,10,matt322,NULL,CKY,2009-10-01T13:27:30Z,NULL,NULL,NULL,NULL,0.02286,3.06365,0,10/6/2009,miyabes,2009-10-08T10:49:51Z,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"C0012A-48R-2, 1.0 cm",NULL,490.53,490.53,490.53,490.53,"C0012A-48R-2, 1.0 cm",NULL,490.53,490.53,490.53,490.53,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,3.020238924,25.16765095,miyabes,2009-10-08T11:29:49Z,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"C0012A-49R-2, 37.0 cm",NULL,500.295,500.295,500.295,500.295,"C0012A-49R-2, 39.0 cm",NULL,500.315,500.315,500.315,500.315,"C0012A-49R-2 WR, 37.0--39.0 cm",CKY000000000000922410,CARB,NULL,3,katerina322,NULL,CKY,2009-10-01T14:44:41Z,NULL,NULL,NULL,NULL,0.02464,0.46808,0.05135,10/6/2009,miyabes,2009-10-08T10:49:51Z,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"C0012A-49R-2, 38.0 cm",NULL,500.305,500.305,500.305,500.305,"C0012A-49R-2, 38.0 cm",NULL,500.305,500.305,500.305,500.305,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0.386648651,3.221943205,miyabes,2009-10-08T11:29:49Z,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
