Top Core Depth [],Top Drilling depth below sea floor [m DSF],"Top Depth DSF, MSF, WSF and CSF-B [m, CMP]",Top Core depth (below sea floor) [m CSF-A],Top Core depth (below sea floor) [m CSF-B],"Top Depth DSF, MSF, WSF and CSF-A [m]",Bottom Core Depth [],Bottom Drilling depth below sea floor [m DSF],"Bottom Depth DSF, MSF, WSF and CSF-B [m, CMP]",Bottom Core depth (below sea floor) [m CSF-A],Bottom Core depth (below sea floor) [m CSF-B],"Bottom Depth DSF, MSF, WSF and CSF-A [m]",Sample source,J-CORES sample ID,Sample code,Sample request,Sample volume (cm3),Sample entered by,Sample comment,Sample repository,Sample time-stamp,"bulk CNS analysis; sample, section::inorganic carbon content: carbonate analyzer [wt%]::number","bulk CNS analysis; sample, section::CaCO3 content: from inorganic carbon content [wt%]::number","bulk CNS analysis; sample, section::registerer","bulk CNS analysis; sample, section::registration time-stamp","bulk CNS analysis::nitrogen content: EA, bulk [wt%]::number","bulk CNS analysis::total carbon content: EA, bulk [wt%]::number","bulk CNS analysis::sulfur content: EA, bulk [wt%]::number","bulk CNS analysis::measurement date-time: EA, bulk::text",bulk CNS analysis::registerer,bulk CNS analysis::registration time-stamp,Rock Eval; sample::PI::number,Rock Eval; sample::S1 [permil]::number,Rock Eval; sample::S2 [permil]::number,Rock Eval; sample::Tmax [degree C]::number,Rock Eval; sample::TpkS2 [degree C]::number,Rock Eval; sample::registerer,Rock Eval; sample::registration time-stamp
"C0012C-9H-6, 66.5 cm",NULL,76.055,76.12,76.055,76.12,"C0012C-9H-6, 66.5 cm",NULL,76.055,76.12,76.055,76.12,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0.218042726,1.81695004,kuriharar,2011-01-08T14:24:20Z,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"C0012C-9H-7, 50.0 cm",NULL,77.317,77.395,77.317,77.395,"C0012C-9H-7, 51.0 cm",NULL,77.327,77.405,77.327,77.405,"C0012C-9H-7 WR, 50.0--51.0 cm",CKY000000000004550100,CARB,NULL,5,asukay333,NULL,CKY,2010-12-27T01:45:28Z,NULL,NULL,NULL,NULL,0.04385,1.39411,0.07214,1/2/2011,kawait,2011-01-08T10:59:14Z,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"C0012C-9H-7, 50.5 cm",NULL,77.322,77.4,77.322,77.4,"C0012C-9H-7, 50.5 cm",NULL,77.322,77.4,77.322,77.4,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1.1783,9.8188,kuriharar,2011-01-08T14:24:20Z,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"C0012C-10H-1, 125.0 cm",NULL,80.065,80.25,80.065,80.25,"C0012C-10H-1, 126.0 cm",NULL,80.074,80.26,80.074,80.26,"C0012C-10H-1 WR, 125.0--126.0 cm",CKY000000000004551900,CARB,NULL,5,mstrasser333,NULL,CKY,2010-12-27T03:11:08Z,NULL,NULL,NULL,NULL,0.04552,0.39165,0.15509,1/2/2011,kawait,2011-01-08T10:59:14Z,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"C0012C-10H-1, 125.5 cm",NULL,80.07,80.255,80.07,80.255,"C0012C-10H-1, 125.5 cm",NULL,80.07,80.255,80.07,80.255,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0.1929,1.6074,kuriharar,2011-01-08T14:24:17Z,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"C0012C-10H-2, 20.0 cm",NULL,80.381,80.62,80.381,80.62,"C0012C-10H-2, 21.0 cm",NULL,80.389,80.63,80.389,80.63,"C0012C-10H-2 WR, 20.0--21.0 cm",CKY000000000004552000,CARB,NULL,5,mstrasser333,NULL,CKY,2010-12-27T03:19:12Z,NULL,NULL,NULL,NULL,0.0461,1.14412,0.04887,1/2/2011,kawait,2011-01-08T10:59:14Z,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"C0012C-10H-2, 20.5 cm",NULL,80.385,80.625,80.385,80.625,"C0012C-10H-2, 20.5 cm",NULL,80.385,80.625,80.385,80.625,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0.9108,7.5897,kuriharar,2011-01-08T14:24:17Z,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"C0012C-10H-5, 42.0 cm",NULL,82.179,82.73,82.179,82.73,"C0012C-10H-5, 43.0 cm",NULL,82.188,82.74,82.188,82.74,"C0012C-10H-5 WR, 42.0--43.0 cm",CKY000000000004553100,CARB,NULL,5,mstrasser333,NULL,CKY,2010-12-27T03:23:21Z,NULL,NULL,NULL,NULL,0.05379,1.81086,0.09076,1/2/2011,kawait,2011-01-08T10:59:14Z,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"C0012C-10H-5, 42.5 cm",NULL,82.183,82.735,82.183,82.735,"C0012C-10H-5, 42.5 cm",NULL,82.183,82.735,82.183,82.735,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1.4578,12.1478,kuriharar,2011-01-08T14:24:17Z,NULL,NULL,NULL,NULL,NULL,NULL,0.04,0.01,0.12,387,428,ohashia,2011-01-08T22:08:34Z
"C0012C-10H-9, 63.0 cm",NULL,85.609,86.755,85.609,86.755,"C0012C-10H-9, 64.0 cm",NULL,85.618,86.765,85.618,86.765,"C0012C-10H-9 WR, 63.0--64.0 cm",CKY000000000004553400,CARB,NULL,5,mstrasser333,NULL,CKY,2010-12-27T03:28:11Z,NULL,NULL,NULL,NULL,0.05763,0.3107,0.12542,1/2/2011,kawait,2011-01-08T10:59:14Z,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"C0012C-10H-9, 63.5 cm",NULL,85.614,86.76,85.614,86.76,"C0012C-10H-9, 63.5 cm",NULL,85.614,86.76,85.614,86.76,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0.0658,0.5483,kuriharar,2011-01-08T14:24:17Z,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"C0012C-10H-9, 107.0 cm",NULL,85.984,87.195,85.984,87.195,"C0012C-10H-9, 108.0 cm",NULL,85.993,87.205,85.993,87.205,"C0012C-10H-9 WR, 107.0--108.0 cm",CKY000000000004554300,CARB,NULL,5,mstrasser333,NULL,CKY,2010-12-27T03:28:11Z,NULL,NULL,NULL,NULL,0.05753,0.47606,0.41321,1/2/2011,kawait,2011-01-08T10:59:14Z,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"C0012C-10H-9, 107.5 cm",NULL,85.989,87.2,85.989,87.2,"C0012C-10H-9, 107.5 cm",NULL,85.989,87.2,85.989,87.2,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0.2458,2.0483,kuriharar,2011-01-08T14:24:17Z,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"C0012C-11H-4, 105.0 cm",NULL,90.76,91.01,90.76,91.01,"C0012C-11H-4, 106.0 cm",NULL,90.77,91.02,90.77,91.02,"C0012C-11H-4 WR, 105.0--106.0 cm",CKY000000000004556800,CARB,NULL,5,mstrasser333,NULL,CKY,2010-12-27T06:31:59Z,NULL,NULL,NULL,NULL,0.05833,0.34416,0.12172,1/2/2011,kawait,2011-01-08T10:59:14Z,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"C0012C-11H-4, 105.5 cm",NULL,90.765,91.015,90.765,91.015,"C0012C-11H-4, 105.5 cm",NULL,90.765,91.015,90.765,91.015,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0.0658,0.5483,kuriharar,2011-01-08T14:24:17Z,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"C0012C-11H-6, 21.0 cm",NULL,91.695,92,91.695,92,"C0012C-11H-6, 23.0 cm",NULL,91.714,92.02,91.714,92.02,"C0012C-11H-6 WR, 21.0--23.0 cm",CKY000000000004496300,CARB,NULL,5,marion333,NULL,CKY,2010-12-26T05:27:53Z,NULL,NULL,NULL,NULL,0.05046,0.72043,0.08651,1/2/2011,kawait,2011-01-08T10:59:13Z,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"C0012C-11H-6, 22.0 cm",NULL,91.705,92.01,91.705,92.01,"C0012C-11H-6, 22.0 cm",NULL,91.705,92.01,91.705,92.01,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0.4661,3.884,kuriharar,2011-01-08T14:24:17Z,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"C0012C-11H-7, 55.0 cm",NULL,92.234,92.57,92.234,92.57,"C0012C-11H-7, 56.0 cm",NULL,92.243,92.58,92.243,92.58,"C0012C-11H-7 WR, 55.0--56.0 cm",CKY000000000004557100,CARB,NULL,5,mstrasser333,NULL,CKY,2010-12-27T06:35:09Z,NULL,NULL,NULL,NULL,0.05085,1.37386,0.08213,1/2/2011,kawait,2011-01-08T10:59:14Z,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"C0012C-11H-7, 55.5 cm",NULL,92.238,92.575,92.238,92.575,"C0012C-11H-7, 55.5 cm",NULL,92.238,92.575,92.238,92.575,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1.0846,9.038,kuriharar,2011-01-08T14:24:17Z,NULL,NULL,NULL,NULL,NULL,NULL,0.18,0.01,0.06,390,431,ohashia,2011-01-08T22:08:34Z
"C0012C-11H-8, 20.0 cm",NULL,92.574,92.93,92.574,92.93,"C0012C-11H-8, 21.0 cm",NULL,92.583,92.94,92.583,92.94,"C0012C-11H-8 WR, 20.0--21.0 cm",CKY000000000004558600,CARB,NULL,5,mstrasser333,NULL,CKY,2010-12-27T06:43:43Z,NULL,NULL,NULL,NULL,0.06027,0.43361,0.16971,1/2/2011,kawait,2011-01-08T10:59:14Z,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"C0012C-11H-8, 20.5 cm",NULL,92.578,92.935,92.578,92.935,"C0012C-11H-8, 20.5 cm",NULL,92.578,92.935,92.578,92.935,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0.1683,1.4024,kuriharar,2011-01-08T14:24:17Z,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"C0012C-12H-3, 37.0 cm",NULL,96.893,97.195,96.893,97.195,"C0012C-12H-3, 38.0 cm",NULL,96.902,97.205,96.902,97.205,"C0012C-12H-3 W, 37.0--38.0 cm",CKY000000000004772400,CARB,NULL,5,alvest333,NULL,CKY,2010-12-31T04:42:12Z,NULL,NULL,NULL,NULL,0.04599,1.5654,0.07368,1/5/2011,kawait,2011-01-08T10:59:16Z,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"C0012C-12H-3, 37.5 cm",NULL,96.898,97.2,96.898,97.2,"C0012C-12H-3, 37.5 cm",NULL,96.898,97.2,96.898,97.2,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1.365217014,11.37635338,kuriharar,2011-01-08T14:24:17Z,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"C0012C-13H-1, 60.0 cm",NULL,102.47,102.6,102.47,102.6,"C0012C-13H-1, 61.0 cm",NULL,102.478,102.61,102.478,102.61,"C0012C-13H-1 WR, 60.0--61.0 cm",CKY000000000004566000,CARB,NULL,5,mstrasser333,NULL,CKY,2010-12-27T10:31:57Z,NULL,NULL,NULL,NULL,0.05525,0.95558,0.11173,1/2/2011,kawait,2011-01-08T10:59:14Z,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"C0012C-13H-1, 60.5 cm",NULL,102.474,102.605,102.474,102.605,"C0012C-13H-1, 60.5 cm",NULL,102.474,102.605,102.474,102.605,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0.6941,5.7839,kuriharar,2011-01-08T14:24:17Z,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"C0012C-13H-2, 125.0 cm",NULL,104.085,104.66,104.085,104.66,"C0012C-13H-2, 126.0 cm",NULL,104.093,104.67,104.093,104.67,"C0012C-13H-2 WR, 125.0--126.0 cm",CKY000000000004566100,CARB,NULL,5,mstrasser333,NULL,CKY,2010-12-27T10:34:47Z,NULL,NULL,NULL,NULL,0.05598,1.21357,0.15189,1/2/2011,kawait,2011-01-08T10:59:14Z,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"C0012C-13H-2, 125.5 cm",NULL,104.089,104.665,104.089,104.665,"C0012C-13H-2, 125.5 cm",NULL,104.089,104.665,104.089,104.665,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0.8944,7.453,kuriharar,2011-01-08T14:24:18Z,NULL,NULL,NULL,NULL,NULL,NULL,0.06,0.01,0.09,414,455,ohashia,2011-01-08T22:08:34Z
"C0012C-13H-4, 27.5 cm",NULL,105.319,106.235,105.319,106.235,"C0012C-13H-4, 29.5 cm",NULL,105.335,106.255,105.335,106.255,"C0012C-13H-4 WR, 27.5--29.5 cm",CKY000000000004509600,CARB,NULL,3,mstrasser333,NULL,CKY,2010-12-26T11:35:17Z,NULL,NULL,NULL,NULL,0.0436,2.3976,0.0676,1/2/2011,kawait,2011-01-08T10:59:13Z,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"C0012C-13H-4, 28.5 cm",NULL,105.327,106.245,105.327,106.245,"C0012C-13H-4, 28.5 cm",NULL,105.327,106.245,105.327,106.245,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,2.1839,18.1984,kuriharar,2011-01-08T14:24:18Z,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"C0012C-13H-5, 120.0 cm",NULL,106.276,107.455,106.276,107.455,"C0012C-13H-5, 121.0 cm",NULL,106.284,107.465,106.284,107.465,"C0012C-13H-5 WR, 120.0--121.0 cm",CKY000000000004567300,CARB,NULL,5,mstrasser333,NULL,CKY,2010-12-27T10:37:26Z,NULL,NULL,NULL,NULL,0.05449,0.98262,0.15557,1/2/2011,kawait,2011-01-08T10:59:14Z,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"C0012C-13H-5, 120.5 cm",NULL,106.28,107.46,106.28,107.46,"C0012C-13H-5, 120.5 cm",NULL,106.28,107.46,106.28,107.46,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0.7777,6.4806,kuriharar,2011-01-08T14:24:18Z,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"C0012C-14H-2, 26.5 cm",NULL,108.549,108.605,108.549,108.605,"C0012C-14H-2, 28.5 cm",NULL,108.568,108.625,108.568,108.625,"C0012C-14H-2 WR, 26.5--28.5 cm",CKY000000000004513000,CARB,NULL,3,bora333,NULL,CKY,2010-12-26T14:53:21Z,NULL,NULL,NULL,NULL,0.04926,1.22889,0.11101,1/2/2011,kawait,2011-01-08T10:59:13Z,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"C0012C-14H-2, 27.5 cm",NULL,108.559,108.615,108.559,108.615,"C0012C-14H-2, 27.5 cm",NULL,108.559,108.615,108.559,108.615,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1.017179928,8.476160341,kuriharar,2011-01-08T14:24:18Z,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"C0012C-15H-2, 125.5 cm",NULL,118.088,118.675,118.088,118.675,"C0012C-15H-2, 126.5 cm",NULL,118.096,118.685,118.096,118.685,"C0012C-15H-2 WR, 125.5--126.5 cm",CKY000000000004587900,CARB,NULL,5,asukay333,NULL,CKY,2010-12-27T17:05:15Z,NULL,NULL,NULL,NULL,0.0605,0.6181,0.13785,1/2/2011,kawait,2011-01-08T10:59:15Z,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"C0012C-15H-2, 126.0 cm",NULL,118.092,118.68,118.092,118.68,"C0012C-15H-2, 126.0 cm",NULL,118.092,118.68,118.092,118.68,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0.3422,2.8516,kuriharar,2011-01-08T14:24:18Z,NULL,NULL,NULL,NULL,NULL,NULL,0.03,0,0.07,404,445,ohashia,2011-01-08T22:08:34Z
"C0012C-15H-4, 29.5 cm",NULL,119.551,120.55,119.551,120.55,"C0012C-15H-4, 31.5 cm",NULL,119.567,120.57,119.567,120.57,"C0012C-15H-4 WR, 29.5--31.5 cm",CKY000000000004515100,CARB,NULL,5,marion333,NULL,CKY,2010-12-26T16:26:05Z,NULL,NULL,NULL,NULL,0.05275,1.10773,0.1308,1/2/2011,kawait,2011-01-08T10:59:13Z,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"C0012C-15H-4, 30.5 cm",NULL,119.559,120.56,119.559,120.56,"C0012C-15H-4, 30.5 cm",NULL,119.559,120.56,119.559,120.56,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0.87934619,7.327591799,kuriharar,2011-01-08T14:24:18Z,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"C0012C-15H-5, 126.0 cm",NULL,120.55,121.83,120.55,121.83,"C0012C-15H-5, 127.0 cm",NULL,120.558,121.84,120.558,121.84,"C0012C-15H-5 WR, 126.0--127.0 cm",CKY000000000004588600,CARB,NULL,5,asukay333,NULL,CKY,2010-12-27T17:05:15Z,NULL,NULL,NULL,NULL,0.0552,0.93721,0.04789,1/2/2011,kawait,2011-01-08T10:59:15Z,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"C0012C-15H-5, 126.5 cm",NULL,120.554,121.835,120.554,121.835,"C0012C-15H-5, 126.5 cm",NULL,120.554,121.835,120.554,121.835,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0.6526,5.4381,kuriharar,2011-01-08T14:24:18Z,NULL,NULL,NULL,NULL,NULL,NULL,0.02,0,0.07,416,457,ohashia,2011-01-08T22:08:34Z
