Top Core Depth [],Top Drilling depth below sea floor [m DSF],Top Mud depth below sea floor [m MSF],Top Wireline log depth below sea floor [m WSF],"Top Depth DSF, MSF, WSF and CSF-B [m, CMP]",Top Core depth (below sea floor) [m CSF-A],Top Core depth (below sea floor) [m CSF-B],"Top Depth DSF, MSF, WSF and CSF-A [m]",Bottom Core Depth [],Bottom Drilling depth below sea floor [m DSF],Bottom Mud depth below sea floor [m MSF],Bottom Wireline log depth below sea floor [m WSF],"Bottom Depth DSF, MSF, WSF and CSF-B [m, CMP]",Bottom Core depth (below sea floor) [m CSF-A],Bottom Core depth (below sea floor) [m CSF-B],"Bottom Depth DSF, MSF, WSF and CSF-A [m]",Sample source,J-CORES sample ID,Sample code,Sample request,Sample volume (cm3),Sample entered by,Sample comment,Sample repository,Sample time-stamp,bulk CNS analysis::inorganic carbon content: carbonate analyzer [wt%]::number,bulk CNS analysis::CaCO3 content: from inorganic carbon content [wt%]::number,"bulk CNS analysis::nitrogen content: EA, bulk [wt%]::number","bulk CNS analysis::total carbon content: EA, bulk [wt%]::number","bulk CNS analysis::sulfur content: EA, bulk [wt%]::number",bulk CNS analysis::registerer,bulk CNS analysis::registration time-stamp
NULL,NULL,C0002P;2120.500,NULL,2120.5,NULL,NULL,2120.5,NULL,NULL,C0002P;2125.500,NULL,2125.5,NULL,NULL,2125.5,C0002P-56SMW W,CKY000000000006190500,CARB,NULL,2,moriyas,">4mm, bulk",CKY,2013-12-21T22:37:53Z,0.1726,1.4383,0.060120262,0.742711162,NULL,hoshinoh,2014-01-15T11:50:36Z
NULL,NULL,C0002P;2128.500,NULL,2128.5,NULL,NULL,2128.5,NULL,NULL,C0002P;2128.500,NULL,2128.5,NULL,NULL,2128.5,C0002P-55LMW W,CKY000000000006390200,CARB,NULL,10,yamamoton,NULL,CKY,2013-12-31T09:45:55Z,0.2421,2.0174,0,7.66774734,NULL,hoshinoh,2014-01-15T11:50:36Z
NULL,NULL,C0002P;2130.500,NULL,2130.5,NULL,NULL,2130.5,NULL,NULL,C0002P;2135.500,NULL,2135.5,NULL,NULL,2135.5,C0002P-58SMW W,CKY000000000006190900,CARB,NULL,2,moriyas,"1-4mm, bulk",CKY,2013-12-21T22:40:16Z,0.1894,1.5783,0.059581847,0.834055913,NULL,hoshinoh,2014-01-15T11:50:36Z
NULL,NULL,C0002P;2130.500,NULL,2130.5,NULL,NULL,2130.5,NULL,NULL,C0002P;2135.500,NULL,2135.5,NULL,NULL,2135.5,C0002P-58SMW W,CKY000000000006191300,CARB,NULL,2,moriyas,">4mm, bulk",CKY,2013-12-21T22:43:08Z,0.2136,1.7799,0.057172658,0.781054899,NULL,hoshinoh,2014-01-15T11:50:36Z
NULL,NULL,C0002P;2140.500,NULL,2140.5,NULL,NULL,2140.5,NULL,NULL,C0002P;2145.500,NULL,2145.5,NULL,NULL,2145.5,C0002P-61SMW W,CKY000000000006191700,CARB,NULL,2,moriyas,"1-4mm, bulk",CKY,2013-12-21T22:45:06Z,0.2859,2.3824,0.054627701,1.022443624,NULL,hoshinoh,2014-01-15T11:50:36Z
NULL,NULL,C0002P;2140.500,NULL,2140.5,NULL,NULL,2140.5,NULL,NULL,C0002P;2145.500,NULL,2145.5,NULL,NULL,2145.5,C0002P-61SMW W,CKY000000000006192100,CARB,NULL,2,moriyas,">4mm, bulk",CKY,2013-12-21T22:46:50Z,0.4358,3.6315,0.051555168,1.093764354,NULL,hoshinoh,2014-01-15T11:50:36Z
NULL,NULL,C0002P;2150.500,NULL,2150.5,NULL,NULL,2150.5,NULL,NULL,C0002P;2155.500,NULL,2155.5,NULL,NULL,2155.5,C0002P-63SMW W,CKY000000000006192500,CARB,NULL,2,moriyas,"1-4mm, bulk",CKY,2013-12-21T22:48:46Z,0.3449,2.8741,0.055227513,1.132673891,NULL,hoshinoh,2014-01-15T11:50:36Z
NULL,NULL,C0002P;2150.500,NULL,2150.5,NULL,NULL,2150.5,NULL,NULL,C0002P;2155.500,NULL,2155.5,NULL,NULL,2155.5,C0002P-63SMW W,CKY000000000006192900,CARB,NULL,2,moriyas,">4mm, bulk",CKY,2013-12-21T22:50:24Z,0.343,2.8582,0.052771708,0.985198845,NULL,hoshinoh,2014-01-15T11:50:36Z
NULL,NULL,C0002P;2162.500,NULL,2162.5,NULL,NULL,2162.5,NULL,NULL,C0002P;2165.500,NULL,2165.5,NULL,NULL,2165.5,C0002P-71SMW W,CKY000000000006264800,CARB,NULL,2,arakawan348,"1-4mm, bulk",CKY,2013-12-27T19:21:36Z,0.4232,3.5265,0.049930312,1.412446979,NULL,hoshinoh,2014-01-15T11:50:36Z
NULL,NULL,C0002P;2162.500,NULL,2162.5,NULL,NULL,2162.5,NULL,NULL,C0002P;2165.500,NULL,2165.5,NULL,NULL,2165.5,C0002P-71SMW W,CKY000000000006265200,CARB,NULL,2,arakawan348,">4mm, bulk",CKY,2013-12-27T19:21:36Z,0.4189,3.4907,0.052625344,1.117523809,NULL,hoshinoh,2014-01-15T11:50:36Z
