Top Core Depth [],Top Drilling depth below sea floor [m DSF],"Top Depth DSF, MSF, WSF and CSF-B [m, CMP]",Top Core depth (below sea floor) [m CSF-A],Top Core depth (below sea floor) [m CSF-B],"Top Depth DSF, MSF, WSF and CSF-A [m]",Bottom Core Depth [],Bottom Drilling depth below sea floor [m DSF],"Bottom Depth DSF, MSF, WSF and CSF-B [m, CMP]",Bottom Core depth (below sea floor) [m CSF-A],Bottom Core depth (below sea floor) [m CSF-B],"Bottom Depth DSF, MSF, WSF and CSF-A [m]",Sample source,J-CORES sample ID,Sample code,Sample request,Sample volume (cm3),Sample entered by,Sample comment,Sample repository,Sample time-stamp,bulk CNS analysis::inorganic carbon content: carbonate analyzer [wt%]::number,bulk CNS analysis::CaCO3 content: from inorganic carbon content [wt%]::number,"bulk CNS analysis::nitrogen content: EA, bulk [wt%]::number","bulk CNS analysis::total carbon content: EA, bulk [wt%]::number","bulk CNS analysis::sulfur content: EA, bulk [wt%]::number",bulk CNS analysis::comment on measurement::text,bulk CNS analysis::registerer,bulk CNS analysis::registration time-stamp
"C0022B-26X-2, 136.0 cm",NULL,287.575,288.23,287.575,288.23,"C0022B-26X-2, 140.0 cm",NULL,287.605,288.27,287.605,288.27,"C0022B-26X-2 W, 136.0--140.0 cm",CKY000000000001725110,CARB,NULL,3,fabbri338,NULL,CKY,2013-01-04T14:31:07Z,0.5413,4.5107,0.069940288,1.045131066,0.204159753,NULL,kames,2013-02-05T00:39:11Z
"C0022B-27X-5, 2.0 cm",NULL,294.601,294.675,294.601,294.675,"C0022B-27X-5, 6.0 cm",NULL,294.641,294.715,294.641,294.715,"C0022B-27X-5 W, 2.0--6.0 cm",CKY000000000001727310,CARB,NULL,3,fabbri338,NULL,CKY,2013-01-04T14:34:11Z,0.6397,5.3306,0.065101389,1.052059133,0.102120509,NULL,kames,2013-02-05T00:39:11Z
"C0022B-27X-5, 63.5 cm",NULL,295.205,295.29,295.205,295.29,"C0022B-27X-5, 68.0 cm",NULL,295.25,295.335,295.25,295.335,"C0022B-27X-5 WR, 63.5--68.0 cm",CKY000000000001692410,CARB,NULL,3,oohashi338,NULL,CKY,2013-01-03T20:11:02Z,0.3794,3.1615,0.06136171,0.801605823,0.144534381,NULL,kames,2013-02-05T00:39:11Z
"C0022B-28X-4, 2.0 cm",NULL,297.587,297.915,297.587,297.915,"C0022B-28X-4, 5.0 cm",NULL,297.613,297.945,297.613,297.945,"C0022B-28X-4 W, 2.0--5.0 cm",CKY000000000001730910,CARB,NULL,3,kitajima338,NULL,CKY,2013-01-04T20:24:29Z,0.4326,3.6049,0.070173108,0.932396039,0.09154672,NULL,kames,2013-02-05T00:39:11Z
"C0022B-29X-1, 74.0 cm",NULL,301.24,301.24,301.24,301.24,"C0022B-29X-1, 77.0 cm",NULL,301.27,301.27,301.27,301.27,"C0022B-29X-1 W, 74.0--77.0 cm",CKY000000000001737110,CARB,NULL,3,shan338,NULL,CKY,2013-01-05T00:00:41Z,0.3107,2.5891,0.057549834,0.701082293,0.136710503,NULL,kames,2013-02-05T00:39:11Z
"C0022B-30X-1, 98.5 cm",NULL,306.485,306.485,306.485,306.485,"C0022B-30X-1, 103.0 cm",NULL,306.53,306.53,306.53,306.53,"C0022B-30X-1 WR, 98.5--103.0 cm",CKY000000000001714510,CARB,NULL,3,oohashi338,NULL,CKY,2013-01-04T07:34:32Z,0.4828,4.0232,0.060309375,0.897987138,0.180925471,NULL,kames,2013-02-05T00:39:11Z
"C0022B-30X-4, 2.0 cm",NULL,307.7,307.7,307.7,307.7,"C0022B-30X-4, 5.0 cm",NULL,307.73,307.73,307.73,307.73,"C0022B-30X-4 W, 2.0--5.0 cm",CKY000000000001741910,CARB,NULL,5,shan338,NULL,CKY,2013-01-05T00:40:31Z,0.2932,2.4432,0.065925099,0.720607109,0.135758244,NULL,kames,2013-02-05T00:39:11Z
"C0022B-30X-6, 6.0 cm",NULL,310.57,310.57,310.57,310.57,"C0022B-30X-6, 10.5 cm",NULL,310.615,310.615,310.615,310.615,"C0022B-30X-6 WR, 6.0--10.5 cm",CKY000000000001715310,CARB,NULL,3,oohashi338,NULL,CKY,2013-01-04T07:35:55Z,0.2034,1.6949,0.06857899,0.623408424,0.099700225,NULL,kames,2013-02-05T00:39:11Z
"C0022B-31X-1, 74.0 cm",NULL,315.705,315.74,315.705,315.74,"C0022B-31X-1, 77.0 cm",NULL,315.733,315.77,315.733,315.77,"C0022B-31X-1 W, 74.0--77.0 cm",CKY000000000001745010,CARB,NULL,2,harumoto338,NULL,CKY,2013-01-06T05:34:43Z,0.5938,4.9481,0.059080921,0.9260657,0.146713683,NULL,kames,2013-02-05T00:39:11Z
"C0022B-31X-6, 106.0 cm",NULL,321.152,321.46,321.152,321.46,"C0022B-31X-6, 111.0 cm",NULL,321.2,321.51,321.2,321.51,"C0022B-31X-6 WR, 106.0--111.0 cm",CKY000000000001718810,CARB,NULL,3,oohashi338,NULL,CKY,2013-01-04T10:27:57Z,0.1824,1.5199,0.062865809,0.599951962,0.185222845,NULL,kames,2013-02-05T00:39:11Z
"C0022B-31X-7, 8.0 cm",NULL,321.552,321.88,321.552,321.88,"C0022B-31X-7, 12.0 cm",NULL,321.591,321.92,321.591,321.92,"C0022B-31X-7 WR, 8.0--12.0 cm",CKY000000000001720310,CARB,NULL,3,oohashi338,NULL,CKY,2013-01-04T11:12:39Z,0.1857,1.5474,0.067343902,0.545922966,0.104008995,NULL,kames,2013-02-05T00:39:11Z
"C0022B-33X-2, 26.5 cm",NULL,335.67,335.67,335.67,335.67,"C0022B-33X-2, 27.5 cm",NULL,335.68,335.68,335.68,335.68,"C0022B-33X-2 WR, 26.5--27.5 cm",CKY000000000001739410,CARB,NULL,3,esteban338,NULL,CKY,2013-01-05T00:08:28Z,0.2583,2.1524,0.054416393,0.655685101,0.205312106,NULL,kames,2013-02-05T00:39:11Z
"C0022B-33X-8, 0.0 cm",NULL,342.185,342.185,342.185,342.185,"C0022B-33X-8, 4.0 cm",NULL,342.225,342.225,342.225,342.225,"C0022B-33X-8 W, 0.0--4.0 cm",CKY000000000001753910,CARB,NULL,3,esteban338,NULL,CKY,2013-01-05T05:46:37Z,0.4995,4.1623,0.068661371,0.964210746,0.150434158,NULL,kames,2013-02-05T00:39:11Z
"C0022B-34X-2, 38.0 cm",NULL,345.185,345.185,345.185,345.185,"C0022B-34X-2, 40.5 cm",NULL,345.21,345.21,345.21,345.21,"C0022B-34X-2 WR, 38.0--40.5 cm",CKY000000000001740410,CARB,NULL,3,esteban338,NULL,CKY,2013-01-05T00:13:49Z,0.4016,3.3465,0.065752432,0.86704638,0.110630787,NULL,kames,2013-02-05T00:39:11Z
"C0022B-34X-5, 98.5 cm",NULL,348.15,348.15,348.15,348.15,"C0022B-34X-5, 105.0 cm",NULL,348.215,348.215,348.215,348.215,"C0022B-34X-5 W, 98.5--105.0 cm",CKY000000000001741210,CARB,NULL,3,yasunagam,Taken from WH,CKY,2013-01-07T22:53:36Z,0.1258,1.0483,0.057871265,0.418437053,0.101274879,Taken from WH,kames,2013-02-05T00:39:11Z
"C0022B-35X-6, 0.0 cm",NULL,357.916,358.32,357.916,358.32,"C0022B-35X-6, 5.0 cm",NULL,357.963,358.37,357.963,358.37,"C0022B-35X-6 W, 0.0--5.0 cm",CKY000000000001765110,CARB,NULL,3,skarbek338,NULL,CKY,2013-01-05T12:43:01Z,0.2591,2.1591,0.051537362,0.602239846,0.10790557,NULL,kames,2013-02-05T00:39:11Z
"C0022B-35X-6, 88.0 cm",NULL,358.73,359.2,358.73,359.2,"C0022B-35X-6, 90.0 cm",NULL,358.748,359.22,358.748,359.22,"C0022B-35X-6 WR, 88.0--90.0 cm",CKY000000000001756010,CARB,NULL,3,kitajima338,NULL,CKY,2013-01-05T07:36:55Z,0.1964,1.6366,0.051055794,0.5318816,0.852132963,NULL,kames,2013-02-05T00:39:11Z
"C0022B-35X-7, 124.0 cm",NULL,359.894,360.46,359.894,360.46,"C0022B-35X-7, 127.0 cm",NULL,359.922,360.49,359.922,360.49,"C0022B-35X-7 WR, 124.0--127.0 cm",CKY000000000001757110,CARB,NULL,3,kitajima338,NULL,CKY,2013-01-05T07:41:42Z,0.2625,2.1874,0.041285985,0.564633818,0.134467996,NULL,kames,2013-02-05T00:39:11Z
"C0022B-35X-8, 10.0 cm",NULL,360.014,360.59,360.014,360.59,"C0022B-35X-8, 13.5 cm",NULL,360.047,360.625,360.047,360.625,"C0022B-35X-8 WR, 10.0--13.5 cm",CKY000000000001758010,CARB,NULL,3,kitajima338,NULL,CKY,2013-01-05T07:48:53Z,0.1758,1.4649,0.059959114,0.557675761,0.111717023,NULL,kames,2013-02-05T00:39:11Z
"C0022B-35X-9, 9.5 cm",NULL,360.749,361.385,360.749,361.385,"C0022B-35X-9, 11.5 cm",NULL,360.767,361.405,360.767,361.405,"C0022B-35X-9 WR, 9.5--11.5 cm",CKY000000000001759310,CARB,NULL,3,kitajima338,NULL,CKY,2013-01-05T07:54:35Z,0.2991,2.4924,0.056545723,0.660361955,0.151485622,NULL,kames,2013-02-05T00:39:11Z
"C0022B-36X-2, 89.0 cm",NULL,364.185,364.185,364.185,364.185,"C0022B-36X-2, 95.0 cm",NULL,364.245,364.245,364.245,364.245,"C0022B-36X-2 W, 89.0--95.0 cm",CKY000000000001769010,CARB,NULL,13,skarbek338,NULL,CKY,2013-01-05T15:00:00Z,0.27,2.2499,0.048307299,0.575875344,0.159743345,NULL,kames,2013-02-05T00:39:11Z
"C0022B-36X-6, 0.0 cm",NULL,367.465,367.465,367.465,367.465,"C0022B-36X-6, 8.0 cm",NULL,367.545,367.545,367.545,367.545,"C0022B-36X-6 WR, 0.0--8.0 cm",CKY000000000001762910,CARB,NULL,3,kitajima338,NULL,CKY,2013-01-05T10:31:56Z,0.4597,3.8307,0.035053844,0.670102829,0.285737166,NULL,kames,2013-02-05T00:39:11Z
"C0022B-37X-3, 15.0 cm",NULL,373.455,373.455,373.455,373.455,"C0022B-37X-3, 20.0 cm",NULL,373.505,373.505,373.505,373.505,"C0022B-37X-3 W, 15.0--20.0 cm",CKY000000000001775910,CARB,NULL,3,kitajima338,NULL,CKY,2013-01-05T18:20:10Z,0.4134,3.4449,0.059456333,0.867182389,0.130666694,NULL,kames,2013-02-05T00:39:11Z
"C0022B-38X-1, 107.0 cm",NULL,382.518,382.57,382.518,382.57,"C0022B-38X-1, 111.0 cm",NULL,382.556,382.61,382.556,382.61,"C0022B-38X-1 WR, 107.0--111.0 cm",CKY000000000001766010,CARB,NULL,3,kitajima338,NULL,CKY,2013-01-05T13:41:57Z,0.3657,3.0474,0.049486687,0.722303983,0.264460583,NULL,kames,2013-02-05T00:39:11Z
"C0022B-38X-4, 5.0 cm",NULL,384.805,384.975,384.805,384.975,"C0022B-38X-4, 10.0 cm",NULL,384.852,385.025,384.852,385.025,"C0022B-38X-4 W, 5.0--10.0 cm",CKY000000000001778510,CARB,NULL,3,kitajima338,NULL,CKY,2013-01-06T01:50:38Z,0.3011,2.5091,0.057471062,0.691712047,0.46219923,NULL,kames,2013-02-05T00:39:11Z
"C0022B-38X-6, 126.5 cm",NULL,388.646,389.015,388.646,389.015,"C0022B-38X-6, 130.5 cm",NULL,388.685,389.055,388.685,389.055,"C0022B-38X-6 WR, 126.5--130.5 cm",CKY000000000001766910,CARB,NULL,3,kitajima338,NULL,CKY,2013-01-05T14:04:51Z,0.1517,1.2641,0.046401435,0.428641425,0.162403723,NULL,kames,2013-02-05T00:39:11Z
"C0022B-38X-8, 17.0 cm",NULL,389.498,389.91,389.498,389.91,"C0022B-38X-8, 21.0 cm",NULL,389.536,389.95,389.536,389.95,"C0022B-38X-8 WR, 17.0--21.0 cm",CKY000000000001768110,CARB,NULL,3,esteban338,NULL,CKY,2013-01-05T14:31:08Z,0.3449,2.8741,0.050430065,0.64778603,0.104074797,NULL,kames,2013-02-05T00:39:11Z
"C0022B-39X-3, 1.0 cm",NULL,392.825,392.825,392.825,392.825,"C0022B-39X-3, 5.0 cm",NULL,392.865,392.865,392.865,392.865,"C0022B-39X-3 W, 1.0--5.0 cm",CKY000000000001780710,CARB,NULL,3,skarbek338,NULL,CKY,2013-01-06T04:47:36Z,0.2892,2.4099,0.053546132,0.606545298,0.077492181,NULL,kames,2013-02-05T00:39:11Z
"C0022B-39X-5, 101.0 cm",NULL,396.645,396.645,396.645,396.645,"C0022B-39X-5, 104.0 cm",NULL,396.675,396.675,396.675,396.675,"C0022B-39X-5 WR, 101.0--104.0 cm",CKY000000000001772010,CARB,NULL,3,oohashi338,NULL,CKY,2013-01-05T16:03:18Z,0.0402,0.335,0.038731941,0.300935867,0.077881905,NULL,kames,2013-02-05T00:39:11Z
"C0022B-40X-1, 108.5 cm",NULL,401.585,401.585,401.585,401.585,"C0022B-40X-1, 111.5 cm",NULL,401.615,401.615,401.615,401.615,"C0022B-40X-1 WR, 108.5--111.5 cm",CKY000000000001772910,CARB,NULL,3,oohashi338,NULL,CKY,2013-01-05T16:07:20Z,0.3063,2.5524,0.050580439,0.731882373,0.382225938,NULL,kames,2013-02-05T00:39:11Z
"C0022B-40X-4, 5.0 cm",NULL,403.76,403.76,403.76,403.76,"C0022B-40X-4, 10.0 cm",NULL,403.81,403.81,403.81,403.81,"C0022B-40X-4 W, 5.0--10.0 cm",CKY000000000001782310,CARB,NULL,3,esteban338,NULL,CKY,2013-01-06T11:27:32Z,0.3317,2.7641,0.054010287,0.720303994,0.124103844,NULL,kames,2013-02-05T00:39:11Z
"C0022B-41X-2, 14.0 cm",NULL,411.29,411.29,411.29,411.29,"C0022B-41X-2, 19.0 cm",NULL,411.34,411.34,411.34,411.34,"C0022B-41X-2 W, 14.0--19.0 cm",CKY000000000001784010,CARB,NULL,3,esteban338,NULL,CKY,2013-01-06T12:38:55Z,0.214,1.7833,0.04070484,0.500060207,0.384958772,NULL,kames,2013-02-05T00:39:11Z
"C0022B-41X-5, 80.0 cm",NULL,415.32,415.32,415.32,415.32,"C0022B-41X-5, 82.0 cm",NULL,415.34,415.34,415.34,415.34,"C0022B-41X-5 WR, 80.0--82.0 cm",CKY000000000001773810,CARB,NULL,3,oohashi338,NULL,CKY,2013-01-05T16:09:42Z,0.0937,0.7808,0.038705126,0.36086414,0.281132092,NULL,kames,2013-02-05T00:39:11Z
